id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m,edu_lit_15_t,edu_lit_15_f,edu_lit_15_m,edu_sec_15_t,edu_sec_15_f,edu_sec_15_m,edu_ter_15_t,edu_ter_15_f,edu_ter_15_m
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,51.1,39.2,61.8,35.9,26.1,44.40000000000001,12.9,4.800000000000001,19.9,.9,.1,1.7
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,53.2,41.7,63.6,41.1,31.7,49.2,14.8,7.300000000000001,21.3,4,2.2,5.5
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,75.60000000000001,68.3,82,95,90.60000000000001,98.7,34.7,33.3,35.9,36,25.1,45.3
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,54.40000000000001,42.6,65.10000000000001,74.10000000000001,67,79.80000000000001,19.9,8.300000000000001,29.2,5.4,1,8.9
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,56.6,45.2,66.8,75.8,69.40000000000001,81.10000000000001,22,12.4,29.8,6.800000000000001,1.7,11
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,75.7,68.3,82.30000000000001,94.10000000000001,91.5,96.80000000000001,44,50.5,37.2,21.4,7.600000000000001,35.7
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,61.5,52.3,69.8,40.2,29.2,51.8,7.7,5.5,10,.9,.6000000000000001,1.2
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,63.40000000000001,54.7,71.3,44,33.3,54.90000000000001,10.6,8.300000000000001,13,3.2,2,4.4
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,80.2,75.60000000000001,84.30000000000001,73.5,71.40000000000001,75.2,33.4,34.1,32.9,21.2,15.6,25.5
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,64.8,54,76,65.40000000000001,55.6,73.7,25.2,22.9,27.1,2.4,0,4.4
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,65.5,54.8,76.5,66.40000000000001,56.8,74.7,26.1,23.8,28,2.9,0,5.4
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,75.10000000000001,67,83,94.30000000000001,87.90000000000001,99.5,49.40000000000001,48.3,50.3,17.4,0,31.5
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,68.90000000000001,57.90000000000001,80,86.90000000000001,80.40000000000001,92.10000000000001,33.7,21.1,43.5,5.600000000000001,.3,9.600000000000001
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,69.5,58.7,80.2,87.40000000000001,81,92.40000000000001,34.2,21.6,44.1,6.2,.7000000000000001,10.6
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,77.90000000000001,71.2,84.10000000000001,96.80000000000001,93.80000000000001,99,45.5,30.6,56.40000000000001,19.6,7.800000000000001,28.3
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,65,53.2,76.5,60.3,35,83.60000000000001,26.5,18,34.4,2.8,1,4.5
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,66,54.40000000000001,77,61,36.7,83.5,26.7,17.7,34.9,3.8,2,5.5
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,75.10000000000001,67.2,82.30000000000001,69.40000000000001,56.8,81.7,28.5,15.3,41.5,16.1,13.7,18.5
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,66,55.90000000000001,75.10000000000001,65.90000000000001,54.90000000000001,78,26.3,23.2,29.7,7.300000000000001,.9,14.4
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,66.60000000000001,56.7,75.40000000000001,66.3,55.3,78.30000000000001,26.7,23.4,30.3,7.800000000000001,1.3,15
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,74.2,67.40000000000001,80.30000000000001,75.3,64.8,87.10000000000001,36.1,28.3,44.8,20.5,11.7,30.5
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,61.1,50.6,70.7,74.40000000000001,61.3,84.40000000000001,26.8,13.4,37.2,3.1,.1,5.4
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,61.90000000000001,51.5,71.3,74.8,61.90000000000001,84.80000000000001,27.5,14.3,37.7,3.6,.4,6.100000000000001
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,80.7,74.90000000000001,85.90000000000001,90.5,82.10000000000001,96,50.2,49.3,50.8,21.6,11.3,28.4
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,61.8,52.7,69.90000000000001,76.90000000000001,63.90000000000001,86.30000000000001,32.6,17.9,43.3,3.3,.4,5.300000000000001
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,63.90000000000001,55.2,71.60000000000001,77.2,64.40000000000001,86.5,32.2,17.7,42.7,3.9,.9,6.100000000000001
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,72.40000000000001,65.7,78.30000000000001,84.40000000000001,75.60000000000001,91,21.5,14.4,26.9,19.2,11.4,25.1
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,56.8,48.3,64.3,51.3,43.40000000000001,59.1,27.4,28.3,26.4,.5,0,1
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,57.90000000000001,49.6,65.2,52.40000000000001,44.3,60.3,27.5,27.6,27.5,1.1,.4,1.7
