id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,73.60000000000001,72.7,74.40000000000001,3.5
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,73.3,72.60000000000001,73.90000000000001,
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,67.2,71.5,63.2,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,76.60000000000001,76.40000000000001,76.7,6.300000000000001
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,71.3,71.5,71.10000000000001,
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,46.1,48.40000000000001,44,
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,72,69.5,74.2,5.5
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,71.8,69.5,73.90000000000001,
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,66.2,68.40000000000001,64.2,
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,82.40000000000001,83.7,81.2,3.9
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,75.5,78.10000000000001,73.2,
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,54.1,60.90000000000001,48,
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,75.90000000000001,73,78.5,1.7
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,71.8,69.10000000000001,74.2,
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,44.90000000000001,44.3,45.40000000000001,
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,76,74.3,77.60000000000001,5.600000000000001
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,71.90000000000001,70.7,73.10000000000001,
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,51.2,52.40000000000001,50,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,74.8,74.90000000000001,74.7,8.1
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,69.8,70.3,69.40000000000001,
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,42,45.2,39,
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,68.90000000000001,70,67.90000000000001,3.1
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,52.40000000000001,54.5,50.6,
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,25.8,29.2,22.7,
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,97.30000000000001,93.30000000000001,100.8,1.9
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,90.30000000000001,87,93.40000000000001,
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,44.6,45.1,44.1,
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,74.8,76.2,73.60000000000001,1.8
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,74.40000000000001,76.3,72.8,
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,70.5,77,64.7,
