id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,55.8,52.6,59.3,79.80000000000001,79.30000000000001,80.2,48.6,9.800000000000001,86.90000000000001,47.7,4.9,90,41.40000000000001,21.7,59.2
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,60.90000000000001,62,60,85.30000000000001,84.90000000000001,85.60000000000001,40,0,72.10000000000001,40,0,72.10000000000001,33.1,10.2,53.2
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,67.40000000000001,70.8,64.5,79.60000000000001,79.40000000000001,79.80000000000001,43.6,5.9,79.90000000000001,43,5.100000000000001,79.7,49.3,38.1,59.5
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,67.5,70.7,64.7,79.80000000000001,79.60000000000001,80,43,5.9,78.10000000000001,42.5,5.100000000000001,78,48.7,37.1,59.2
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,70.10000000000001,67.3,71.40000000000001,83.80000000000001,83.30000000000001,84.2,26.1,3,36.7,26.1,3,36.7,35.7,16,53
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,54.3,59.5,50.2,79.30000000000001,79,79.5,51.2,20.5,80.40000000000001,51.2,20.5,80.40000000000001,44,28.5,57.90000000000001
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,55,59.5,51.40000000000001,79.60000000000001,79.30000000000001,79.90000000000001,49.90000000000001,19,78.80000000000001,49.90000000000001,19,78.80000000000001,42.90000000000001,27,57.3
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,64.10000000000001,59.3,68.5,83.60000000000001,83.2,83.90000000000001,34.9,0,62.40000000000001,34.9,0,62.40000000000001,32,10,51.2
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,65.10000000000001,63.40000000000001,66.60000000000001,81.2,81,81.40000000000001,36.9,2.2,67.8,36.9,2.2,67.8,38.7,18.9,56.7
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,65.3,63.7,66.90000000000001,81.60000000000001,81.40000000000001,81.80000000000001,36.6,2.2,66.8,36.6,2.2,66.8,38.1,18,56.3
