id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,phc,shc,inst_bth,drrh,dpt,full_imm
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,,,25.3,87,62.3,52.3
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,,,,,,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,.2,.01,25.4,74.7,66.90000000000001,52.90000000000001
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,,,30.3,73.60000000000001,62.3,49.7
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,,,,,,
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,.3,.02,23.6,78.80000000000001,52.6,36.5
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,,,24.7,79.5,54,37.6
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,,,,,,
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,.4,.01,43.90000000000001,68.2,63.3,44.90000000000001
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,,,48.6,73.8,64,43.2
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,,,,,,
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,.4,.01,31.1,63.6,48.40000000000001,38.40000000000001
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,,,32.6,62.5,45.90000000000001,36.6
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,,,,,,
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,.8,.02,41.7,83.30000000000001,54.90000000000001,44.6
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,,,41.5,80.2,54.40000000000001,44.40000000000001
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,,,,,,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,.2,.01,34.6,86.2,67.10000000000001,55.3
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,,,39.3,86.60000000000001,67.90000000000001,55.2
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,,,,,,
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,.1,.01,53.6,66.7,44.6,35.2
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,,,58.3,71,47.5,39.1
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,,,,,,
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,.2,0,38.90000000000001,63,50.3,34.8
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,,,40.5,63.40000000000001,48.7,33.3
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,,,,,,
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,.3,0,45,69.5,42.6,33
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,,,48,69.90000000000001,43,33.3
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,,,,,,
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),.3,.01,42.8,71.7,37.5,24.1
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),,,42.6,72.5,38.40000000000001,24.9
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),,,,,,
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,.2,0,45.3,76.80000000000001,55.5,44.1
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,,,48.5,77.7,52.3,41.5
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,,,,,,
