id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,neo_mr,imr_t,imr_f,imr_m,u5mr_t,u5mr_f,u5mr_m,morb_chd_ari,morb_chd_dia,morb_chd_fev,morb_ari,morb_dia,morb_fev,morb_art,morb_ast,morb_diab,morb_hyp,morb_tub
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,40,60,65,55,89,102,76,33.3,12.2,35.5,5356,2735,5732,1732,1303,351,1217,927
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,,,,,,,,18.7,7,24.6,4755,1690,2389,721,428,1375,1803,248
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,39,52,54,51,68,73,63,18,5.7,24.4,3386,2353,4248,1976,844,442,824,404
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,38,51,54,48,66,72,60,18.6,5.600000000000001,24.5,3437,2209,4214,1903,845,487,905,399
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,30,36,59,18,36,59,18,26.4,4.600000000000001,25.9,4073,407,3785,982,862,1054,1917,335
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,37,50,52,48,75,77,74,11,6.2,13.8,753,1493,2473,927,431,225,485,249
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,36,49,50,48,73,73,72,10.8,6.300000000000001,13.8,846,1426,2833,1040,428,324,530,250
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,,,,,,,,8.700000000000001,7.600000000000001,14,1578,899,5671,1932,402,1109,889,258
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,38,52,53,50,69,71,67,16.1,5.7,24.9,2247,1821,4999,2331,1206,253,641,463
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,38,52,54,51,70,72,67,16.6,5.600000000000001,24.7,2331,1647,4574,2186,1156,261,653,464
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,44,57,57,57,75,78,72,20.1,4.9,23,2946,377,1473,1132,791,323,737,467
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,35,50,52,48,70,76,64,32.9,10.1,40.5,6454,2326,7160,1292,1179,354,1030,803
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,35,50,52,48,70,76,64,31.8,9.700000000000001,39.3,6192,2283,6915,1223,1142,374,1027,768
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,,,,,,,,3.3,.8,8.200000000000001,1920,1584,2931,101,539,708,977,202
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,39,56,61,51,79,87,72,27.6,11.6,30.5,4769,2838,4400,1962,2079,204,873,759
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,38,54,60,50,77,84,70,27.5,11.6,30.5,4785,2743,4502,1988,2064,216,868,733
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,,,,,,,,,,,,,,,,,,
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,26,46,47,46,67,70,64,21.8,9,44.40000000000001,2496,530,10685,1834,1595,173,480,667
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,25,46,47,45,65,68,62,20.7,8.800000000000001,43.5,2339,498,10173,1774,1514,174,470,642
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,20,39,45,35,47,53,42,,,,,,,,,,,
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,48,67,67,66,106,109,102,12.9,9.4,21.5,1608,2372,4066,1959,1477,252,656,833
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,48,66,66,65,103,107,99,13,9.200000000000001,21.3,1696,2240,3962,2035,1477,296,730,829
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,,,,,,,,13.8,4.3,16.9,3009,278,2407,3171,1481,949,1828,764
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,35,56,56,56,71,71,72,18.7,16.1,39.7,825,1090,5187,798,385,186,392,318
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,34,54,55,54,69,69,69,19.4,14.8,38.8,2112,1113,5300,750,382,233,545,331
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,27,48,49,46,60,63,58,24.1,6,33,7269,1204,5755,560,369,417,1156,381
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,30,49,48,50,63,63,64,19.5,7,35.6,1563,467,6671,1478,507,180,420,301
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,30,48,48,49,63,63,63,19,7,35.3,1507,464,6573,1447,505,204,426,294
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,,,,,,,,,,,,,,,,,,
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,32,52,54,50,68,73,64,13.1,7.4,36.3,418,366,7674,1466,655,238,416,314
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,31,51,52,49,63,68,59,12.3,7.300000000000001,37.2,394,410,7596,1332,596,310,499,293
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,28,47,48,46,54,58,49,10.4,7,39.40000000000001,345,500,7438,1062,478,456,667,250
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,30,54,55,53,72,78,68,16.4,15.3,41.40000000000001,1125,963,10671,2505,989,201,510,355
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,29,53,54,51,70,76,66,16.4,15.2,40.8,1150,1009,10607,2433,976,219,527,367
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,24,43,45,41,55,61,50,16,14.4,35.9,1319,1319,10180,1949,884,339,642,448
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,31,59,63,56,78,83,73,28.2,8.700000000000001,35.6,3259,525,4090,1144,615,190,652,315
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,31,58,62,54,76,83,70,28.9,9,35.8,3572,553,4117,1237,619,239,760,313
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,32,49,57,41,62,78,49,34.9,12,36.8,5221,705,4260,1730,641,496,1329,304
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,28,53,53,54,81,83,78,21.2,18.8,40.2,2837,1467,4876,847,580,165,622,319
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,27,52,52,52,80,82,78,22.6,17.4,40.90000000000001,3374,1495,5782,831,547,188,743,307
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,25,44,46,42,75,74,76,31.3,9.1,45.6,6374,1648,10844,741,358,319,1418,243
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,25,46,46,45,66,68,64,16,16.8,37.3,2309,1595,8042,1237,758,229,569,365
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,22,39,40,39,53,55,51,13,13.6,31.7,1812,1102,6047,1036,556,537,538,292
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,17,30,31,29,37,39,35,8.300000000000001,8.5,22.7,1325,618,4091,840,358,840,507,219
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,28,49,50,48,63,66,60,7.300000000000001,14.3,31,286,1004,4564,1101,306,210,485,162
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,27,48,48,47,61,64,57,7.4,13.9,31.9,269,914,4753,1097,298,233,504,149
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,23,38,38,39,42,46,39,8.300000000000001,10.2,40.2,163,339,5953,1071,244,380,624,68
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,33,56,56,56,78,79,76,10.4,4.9,33.9,796,259,6910,1269,406,198,411,159
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,32,55,55,55,74,77,72,9.800000000000001,4.600000000000001,34.2,728,249,7140,1194,395,225,449,147
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,21,42,48,36,45,53,36,3.3,1.1,37.4,99,158,9262,495,297,475,792,40
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),31,56,59,54,73,77,70,17,7.9,39.8,1269,645,9460,2182,704,111,453,252
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),31,56,59,53,73,77,69,16.8,7.800000000000001,39.7,1307,644,9553,2218,692,125,495,252
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),27,36,48,29,43,48,43,,,,,,,,,,,
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,29,52,52,51,67,66,67,16.4,3.7,32,2161,366,6962,1085,432,148,601,214
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,29,52,52,51,65,65,66,15.5,3.5,32.5,2849,360,6397,1054,419,190,657,209
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,29,50,53,47,55,57,54,8.6,1.9,36.4,7542,314,2541,847,328,478,1038,178
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,30,47,48,47,61,65,57,12.2,11.9,37.8,594,643,5559,1012,290,169,605,260
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,29,48,48,47,61,65,57,12.4,11.6,37.8,619,634,5450,971,313,189,599,270
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,29,52,57,47,62,67,57,14.3,9.200000000000001,37.4,819,565,4561,643,507,351,546,351
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,33,57,57,56,72,72,73,17.8,7,41.1,760,408,9377,1394,509,126,413,331
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,31,55,57,53,70,71,69,17.6,6.5,38.40000000000001,759,360,8484,1334,537,165,492,307
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,25,48,53,42,62,70,54,16.8,4.4,26.5,757,199,5449,1129,633,298,757,223
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,31,49,48,49,61,62,58,16,13,37.3,480,981,8017,1137,483,90,429,206
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,31,49,49,50,61,63,58,15.5,12.5,36.7,463,935,8058,1103,498,107,441,209
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,,,,,,,,10.2,7.300000000000001,30.7,318,530,8420,806,636,255,551,233
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,34,58,57,59,80,82,78,12.6,10.1,35.7,457,555,6617,904,368,83,165,245
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,33,57,57,57,78,81,76,12.7,10.4,36.5,498,651,7061,928,383,117,219,258
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,29,52,63,43,61,72,51,,,,,,,,,,,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,32,54,55,53,68,73,63,11.7,17.3,33.7,559,1703,5995,2001,664,177,542,325
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,31,53,54,52,67,72,63,11.6,16.6,33.8,604,1659,6704,2059,675,190,590,327
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,28,43,44,42,55,56,54,10.6,9.700000000000001,35.1,992,1280,12815,2560,762,302,1007,345
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,32,54,55,53,68,73,63,11.7,17.3,33.7,559,1703,5995,2001,664,177,542,325
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,31,53,54,52,67,72,63,11.6,16.6,33.8,604,1659,6704,2059,675,190,590,327
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,28,43,44,42,55,56,54,10.6,9.700000000000001,35.1,992,1280,12815,2560,762,302,1007,345
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,,,,,,,,,,,,,,,,,,
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,,,,,,,,,,,,,,,,,,
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,,,,,,,,,,,,,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,,,,,,,,,,,,,,,,,,
