id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,187,124,35.4,.1,16.3,1,6.9,5.300000000000001,6.2,2.2,5.5,5.5,15.7
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,130,131,32.6,.1,10.5,1,6,3.6,6.100000000000001,2.8,5,11.7,20.6
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,73.8,117,34.2,0,7.2,1.1,6.7,1.6,5.2,3.1,5.600000000000001,13.1,22.3
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,22.7,527,20.1,.1,1.8,2.3,22.6,4.7,2.4,5.100000000000001,10,13,17.9
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,62.2,479,33.9,.1,1.9,2.4,12.3,3.6,1.9,2.8,7.800000000000001,13.7,19.6
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,90.40000000000001,653,26,.1,3.9,14.6,14.5,3.9,2.5,2.6,5.9,11.6,14.2
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,183,708,13.1,.1,3.4,3.7,22.2,6.800000000000001,4,3.7,6.800000000000001,20.7,15.5
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,34.2,803,15.4,.2,1.1,5.100000000000001,33,2.6,2.1,1.3,3.7,25.6,9.9
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,61.8,791,13.4,.6000000000000001,2.1,6.300000000000001,32.2,3.6,3.7,1.6,1.7,26.3,8.5
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,29,485,32,.3,1.3,9.200000000000001,28.1,3.1,2.2,1.2,2.8,10,9.600000000000001
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,92.90000000000001,727,8.300000000000001,.9,2.1,12.4,23.5,5.100000000000001,7,4,4.4,18.6,13.8
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,92.90000000000001,727,8.300000000000001,.9,2.1,12.4,23.5,5.100000000000001,7,4,4.4,18.6,13.8
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,26.4,457,28.3,.3,1.3,10.6,24.3,3.8,3.2,1.4,2.3,13.2,11.2
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,54.6,499,26.4,.4,2.2,9.700000000000001,22.3,4.3,3.2,1.5,3,14.9,11.9
