id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,396.4,492.5,111.4,728.5,212.6,198.2,2032.5,1875.5,2158.9,2421.2,2668.3,2353.6
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,391.5,449.4,159.7,728.5,218.3,292.8,2279.1,1950.2,3635.5,2421.2,2866.9,2992.6
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,193.4,336.3,92.80000000000001,,,74.8,569.2000000000001,935.5,457.9,,,243.4
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,247.5,395,97.90000000000001,,242.4,82.60000000000001,937.5,1304.1,1017.9,,4178.2,421.8
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,421.3,506.1,117.3,,242.4,156.6,2137,2001.6,3148.2,,4178.2,2225.3
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,515.5,715.5,91.7,159.3,177,168.8,1123.5,1167.6,460.1,740.5,1931.5,1161.5
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,537.6,752.4000000000001,90.2,159.3,174.9,170.7,1189.1,1243.2,570.7000000000001,740.5,1958.4,1218.4
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,828.4000000000001,1259.1,82.7,,134.1,214.8,2049.3,2280.7,1094.1,,2491.3,2525
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,240.4,249.5,235.3,146.8,324.4,174.6,1517.5,876,2716.2,2179.1,3187,2094.3
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,287.2,324.9,232.7,297,317.8,174.5,1747.7,1262.6,2782.4,2736.7,3171.9,2174.8
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,651.7000000000001,789.1,183,408.6,148.9,173.4,3527.3,3642.2,4033.1,3150.7,2783.8,3030.9
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,292.8,331.9,289.4,189.2,146.1,115.5,1444.3,654.7000000000001,4401.8,929.4000000000001,1482.3,1129.7
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,375,466.2000000000001,286.6,186.9,154.4,131,1685.3,1114,4338.2,1250,2017.5,1451.7
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,694.5,965.9000000000001,212.9,138.2,156.9,150.9,2622,2824.2,2660.4,8123.1,2182.2,1867
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,416.4,579.2000000000001,85.90000000000001,130.7,141.4,84.90000000000001,757.7000000000001,939.1,271.4,812.1,2871.2,371.8
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,416.8,570.4,88.60000000000001,130.7,141.9,95.40000000000001,803.3000000000001,970.3000000000001,301,812.1,2611,463.5
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,420.2000000000001,501.7000000000001,120.9,,144.6,210.3,1201.4,1213.7,651.7000000000001,,1224,1465.3
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,324.7000000000001,443.8,95.7,289.3,100.8,86.30000000000001,674.4000000000001,728.7000000000001,535.5,620.3000000000001,937.3000000000001,572.9
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,342.9,474.3,104.1,257.9,134.3,94.90000000000001,733.4000000000001,781.9000000000001,530.6,668.4000000000001,1055.4,676.5
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,515.9,839,138.4,107.1,176,179.4,1293.8,1419.2,510.5,899.9000000000001,1202.5,1690.6
