id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,m_tmp_1,m_tmp_2,m_tmp_3,m_tmp_4,m_tmp_5,m_tmp_6,m_tmp_7,m_tmp_8,m_tmp_9,m_tmp_10,m_tmp_11,m_tmp_12,m_dec_tmp_1,m_dec_tmp_2,m_dec_tmp_3,m_dec_tmp_4,m_dec_tmp_5,m_dec_tmp_6,m_dec_tmp_7,m_dec_tmp_8,m_dec_tmp_9,m_dec_tmp_10,m_dec_tmp_11,m_dec_tmp_12,sd_dec_tmp_1,sd_dec_tmp_2,sd_dec_tmp_3,sd_dec_tmp_4,sd_dec_tmp_5,sd_dec_tmp_6,sd_dec_tmp_7,sd_dec_tmp_8,sd_dec_tmp_9,sd_dec_tmp_10,sd_dec_tmp_11,sd_dec_tmp_12,a_dec_tmp_1,a_dec_tmp_2,a_dec_tmp_3,a_dec_tmp_4,a_dec_tmp_5,a_dec_tmp_6,a_dec_tmp_7,a_dec_tmp_8,a_dec_tmp_9,a_dec_tmp_10,a_dec_tmp_11,a_dec_tmp_12,m_pre_1,m_pre_2,m_pre_3,m_pre_4,m_pre_5,m_pre_6,m_pre_7,m_pre_8,m_pre_9,m_pre_10,m_pre_11,m_pre_12,m_dec_pre_1,m_dec_pre_2,m_dec_pre_3,m_dec_pre_4,m_dec_pre_5,m_dec_pre_6,m_dec_pre_7,m_dec_pre_8,m_dec_pre_9,m_dec_pre_10,m_dec_pre_11,m_dec_pre_12,sd_dec_pre_1,sd_dec_pre_2,sd_dec_pre_3,sd_dec_pre_4,sd_dec_pre_5,sd_dec_pre_6,sd_dec_pre_7,sd_dec_pre_8,sd_dec_pre_9,sd_dec_pre_10,sd_dec_pre_11,sd_dec_pre_12,a_dec_pre_1,a_dec_pre_2,a_dec_pre_3,a_dec_pre_4,a_dec_pre_5,a_dec_pre_6,a_dec_pre_7,a_dec_pre_8,a_dec_pre_9,a_dec_pre_10,a_dec_pre_11,a_dec_pre_12
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,16.393921,19.187056,25.251852,28.546482,30.447903,30.251608,29.711445,29.655653,29.096508,26.401463,22.464676,17.837162,16.7148,19.439802,24.68261,29.026638,30.38582,30.702175,29.541958,29.735895,29.279442,27.305325,23.008583,18.35055,.9327175,.97709119,.87118304,.83146375,.41793746,.71915615,.92728931,.18249372,.50795358,.55620897,.52881271,.5758779,-.984635,-1.4920996,-1.3946903,-1.0567414,-.51301455,-.35164964,-.51309043,-.91360492,-.83656484,-1.2315787,-1.5918189,-1.4244167,4.7807636,3.0416117,7.3853292,36.683331,186.16849,464.81601,569.92902,363.42761,566.63074,15.439777,.0066314135,.00017699128,9.9398232,15.327321,25.026022,37.677479,117.90766,230.76396,502.06091,358.71768,334.21725,54.715633,5.0775657,4.1488886,12.596101,17.713614,12.56662,24.670788,55.442844,115.40773,117.09849,82.986809,111.48455,37.498791,8.6214342,4.4202561,6.2115517,-1.5231509,-9.5718975,2.96772,-17.049366,35.193913,13.203506,29.674725,-29.209475,29.079063,.53525388,6.843864
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,16.688778,19.699734,25.437063,29.045412,30.827108,30.89249,30.098776,29.935301,29.462826,27.017929,22.989889,18.200171,17.02076,19.94426,25.001732,29.548378,30.849535,31.195162,29.87347,30.054344,29.687738,27.813551,23.478292,18.70289,.89368385,.94749224,.81405377,.78356814,.37529054,.64032513,.78286386,.18528406,.46037596,.53829771,.55196899,.56563818,-.92236155,-1.552585,-1.362973,-1.0374756,-.49823415,-.45348501,-.44261655,-.85041142,-.78911614,-1.1687233,-1.5120698,-1.3596449,3.3616519,2.4293239,5.7443604,35.015095,128.99052,332.52423,445.18985,291.69443,492.50772,29.529928,0,0,8.2737045,12.714883,19.746807,25.785902,91.438423,175.48859,420.10681,317.23639,297.23367,54.481403,5.5569162,3.0161381,10.112038,14.834639,9.6233568,15.054381,45.597012,77.216759,82.309067,64.939812,101.16743,33.238235,9.5737534,3.1191781,4.7050891,-.36134911,-7.3387771,2.8885398,-13.898734,27.333139,14.067304,10.301055,-33.74667,28.001505,.79639786,3.8520794
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,16.748478,19.657616,25.306093,28.857615,30.557615,30.754568,29.948477,29.848475,29.399998,27.003048,22.951523,18.299999,17.018459,19.886526,24.905537,29.366705,30.626213,30.991488,29.726162,29.976305,29.595316,27.791185,23.441601,18.699724,.85507452,.94641626,.7822693,.75414133,.35329723,.57389587,.70693195,.17799415,.42819089,.54752165,.5535078,.5328775,-.90561581,-1.5176064,-1.3715603,-1.0192837,-.50879204,-.49367648,-.4127287,-.82630271,-.76036727,-1.1261257,-1.448462,-1.3148664,3.0454295,2.2,6.2180071,34.192532,130.31334,291.70087,423.60229,278.60059,467.64603,31.154848,0,0,7.7818432,12.070461,19.601463,23.883366,93.34523,163.65608,409.57141,307.52686,291.17163,56.575073,5.8782668,2.7943847,9.6075058,13.836403,9.3213358,13.684023,47.082466,65.635727,76.385437,62.086384,96.899399,34.914841,10.060339,2.8863111,3.918756,-.062382083,-7.0477867,4.1978092,-12.515909,27.250456,8.7929125,4.2139363,-41.221729,26.851017,.56555486,3.5237606
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,16.759588,19.377777,24.904486,28.343317,30.025843,30.374636,29.735689,29.789692,29.165541,26.77766,22.810793,18.397928,16.973738,19.625786,24.573502,28.866407,30.099686,30.509512,29.506212,29.872404,29.352631,27.639561,23.345461,18.677511,.83886796,.93813962,.74762577,.73107898,.35921147,.47570369,.661071,.17970034,.431885,.57449806,.56886852,.51859915,-.96824634,-1.5072287,-1.4383143,-1.0479358,-.55491114,-.51923287,-.43378708,-.84533495,-.73429912,-1.1204485,-1.4354126,-1.3345752,3.0998852,2.0459991,7.7157979,37.553669,159.9575,282.47177,458.31461,285.69727,483.75931,24.104006,.052421641,0,7.5509377,11.901603,21.040758,29.28121,108.7605,174.21777,443.31332,315.60251,309.71185,58.17226,6.6448226,2.6193852,9.6608381,12.9048,9.5047474,16.485401,51.943031,59.869114,85.746658,69.083015,100.69583,37.822697,11.36137,2.7177684,3.4212377,-.28055134,-7.7878923,4.6507792,-14.446648,33.010292,-7.9340096,.23439343,-54.149635,25.716827,-.0104229,3.9261856
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,16.786671,19.3731,24.622698,27.994703,29.466335,29.974421,29.270491,29.524332,28.81554,26.731565,22.735117,18.56563,16.961422,19.52887,24.415995,28.522978,29.55467,29.977545,29.043375,29.597687,28.996485,27.492802,23.226536,18.696369,.80899912,.94961315,.70971268,.70342696,.35593468,.42470071,.56669724,.19596019,.38727602,.57233882,.55838841,.43822458,-.92880422,-1.4628844,-1.4403343,-1.0036608,-.61275959,-.54720539,-.44779262,-.82534045,-.66640407,-1.0518439,-1.3456366,-1.2499331,3.531733,3.208585,9.0821056,33.000847,160.21678,250.97475,421.47424,273.25281,433.24295,16.595783,.68720335,0,7.856977,11.820808,20.604164,29.92828,109.2376,174.66158,419.55453,286.97061,293.32767,61.894344,8.4450169,2.0261438,10.457177,11.647441,8.6978416,15.730373,48.50676,51.663876,77.418343,61.435322,88.990692,39.557125,13.822871,2.2010596,3.1944726,-.16279483,-7.3323507,2.8717251,-12.582557,33.872524,-14.276456,-2.2731926,-53.963024,21.159693,-.80863321,3.5381482
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,16.553555,19.261093,24.425007,27.687233,28.993477,29.596567,29.027929,29.327684,28.529137,26.71904,22.52914,18.69348,16.868803,19.426401,24.304976,28.169775,29.10173,29.587667,28.813608,29.396025,28.684242,27.31373,23.057381,18.686689,.81117994,.95902157,.7090078,.68458396,.34898159,.38579774,.52308697,.19254586,.37450409,.54769367,.53535956,.41179761,-.84049797,-1.3890605,-1.4106436,-.93025005,-.68422401,-.61007905,-.49748382,-.78748786,-.61194801,-1.0565231,-1.2777489,-1.2086504,4.4289951,4.4413376,10.856552,35.02528,170.82884,280.09106,419.12695,296.80869,443.53104,15.19609,1.794409,0,7.0886784,11.518549,22.346874,36.62521,123.12439,207.58105,434.42184,288.42609,308.96899,69.469688,10.393462,2.1130695,9.2857265,10.881007,9.0655327,17.230234,50.96109,57.796719,78.550705,57.584873,88.41256,41.020702,16.29381,2.3681479,2.7821846,-.24694768,-7.7808833,1.6808201,-11.277251,39.786442,-6.2389627,.34434062,-58.452106,15.647625,-.4907003,4.2101254
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,16.484501,19.356493,24.324917,27.355522,28.624636,29.24773,28.864157,29.152927,28.331533,26.64595,22.409773,19.003792,16.912333,19.479992,24.249115,27.769272,28.635775,29.225363,28.676062,29.254013,28.437275,27.080074,22.982294,18.789257,.82590932,.98022908,.72055185,.66110045,.35953543,.36092055,.47834367,.19503222,.36930245,.53659326,.51031709,.40157825,-.78355354,-1.3217372,-1.3625225,-.86167639,-.72521842,-.63399643,-.54286659,-.81482172,-.55485439,-1.0416131,-1.2290353,-1.1981046,5.0251741,5.6415639,11.17418,41.100315,196.2718,328.63739,457.82852,360.08517,508.55344,15.944576,2.5972347,0,6.3518925,11.817493,21.508936,49.208527,151.14641,256.38293,493.44519,325.62619,357.73264,82.454781,9.8163328,2.4252913,7.8411064,11.20379,8.691144,21.39563,56.906796,69.069023,91.517113,63.589931,98.654312,45.948154,14.52986,2.7030144,2.23348,-.44648844,-7.1800742,.62006098,-12.459172,45.225235,6.1141286,4.2029767,-61.654099,12.23056,.25582996,4.894733
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,16.580791,19.57457,24.37059,27.06436,28.231302,28.96917,28.709028,29.009859,28.105049,26.773987,22.477388,19.553385,17.17959,19.691748,24.277845,27.366343,28.188677,28.891035,28.547594,29.15538,28.201586,27.028524,23.064293,19.211262,.84669209,.9914847,.75147927,.65163797,.39494288,.34323797,.46609396,.20302674,.37415439,.5357573,.49339107,.40680104,-.77165455,-1.2775515,-1.2865689,-.8176325,-.72945255,-.64351732,-.54464561,-.86597562,-.51554799,-.99705935,-1.1961026,-1.2118317,5.3026562,6.877892,13.586886,46.79847,226.26572,374.83557,502.61209,431.18549,574.59534,16.899967,3.1860123,0,5.4770412,12.517661,24.590578,65.156471,185.93256,308.66544,560.39563,365.11981,406.30252,98.22187,9.0217209,2.5546997,6.3655152,12.002459,10.234027,26.979982,65.174141,83.332993,106.52418,74.694588,110.33541,53.399815,12.587281,2.8636909,1.549664,-.61542261,-7.8965125,-1.4249893,-13.753428,51.420567,13.297771,7.7549706,-60.160179,10.834712,.64196599,4.6700339
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,16.525553,19.755514,24.624632,27.793976,28.965788,29.509058,28.985043,29.094423,28.385042,26.862076,22.472561,18.865528,16.95116,19.73455,24.581118,28.255552,29.023207,29.485041,28.774622,29.28812,28.538645,27.177858,22.961475,18.707518,.82678509,1.0116708,.72200185,.67154741,.33899766,.41330621,.45100304,.21276888,.34099633,.51221615,.52596301,.40891406,-.63915801,-1.2578962,-1.2689606,-.7951411,-.66704595,-.60310024,-.48648438,-.72960728,-.52199763,-.93275452,-1.1436684,-1.0710821,4.7438798,6.2605081,11.118374,36.265251,163.617,303.32831,396.11716,337.53693,456.49951,16.016619,3.0216975,0,7.0926619,10.359206,20.604517,41.410057,131.00452,235.90173,435.36221,301.62527,329.46109,83.353111,9.9816685,1.92873,8.851902,9.6770582,8.2002983,18.22761,46.580101,67.085968,75.438728,52.281525,88.223396,45.607975,13.97402,2.0990782,2.487906,.37113386,-6.4274125,1.980528,-9.089077,36.025097,11.633115,3.868284,-53.16436,10.986115,-.18155563,3.9719915
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,16.597036,20.021961,24.81638,27.940638,29.052927,29.595177,29.034952,29.06032,28.41054,26.953632,22.5924,18.943764,17.07707,19.923445,24.812815,28.414925,29.115074,29.56395,28.814243,29.275866,28.5674,27.146833,23.04031,18.776737,.83640701,1.0327204,.73397094,.67368197,.32854435,.43506852,.43606734,.22409746,.33168867,.49965066,.52571291,.43024439,-.58278561,-1.21968,-1.216107,-.74798149,-.65021765,-.58657897,-.46377704,-.70528966,-.49103057,-.86776125,-1.0992808,-1.0295923,4.5921116,6.4334583,11.179942,36.351746,157.64027,300.26898,375.32071,340.92261,441.39728,16.041386,3.5053935,0,6.8554564,9.3116198,19.991434,42.179901,131.01085,236.49222,420.91953,297.62955,323.06604,86.519386,10.066959,1.9219483,8.5511208,8.7275133,7.9718652,18.362509,44.77454,68.670982,74.216896,49.466019,85.455467,46.910915,13.55317,2.1096039,2.2574837,.67735726,-5.9270401,2.3068998,-8.0737476,33.004673,13.635299,4.3516431,-48.222549,10.044765,-.30631837,3.9058287
