id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,1.1,,.8100000000000001,.3,.88,.8200000000000001,2.8,.88,9,,3.4,1.1,.91,2,47,2.9
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,.59,,.39,.21,.84,.58,2.7,.45,2.3,,1.6,.8300000000000001,.87,1.4,44.6,1.5
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,.62,,.4,.21,.51,.38,3.4,.65,4.100000000000001,,1.7,.86,.47,.9,57.40000000000001,2.1
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,.6800000000000001,,.63,.27,.71,.61,2.7,.63,2.5,,2.6,.98,.7000000000000001,1.5,45.6,2.1
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,.5,,.84,.16,.48,.48,2.1,.49,1.4,,3.5,.63,.46,1.2,35.4,1.6
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,.91,,.86,.26,.92,.45,,.5700000000000001,2.1,,3.6,1,.75,1.1,,1.9
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,1.4,.41,.9500000000000001,.2,.7000000000000001,.5,,.34,2.9,.49,3.9,.8100000000000001,.64,1.2,,1.1
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,1.1,.41,.86,.2,.58,.45,2.6,.37,2.2,.5,3.6,.8100000000000001,.5,1.1,44,1.2
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,.67,,.8300000000000001,,.74,.51,,.5,1.9,,3.5,,.64,1.2,,1.6
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,1.2,,.71,,.6900000000000001,.5700000000000001,2.7,.54,2.9,,3,,.64,1.4,45.3,1.8
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,1,,.73,.24,1,.36,2.6,.6800000000000001,2.6,,3,.96,.8100000000000001,.86,44,2.2
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,.55,,.8300000000000001,.17,.78,.38,2.6,.53,1.6,,3.4,.6900000000000001,.64,.92,44,1.7
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,.61,,.8,.31,.32,.54,2.1,.71,1.8,,3.3,1.3,.32,1.3,35.4,2.3
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,.59,,.63,.2,.6800000000000001,.54,1.1,.6,1.7,,2.6,.8100000000000001,.5700000000000001,1.3,17.6,1.9
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,.77,,.39,.17,1,.51,2.6,.48,6.800000000000001,,1.6,.72,.91,1.2,44.40000000000001,1.6
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,.62,,.34,.11,.77,.53,2.6,.6800000000000001,2.2,,1.4,.44,.6900000000000001,1.3,44.1,2.2
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,.67,,.36,.1,.89,.6,,.76,2.1,,1.5,.38,.8200000000000001,1.4,,2.5
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,.75,,.5600000000000001,.21,.66,.66,2.7,.92,2.3,,2.3,.8300000000000001,.5600000000000001,1.6,45.6,3
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,.78,,.85,.34,1.8,.63,2.1,.71,2.5,,3.5,1.1,1.4,1.5,35.8,2.3
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,.53,,.36,.21,1.1,.48,1,.61,1.7,,1.5,.85,1,1.2,16.9,2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,.54,,.8,.25,.92,.21,1,.24,1.9,,3.3,.9,.85,.52,17,.78
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,.66,,.58,.29,.8200000000000001,.5600000000000001,2.1,.59,2.4,,2.4,1,.88,1.4,36,1.9
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,.88,.41,.6,,.8200000000000001,.92,2.3,.86,2.8,.49,2.5,,.98,2.2,38.40000000000001,2.8
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,.58,,.45,,.65,.61,,.5600000000000001,1.6,,1.9,,.78,1.5,,1.8
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,.6900000000000001,,.23,,.72,.84,,.5600000000000001,1.8,,.97,,.88,2,,1.8
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,.85,,.44,,.91,.9500000000000001,.96,.66,2.2,,1.8,,1.1,2.3,16.2,2.1
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,.6,.41,.35,.2,.8300000000000001,.58,3.3,.5,1.7,.5,1.4,.8100000000000001,.9500000000000001,1.4,54.90000000000001,1.6
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,.72,,.41,,.8200000000000001,.64,2.6,.8,2,,1.7,,.97,1.5,44,2.6
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,1,,.25,.3,.8300000000000001,1.2,2.8,.84,2.8,,1,1.1,.98,3,46.2,2.7
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,.9300000000000001,,.47,.29,.8200000000000001,.98,2.9,.88,2.8,,1.9,1.2,1,2.4,49.3,2.9
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),.76,,.13,,.62,.8100000000000001,2.6,.66,2,,.55,,.79,2,44,2.1
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,.98,.41,.2,.32,.74,1.1,,.79,2.7,.49,.8200000000000001,1,.92,2.8,,2.6
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,.52,,.3,.2,.5700000000000001,.6,2.3,.35,1.4,,1.3,.79,.6900000000000001,1.4,38.5,1.1
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,.73,.41,.38,.2,.91,.73,2.1,.6800000000000001,2.1,.49,1.6,.8100000000000001,1.1,1.8,35.3,2.2
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,.76,.41,.55,.21,.67,.8200000000000001,2.1,.67,2.2,.5,2.3,.88,.78,2,35,2.2
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,.59,,.41,,.62,.71,.97,.29,1.7,,1.7,,.75,1.7,16.2,.9300000000000001
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,.89,,.43,.2,.71,1,2.1,.6800000000000001,2.4,,1.8,.8100000000000001,.8200000000000001,2.5,35,2.2
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,.89,,.43,.2,.71,1,2.1,.6800000000000001,2.4,,1.8,.8100000000000001,.8200000000000001,2.5,35,2.2
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,.42,,.36,,.7000000000000001,.44,,.34,1.2,,1.5,,.85,1.1,,1.1
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,.5,,.41,,.77,.75,,.24,1.5,,1.7,,.88,1.8,,.76
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,.44,,.31,,.8300000000000001,.74,,.27,1.2,,1.3,,.92,1.8,,.88
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,.62,,.5600000000000001,,.9400000000000001,.72,,.29,1.7,,2.3,,.98,1.7,,.9500000000000001
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,.79,,.51,,,.42,,.49,2.9,,2.1,,,1,,1.6
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,.5600000000000001,,.39,,,.41,,.36,1.9,,1.6,,,1,,1.2
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,.45,,.31,,,.35,.45,.63,1,,1.3,,,.84,7.5,2.1
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,.97,,.47,,,.6900000000000001,.98,.58,2.2,,1.9,,,1.7,16.5,1.9
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,.97,,.47,,,.6900000000000001,.98,.58,2.2,,1.9,,,1.7,16.5,1.9
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,1.1,,.3,,,.54,1.5,,1.7,,1.3,,,1.3,25,
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,.73,,.24,,,.37,1.7,.39,1.2,,1,,,.89,29,1.2
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,.73,,.24,,,.37,1.7,.39,1.2,,1,,,.89,29,1.2
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,2,,.58,,,.62,2.2,.45,2.6,,2.4,,,1.5,36.9,1.5
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,2,,.58,,,.62,2.2,.45,2.6,,2.4,,,1.5,36.9,1.5
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,.96,,.28,,,.48,.49,,1.4,,1.2,,,1.2,8.300000000000001,
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,1.8,,.28,,,.8300000000000001,.77,.62,2.5,,1.1,,,2,13,2
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,.49,,.29,,,.26,,,.91,,1.2,,,.63,,
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,.8,,.47,,,.51,.87,.31,1.8,,2,,,1.2,14.5,1
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,.8,,.47,,,.51,.87,.31,1.8,,2,,,1.2,14.5,1
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,.5,,.28,,,.29,,,1.1,,1.1,,,.7000000000000001,,
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,.5,,.28,,,.29,,,1.1,,1.1,,,.7000000000000001,,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,.5,,.28,,,.29,,,1.1,,1.1,,,.7000000000000001,,
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,1.8,,.29,,,.7000000000000001,.38,.5,2,,1.2,,,1.7,6.4,1.6
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,1.8,,.29,,,.7000000000000001,.38,.5,2,,1.2,,,1.7,6.4,1.6
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,.96,,.29,,,.26,.32,.48,1.2,,1.2,,,.62,5.300000000000001,1.6
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,.96,,.29,,,.26,.32,.48,1.2,,1.2,,,.62,5.300000000000001,1.6
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,.86,.73,.34,.19,.9,.65,2.2,.41,2.2,.89,1.4,.7000000000000001,1.2,1.6,36.1,1.3
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,1,.76,.37,.17,.97,.6800000000000001,2.1,.39,2.3,.9300000000000001,1.5,.71,1.1,1.6,35.7,1.3
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,.75,.86,.35,.16,.8300000000000001,.66,2.1,.4,1.8,1,1.4,.63,1.2,1.6,35.9,1.3
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,.87,.77,.34,.15,.97,.6800000000000001,2.2,.4,2.2,.9400000000000001,1.4,.6,1.2,1.6,36.2,1.3
