id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,3.4,50.2,0,0,0,0,0,16.1,16.1,0
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,0,22.1,0,0,0,0,0,11.9,11.9,0
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,.9,65.2,0,0,0,0,0,56.3,56.3,0
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,0,85.10000000000001,0,0,0,0,0,0,0,0
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,.3,49.7,0,0,0,0,0,0,0,0
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,0,31,0,0,0,0,0,0,0,0
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,0,10.7,0,0,0,0,0,27.8,27.8,0
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,2.9,25.9,0,0,0,0,0,13.8,13.8,0
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,2.9,25.9,0,0,0,0,0,13.8,13.8,0
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,3.3,41.1,0,0,0,0,0,13.3,13.3,0
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,3.3,41.1,0,0,0,0,0,13.3,13.3,0
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,.1,13.9,0,0,0,0,0,32.9,32.9,0
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,.1,13.9,0,0,0,0,0,32.9,32.9,0
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,.2,72.7,0,0,0,0,0,0,0,0
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,.1,88.90000000000001,0,0,0,0,0,0,0,0
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,.1,57.2,0,0,0,0,0,0,0,0
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,.5,81.30000000000001,0,0,0,0,0,0,0,0
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,7.100000000000001,25.3,0,0,0,0,0,1,1,0
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,.1,26.6,0,0,0,0,0,0,0,0
