id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,25.6,.5600000000000001,101,135
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,22.2,.7000000000000001,101,174
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,29.1,.6800000000000001,105,177
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,22.2,.65,105,168
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,19.5,.62,117,162
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,27.1,.62,121,162
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,30.2,.59,123,168
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,45.90000000000001,.53,124,170
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,34.1,.64,109,194
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,30.4,.66,108,223
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,34.4,.64,110,188
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,25.5,.6900000000000001,108,188
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,18,.6900000000000001,110,182
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,22.1,.72,105,190
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,17.5,.72,98.60000000000001,187
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,20.8,.73,98.60000000000001,195
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,21.2,.76,102,199
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,23.3,.77,105,211
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,21.4,.77,106,206
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,20.6,.74,106,216
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,22.4,.7000000000000001,107,208
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,24.4,.7000000000000001,107,270
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,27,.6,106,223
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,25.6,.6900000000000001,107,218
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,18,.71,107,213
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,18.5,.66,105,211
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,22.2,.67,105,207
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,21.8,.72,104,212
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,22,.71,102,205
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,23.6,.73,103,204
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),30.5,.58,107,213
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,30.4,.58,104,213
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,26.5,.59,102,230
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,21.8,.63,102,216
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,23.5,.63,102,206
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,27,.58,106,203
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,26.7,.64,104,200
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,24.3,.65,102,203
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,100,.18,168,33.1
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,70.2,.09,168,77.10000000000001
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,88.10000000000001,.15,168,80.2
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,97.60000000000001,.13,168,70.2
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,44,.06,139,46.3
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,85.40000000000001,.08,134,60.6
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,86.40000000000001,.1,132,63.3
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,88.30000000000001,.13,127,75.8
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,88.30000000000001,.13,127,75.8
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,93.5,.11,111,55.8
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,87,.11,114,68.5
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,87,.11,114,68.5
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,83.90000000000001,.12,114,72
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,83.90000000000001,.12,114,72
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,86,.09,118,58.90000000000001
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,80.5,.17,117,59.3
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,80.5,.26,115,76.60000000000001
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,96.30000000000001,.09,125,65.60000000000001
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,84.80000000000001,.09,120,52.5
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,43.90000000000001,.1,115,57.40000000000001
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,80.40000000000001,.12,115,70.7
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,80.40000000000001,.12,115,70.7
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,81.10000000000001,.16,118,63.5
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,81.10000000000001,.16,118,63.5
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,68.3,.09,119,47.2
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,68.3,.09,119,47.2
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,75.3,.25,118,86.40000000000001
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,69.90000000000001,.27,122,83.40000000000001
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,88.40000000000001,.15,115,79.30000000000001
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,48.40000000000001,.3,122,84.80000000000001
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,59.40000000000001,.3,101,95
