id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,45.5,,0,44.2,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,32.3,,,67.2,
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,35.5,,,60.3,
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,49.5,49.5,2.8,29.7,17.3
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,32.7,,,83.30000000000001,
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,33.2,,,82.30000000000001,
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,48.1,32.2,35.6,54.40000000000001,74.2
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,33.4,,,78.90000000000001,
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,38.90000000000001,,,69.10000000000001,
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,54.2,37,.4,42,63.6
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,33.4,,,83.2,
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,34.3,,,79.10000000000001,
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,39.3,25,1.1,55.2,72.2
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,30.6,,,85.10000000000001,
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,33.5,,,80,
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,47.90000000000001,,0,54.8,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,30.9,,,84.5,
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,34,,,77.7,
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,51,40,11.6,40.8,57.1
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,32.4,,,81.90000000000001,
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,46,,,55.7,
