id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,elev,rough,irr_all,ac_irr,irr_gw,irr_sw,lcrt
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,109,58.6,25.1,25.1,11.4,13.7,64.7
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,69.2,5.100000000000001,40.90000000000001,40.90000000000001,32.5,8.4,68
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,65.90000000000001,2.7,34.5,34.5,33.9,.6000000000000001,53.90000000000001
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,66.5,6.7,26.3,26.3,21.2,5.100000000000001,46
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,62.1,7.300000000000001,30.2,30.2,17.2,13,69.5
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,60.40000000000001,7.4,36.5,36.5,23.9,12.6,53.5
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,56,6.9,23.5,23.5,16.7,6.9,30.4
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,60.5,8.5,17.7,17.5,16.3,1.4,4.4
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,41.3,3.8,32.2,32.1,28.1,4,76.80000000000001
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,32.4,3.2,31.9,31.7,28.9,3,94.60000000000001
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,44.90000000000001,5.7,46.90000000000001,46.90000000000001,21.3,25.6,84.2
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,43.3,2.6,38.90000000000001,38.90000000000001,34.1,4.9,99.40000000000001
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,50.2,4,20.3,20.3,17.4,2.8,98.5
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,56.8,3,30.3,30.3,28.8,1.5,95.7
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,70.60000000000001,4.100000000000001,65.40000000000001,65.2,45.1,20.3,100
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,64.10000000000001,2.8,74.10000000000001,73,66.2,7.9,100
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,56.1,3.2,55.3,55.1,43.2,12.1,100
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,51.8,3.5,45.6,45.6,38.6,6.9,100
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,47.5,3.2,37.8,37.8,27.5,10.4,98.30000000000001
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,43.2,2.8,46.40000000000001,46.40000000000001,43.7,2.6,100
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,38.1,2.1,43.40000000000001,43.40000000000001,40.5,2.9,100
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,37.6,6.600000000000001,23.4,23.4,17.5,5.800000000000001,99.7
