id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,36.2,,96.2,2.7,.9,.2,0,96,.2,.9,.2,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,38.1,,96.2,2.8,.8,.1,.1,96,.2,.8,.1,.1
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,56.8,47.7,96.10000000000001,3.2,.5,0,.1,95.80000000000001,.3,.5,0,.1
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,45.40000000000001,,93.60000000000001,5,.5,.8,.1,93.40000000000001,.2,.5,.8,.1
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,47.40000000000001,,94,4.600000000000001,.6000000000000001,.7000000000000001,.1,93.80000000000001,.3,.6000000000000001,.7000000000000001,.1
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,67.2,60.2,94.60000000000001,4.100000000000001,.7000000000000001,.6000000000000001,0,94.40000000000001,.4,.7000000000000001,.6000000000000001,0
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,65.8,,90.7,6,1.9,.9,.4,90,.6000000000000001,1.9,.9,.4
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,65.7,,91.30000000000001,5.300000000000001,2.2,.8,.4,90.7,.6000000000000001,2.2,.8,.3
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,64.3,32.2,93.40000000000001,2.7,3.3,.3,.2,93.2,.4,3.3,.3,.2
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,74.10000000000001,,92.90000000000001,5.100000000000001,1.1,.6000000000000001,.3,91.90000000000001,1.8,1,.6000000000000001,.3
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,73.90000000000001,,93.80000000000001,4.4,1,.5,.2,93,1.7,1,.5,.2
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,70.10000000000001,,96.90000000000001,2.1,.8,.1,.1,96.5,1.4,.8,.1,.1
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,60.6,,95.40000000000001,3.6,.5,.4,0,95,.2,.5,.4,0
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,61.40000000000001,,95.60000000000001,3.4,.5,.4,0,95.30000000000001,.2,.5,.4,0
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,69.2,32.4,96.40000000000001,2.7,.6000000000000001,.3,0,96.30000000000001,.1,.6000000000000001,.3,0
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,53.2,,94.90000000000001,3.9,.7000000000000001,.4,.1,94.60000000000001,.7000000000000001,.7000000000000001,.4,.1
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,53.5,,95.2,3.6,.7000000000000001,.5,.1,94.90000000000001,.6000000000000001,.7000000000000001,.5,.1
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,58.90000000000001,51.7,96.60000000000001,2.1,.5,.8,0,96.5,.1,.5,.8,0
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,43.7,,93.7,2.9,1.8,1,.5,92.7,.6000000000000001,1.8,1,.5
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,44.40000000000001,,93.5,2.9,1.9,1.2,.5,92.60000000000001,.5,1.9,1.2,.5
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,64.60000000000001,49.7,92.40000000000001,2.8,2.4,1.9,.4,91.90000000000001,.4,2.4,1.9,.4
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,41.7,,90.2,4.3,3.4,1.7,.4,89.5,.4,3.4,1.7,.4
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,43.40000000000001,,91.10000000000001,3.7,3.1,1.7,.4,90.5,.4,3,1.7,.4
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,51,47.6,94,2,1.9,1.8,.3,93.5,.4,1.9,1.8,.3
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,31.5,,88.10000000000001,5.300000000000001,3.7,2.7,.3,87.2,2.5,3.7,2.7,.2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,32.6,,89.5,5,3.1,2.1,.2,88.7,2.2,3.1,2.1,.2
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,54.1,,93.90000000000001,4.2,1.4,.3,.1,93.2,1.2,1.4,.3,.1
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,42.7,,95.10000000000001,3.8,.7000000000000001,.1,.3,93.5,.3,.7000000000000001,.1,.3
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,45.5,,95.90000000000001,2.7,1,.2,.2,94.80000000000001,.3,1,.2,.2
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,58,66.7,96.7,1.7,1.3,.2,.1,96,.3,1.3,.2,.1
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,36.9,,88.90000000000001,10.5,.3,.2,.1,88.60000000000001,.4,.3,.2,.1
