id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,4.5,,8.800000000000001,,89,86.30000000000001,59.1,.783
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,.5,,14.6,,100,99.90000000000001,70.90000000000001,1.231
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,.8,,14.5,,98.80000000000001,99.7,71.10000000000001,1.24
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,3.5,1.1,13.3,30.6,82,96.10000000000001,71.7,1.213
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,.5,,17.8,,100,100,70.2,1.117
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,.7000000000000001,,17.6,,99.60000000000001,99.7,70.5,1.138
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,3.6,3.5,15.4,18.9,87.40000000000001,91,71.10000000000001,1.294
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,.4,,26,,91,98.2,77.30000000000001,1.85
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,.5,,25.7,,90,97.7,77.5,1.904
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,4.5,1.3,17.4,27.4,59.3,82,79.30000000000001,3.344
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,.4,,27.6,,94.7,100,79.5,1.648
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,.8,,26.5,,93.7,99.90000000000001,79.80000000000001,1.663
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,2.8,2.9,21.3,19.8,76.10000000000001,97.90000000000001,80.5,1.638
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,.2,,38.40000000000001,,100,100,72.2,1.852
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,.3,,37.7,,99.5,99.5,73.60000000000001,2.002
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,2.2,,22.3,,90.80000000000001,90.80000000000001,44.5,1.01
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,.6000000000000001,,30.9,,97.30000000000001,98.60000000000001,80.7,2.413
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,1.5,,28.9,,96.80000000000001,98.7,82.90000000000001,2.533
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,5.2,7.7,20,12.3,93.10000000000001,99.40000000000001,46.3,.436
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,.3,,33.1,,100,100,71.90000000000001,1.868
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,.4,,32.9,,100,100,72.8,1.911
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,2.2,.4,26.9,39.1,100,100,84.7,1.697
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,.5,,33.2,,100,100,76,2.295
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,1.1,,28.4,,97.30000000000001,97.7,79.80000000000001,2.483
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,2.6,4.3,15.1,43.1,86.80000000000001,88.5,87.90000000000001,2.033
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,.3,,33.4,,98.2,98.2,81,2.32
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,.5,,32.1,,96.5,96.60000000000001,81.90000000000001,2.367
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,1.2,1.8,24.4,38.7,84.40000000000001,84.7,83.7,2.694
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,.5,,31.5,,100,94.90000000000001,73,1.721
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,.6000000000000001,,29.6,,98.2,94,77.7,1.982
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,1.4,,20,,89.30000000000001,89.30000000000001,91.7,3.264
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,.4,,35.4,,94.5,94.5,72.10000000000001,1.825
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,.8,,33.4,,90.7,90.40000000000001,76.80000000000001,2.235
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,2.5,.7000000000000001,22.6,38.40000000000001,77.5,75.8,83.60000000000001,2.399
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,.7000000000000001,,26.7,,99.80000000000001,99.80000000000001,73.2,2.179
