id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,96.90000000000001,96.10000000000001,96.30000000000001,65.8,6.7,59.1
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,99.30000000000001,95.2,91.10000000000001,72.90000000000001,9.300000000000001,63.6
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,98.80000000000001,95,91.10000000000001,72,9.1,62.90000000000001
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,91.7,91.60000000000001,91.60000000000001,57.8,6.5,51.3
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,95.80000000000001,93,88.7,74.8,9.4,65.5
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,95.40000000000001,92.90000000000001,88.60000000000001,73.60000000000001,9.200000000000001,64.40000000000001
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,91.2,91.60000000000001,87.60000000000001,61.6,7.5,54.1
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,89.5,90.90000000000001,87.5,72.5,8.800000000000001,63.7
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,89.5,90.80000000000001,87.30000000000001,71.8,8.700000000000001,63.1
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,89,89.90000000000001,84.10000000000001,62.40000000000001,7.600000000000001,54.8
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,91.10000000000001,92.90000000000001,90.40000000000001,77.60000000000001,7.600000000000001,70
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,91.10000000000001,92.80000000000001,90.2,76.80000000000001,7.600000000000001,69.2
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,90.10000000000001,91.2,83.2,56.8,6.300000000000001,50.5
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,89.60000000000001,92.80000000000001,89.5,78.10000000000001,7.300000000000001,70.8
