id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_wtr_slm,hh_snt2_t,hh_snt2_slm,hh_snt_t,hh_snt_slm
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,88.7,84.2,69.8,61.1,68.90000000000001,60.2
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,86,,25,,23.9,
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,86.7,,30.8,,29.7,
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,90.2,90.2,56.90000000000001,69.90000000000001,55.6,68.5
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,87.2,,21.1,,19.9,
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,87.5,,23.2,,21.9,
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,92.80000000000001,,65.2,,62,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,71.5,,24.5,,23.4,
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,73.8,,33,,31.6,
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,83.80000000000001,90.40000000000001,70.2,78.30000000000001,67.90000000000001,73.60000000000001
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,54,,10.8,,10.6,
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,54.8,,12,,11.8,
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,75.3,66.3,44.40000000000001,22,44,21.2
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,63.90000000000001,,25.6,,24.8,
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,68.3,,37.8,,36.8,
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,80.60000000000001,52.3,71.7,43.1,70.10000000000001,43.1
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,69.2,,26.3,,25.4,
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,71.10000000000001,,31.2,,30.3,
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,82.7,68,60.6,22.9,59.6,22.9
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,71,,23.8,,22.2,
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,70.60000000000001,,28.4,,26.9,
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,68.90000000000001,,51.3,,50.3,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,71.3,,22.2,,21.4,
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,72.3,,30,,29.1,
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,77.80000000000001,68.3,72.5,50.1,70.60000000000001,47.40000000000001
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,80.40000000000001,,26.9,,26,
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,85.40000000000001,,52.2,,51.3,
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,92,84.60000000000001,85.5,62.8,84.7,60.8
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,91.60000000000001,,20,,19.4,
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,92.10000000000001,,26.6,,26,
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,95.30000000000001,93.30000000000001,67.60000000000001,43.40000000000001,66.90000000000001,42.90000000000001
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,90.10000000000001,,19.6,,19.2,
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,90,,24.2,,23.8,
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,88.90000000000001,74.60000000000001,66.2,42.8,65.5,42.2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),77.10000000000001,,14.1,,13.6,
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),77.80000000000001,,16.3,,15.9,
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),94.30000000000001,88.2,69.90000000000001,63.5,69.7,63.5
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,91.7,,20.5,,20.2,
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,92,,27.6,,27.2,
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,93.90000000000001,87.7,67.40000000000001,75.7,66.90000000000001,75.40000000000001
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,85.30000000000001,,16.7,,16.3,
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,86,,21.3,,20.9,
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,92.90000000000001,96.90000000000001,66.90000000000001,49,66.3,48.90000000000001
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,72.5,,15.8,,14.9,
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,74.60000000000001,,23.5,,22.5,
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,89.30000000000001,77.10000000000001,76.5,44.7,75.40000000000001,43.7
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,74.10000000000001,,16.9,,16,
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,75.2,,21.8,,20.8,
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,85.30000000000001,,68.10000000000001,,66.2,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,42.90000000000001,,11.5,,10.8,
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,45.6,,14.4,,13.7,
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,77.10000000000001,,48.3,,47.40000000000001,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,83.5,,21.8,,21,
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,84.30000000000001,,27.3,,26.5,
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,90.10000000000001,89.5,67.10000000000001,26.7,66.5,26.5
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,91.40000000000001,,21.8,,21.1,
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,91.80000000000001,,23,,22.3,
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,96.90000000000001,,38.6,,37.2,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,52.8,,74.8,,68.2,
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,57,,77.2,,70.3,
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,92,93,97.30000000000001,98.2,88.40000000000001,98.2
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,64.8,,84,,78.7,
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,65.5,,84.2,,79.10000000000001,
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,80.80000000000001,86.5,89.2,72.10000000000001,87.90000000000001,72.10000000000001
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,81.40000000000001,,84.60000000000001,,75.60000000000001,
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,83.2,,86.7,,79,
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,92.5,94.7,97.90000000000001,99.80000000000001,97.30000000000001,99.30000000000001
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,61.8,,85.5,,78.7,
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,74.40000000000001,,89.90000000000001,,85.7,
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,88.5,88.5,94.80000000000001,90.7,93.40000000000001,88.7
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,63.6,,63.1,,40.8,
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,69.60000000000001,,68.7,,50.1,
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,99.10000000000001,,96.60000000000001,,96,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,72.2,,38.3,,34.9,
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,77.30000000000001,,49.8,,46.2,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,93.80000000000001,,87.40000000000001,,83,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,52.40000000000001,,18.3,,15.4,
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,59.6,,29.1,,26.8,
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,82.10000000000001,43.7,63.2,26.8,62.6,23
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,57.8,,54.3,,47.5,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,57.8,,54.3,,47.5,
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,73.2,,76,,72,
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,73.2,,76,,72,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,83.60000000000001,,90.80000000000001,,88.60000000000001,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,83.60000000000001,,90.80000000000001,,88.60000000000001,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,57.1,,24.9,,18.7,
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,63.7,,34.7,,28.9,
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,96.90000000000001,,83.90000000000001,,80.2,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,77.90000000000001,,55.7,,45,
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,77.90000000000001,,55.7,,45,
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,81.10000000000001,,65.3,,56.5,
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,81.10000000000001,,65.3,,56.5,
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,90.7,86,94.30000000000001,89.5,91.30000000000001,88.90000000000001
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,90.7,86,94.30000000000001,89.5,91.30000000000001,88.90000000000001
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,67.40000000000001,,45.8,,38.1,
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,67.40000000000001,,45.8,,38.1,
