id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_man_t,lp_inf_man_1,lp_inf_man_2,lp_inf_man_3,lp_inf_man_4,lp_inf_man_5,lp_inf_man_6,lp_inf_man_7,lp_inf_man_8,lp_inf_man_9,lp_inf_man_10,lp_inf_man_11,lp_inf_man_12,lp_inf_man_13,kl_inf_man_t,kl_inf_man_1,kl_inf_man_2,kl_inf_man_3,kl_inf_man_4,kl_inf_man_5,kl_inf_man_6,kl_inf_man_7,kl_inf_man_8,kl_inf_man_9,kl_inf_man_10,kl_inf_man_11,kl_inf_man_12,kl_inf_man_13
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,147.2,136.7,93.10000000000001,31.2,,,,120,96.10000000000001,,,,,206.8,1420.3,1966.6,817.3000000000001,190.3,,,,638.5,757.8000000000001,,,,,969.8000000000001
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,158.5,135.4,98.60000000000001,49.8,125.6,,,184.3,134.7,,,,,252.5,1685.7,1986.4,1202.9,591.7000000000001,3496.8,,,15358.3,1295.8,,,,,1143.3
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,235.3,111.8,117.7,51.3,125.6,,,395.3,241.8,,,,,829.1,3489,2330.9,2553.4,625.6,3496.8,,,63616.2,2788.1,,,,,3331.3
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,117.8,131.6,84.90000000000001,101,,,,,346.5,,,,,323.9,939.9000000000001,1277.6,665.8000000000001,846.6,,,,,1088.8,,,,,688.9000000000001
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,125.7,131.6,92.5,100.9,141.8,,,,312.6,283.6,,,441.1,388.4,956,1277.6,741.6,845.6,2104.8,,,,1088,474.6,,,1503.4,937.1
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,236.1,,134.9,67.60000000000001,141.8,,,,260.1,283.6,,,441.1,471,1182.8,,1159.5,116.8,2104.8,,,,1086.6,474.6,,,1503.4,1255.1
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,204,126.5,71.5,59.40000000000001,,,,39.8,79.40000000000001,,,,,298.8,670.1,1259.6,626.5,297.3,,,,104.2,899,,,,,679
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,204.8,126.7,77.40000000000001,59.40000000000001,,,,59.8,108.8,,211.1,,790.1,300.3,711.6,1276.6,705.9000000000001,297.3,,,,274.2,1009.8,,1310.3,,2410.5,699.5
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,222.7,129.1,133,,,,,266.8,220.1,,211.1,,790.1,425.5,1644.4,1443.1,1462.1,,,,,2035.5,1428.5,,1310.3,,2410.5,2386.2
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,111.3,142.8,91.40000000000001,66.3,,,,97.80000000000001,357.6,,,,,163.2,837.6,2203.7,1590.5,1344.5,,,,295.6,2041.7,,,,,1537.2
