id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,est_sh_6,est_sh_7,est_sh_8,est_sh_9,est_sh_11,own_fen,own_men,size
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,66,8.4,.7000000000000001,.4,24.5,0,100,1
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,64.7,9.4,.8,.7000000000000001,24.4,0,100,1
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,52.40000000000001,19.3,1.5,3.1,23.7,1,99,2
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,71.5,13.2,,.6000000000000001,14.8,3,97,1
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,75.2,10.7,,.5,13.6,3,97,1
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,91.2,,,.3,8.5,3,97,1
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,30.2,13,.8,1.2,54.8,0,100,1
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,36.2,11.4,.7000000000000001,1.5,50.2,0,100,1
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,75.10000000000001,1.3,,3,20.6,3,97,2
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,69.8,11.6,.6000000000000001,.2,17.8,1,99,1
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,73.90000000000001,8.4,.5,1.5,15.6,1,99,1
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,84.30000000000001,.3,.4,4.800000000000001,10.2,3,97,1
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,45.8,11.9,.3,2,40.1,1,99,1
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,48.6,12.6,.2,2.7,35.8,2,98,2
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,56.8,14.7,.1,4.7,23.6,4,96,2
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,56.6,19.5,,.1,23.9,2,98,1
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,56.5,18.9,.1,.4,24.1,2,98,1
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,55.6,2.6,3.5,8.300000000000001,29.9,3,97,2
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,52.2,16.9,,.3,30.6,2,98,2
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,57.2,11.6,.6000000000000001,4.100000000000001,26.4,4,96,2
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,63.40000000000001,5,1.5,8.9,21.3,7,93,2
