id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cls_good_pri,elec_sch_pri,grl_tlt_pri,wtr_sch_pri,ptr_pri,ptr30_pri
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,64.5,3.3,19.3,86.80000000000001,58.6,76.10000000000001
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,64.2,3.6,19.6,93.2,58.1,81.5
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,59.6,.3,23.6,6.4,50.7,5.300000000000001
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,60.5,2,50.3,89.80000000000001,61.1,88.30000000000001
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,59.8,2.2,50.1,93.30000000000001,60.8,91.10000000000001
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,43.1,.2,45.6,3.4,50.8,2.8
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,56.40000000000001,2.2,17.2,85.10000000000001,73.3,89
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,56.40000000000001,2.4,17.2,87.10000000000001,73,91.10000000000001
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,56.7,.2,14.5,2,60.7,2.1
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,66.5,3.1,50.40000000000001,95,65.7,87
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,66.5,3.4,50.3,98.40000000000001,65.60000000000001,90.10000000000001
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,67.3,.3,49.1,3.4,64.90000000000001,3.1
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,54.7,3.9,80.7,94.60000000000001,67.2,83.2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,54.3,4.100000000000001,81.10000000000001,99.5,66.2,86.90000000000001
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,45.90000000000001,.2,87.80000000000001,4.9,46.40000000000001,3.7
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,64.3,3.8,53.90000000000001,82.90000000000001,70.10000000000001,79.60000000000001
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,63.7,4.600000000000001,50.8,93.90000000000001,67.60000000000001,88.80000000000001
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,59.7,.9,26.7,11,49.40000000000001,9.1
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,40,2.8,11.2,89.60000000000001,75.2,88.60000000000001
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,40.2,3,11.9,91.5,75.3,90.40000000000001
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,51.7,.3,47.2,2,79.60000000000001,1.8
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,51.1,2.9,18.7,72.7,69.5,71.40000000000001
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,50.7,4.7,19.1,87.5,65.40000000000001,84.40000000000001
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,49.2,1.8,21.2,14.8,46.7,12.9
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,55.2,4.100000000000001,25.3,78.5,50.90000000000001,81.10000000000001
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,54.90000000000001,5.4,26.2,83.7,50.2,87.30000000000001
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,50.90000000000001,1.2,37.3,5.2,42.3,6.100000000000001
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,57,5.100000000000001,44.3,83,70.3,85.5
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,56.2,8.9,44.6,91.10000000000001,69.7,94.40000000000001
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,48.3,3.8,47.6,8,64.8,8.9
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,66.10000000000001,3.8,58.6,85.80000000000001,85.10000000000001,84
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,66.10000000000001,4.3,60.7,93.2,83.30000000000001,91
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,66.60000000000001,.5,83.90000000000001,7.4,63.2,7
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,59.40000000000001,3,21.7,77.60000000000001,64.2,70.7
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,60.2,5,19.3,92.80000000000001,61.7,82.7
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,65.90000000000001,1.9,7.100000000000001,15.2,49.1,11.9
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,48.5,1.7,61.7,92.80000000000001,86.5,85.60000000000001
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,49.1,3.1,61.1,98.90000000000001,85,91.2
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,57.90000000000001,1.4,52.6,6.100000000000001,63.40000000000001,5.600000000000001
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,63.1,5.800000000000001,63.3,83.5,59.7,72.7
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,62,6.7,64.7,88.7,60.7,77.90000000000001
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,41.1,1,83.80000000000001,5.100000000000001,74.3,5.2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),69.90000000000001,12.2,32.2,96,56.2,77.2
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),69.3,12.7,32.6,97.60000000000001,56,78.5
