distt_id55,spatialId,state,district
2318,3_33_625_0,Tamil Nadu,Kamarajar
2321,3_33_629_0,Tamil Nadu,Kanyakumari
2301,3_33_603_0,Tamil Nadu,Madras
2316,3_33_623_0,Tamil Nadu,Madurai
2323,3_33_618_0,Tamil Nadu,Nagapattinam
2309,3_33_611_0,Tamil Nadu,Nilgiris
2303,3_33_605_0,Tamil Nadu,North Arcot
2315,3_33_622_0,Tamil Nadu,Pasupomthevar Thir
2308,3_33_610_0,Tamil Nadu,Periyar
2314,3_33_621_0,Tamil Nadu,Pudukkottai
2317,3_33_626_0,Tamil Nadu,Ramanathapuram
2307,3_33_608_0,Tamil Nadu,Salem
2306,3_33_617_0,Tamil Nadu,South Arcot
2313,3_33_620_0,Tamil Nadu,Thanjavur
2312,3_33_614_0,Tamil Nadu,Tiruchirappalli
2320,3_33_628_0,Tamil Nadu,Tirunelveli
2305,3_33_606_0,Tamil Nadu,Tiruvannamalai Sa
2319,3_33_627_0,Tamil Nadu,V.O.  Chiudambara
2322,3_33_607_0,Tamil Nadu,Villupuram
2402,3_16_292_0,Tripura,North Tripura
2403,3_16_290_0,Tripura,South Tripura
2401,3_16_289_0,Tripura,West Tripura
2520,3_9_146_0,Uttar Pradesh,Agra
2518,3_9_143_0,Uttar Pradesh,Aligarh
2545,3_9_175_0,Uttar Pradesh,Allahabad
2507,3_5_64_0,Uttar Pradesh,Almora
2564,3_9_162_0,Uttar Pradesh,Auraiya
2557,3_9_191_0,Uttar Pradesh,Azamgarh
2571,3_9_139_0,Uttar Pradesh,Baghpat
2546,3_9_180_0,Uttar Pradesh,Bahraich
2559,3_9_193_0,Uttar Pradesh,Ballia
2566,3_9_182_0,Uttar Pradesh,Balrampur
2542,3_9_170_0,Uttar Pradesh,Banda
2548,3_9_176_0,Uttar Pradesh,Barabanki
2525,3_9_150_0,Uttar Pradesh,Bareilly
2553,3_9_185_0,Uttar Pradesh,Basti
2509,3_9_134_0,Uttar Pradesh,Bijnor
2524,3_9_149_0,Uttar Pradesh,Budaun
2517,3_9_142_0,Uttar Pradesh,Bulandshahar
2502,3_5_57_0,Uttar Pradesh,Chamoli
2568,3_5_65_0,Uttar Pradesh,Champawat
2572,3_9_196_0,Uttar Pradesh,Chandauli
2569,3_9_171_0,Uttar Pradesh,Chitrakoot
2504,3_5_60_0,Uttar Pradesh,Dehradun
2555,3_9_190_0,Uttar Pradesh,Deoria
2522,3_9_201_0,Uttar Pradesh,Etah
2535,3_9_161_0,Uttar Pradesh,Etawah
2549,3_9_177_0,Uttar Pradesh,Faizabad
2534,3_9_159_0,Uttar Pradesh,Farrukhabad
2543,3_9_172_0,Uttar Pradesh,Fatehpur
2521,3_9_147_0,Uttar Pradesh,Firozabad
2505,3_5_61_0,Uttar Pradesh,Garhwal
2516,3_9_140_0,Uttar Pradesh,Ghaziabad
2560,3_9_195_0,Uttar Pradesh,Ghazipur
2547,3_9_183_0,Uttar Pradesh,Gonda
2554,3_9_188_0,Uttar Pradesh,Gorakhpur
2541,3_9_168_0,Uttar Pradesh,Hamirpur
2530,3_9_155_0,Uttar Pradesh,Hardoi
2513,3_5_68_0,Uttar Pradesh,Hardwar
2538,3_9_165_0,Uttar Pradesh,Jalaun
2558,3_9_194_0,Uttar Pradesh,Jaunpur
2539,3_9_166_0,Uttar Pradesh,Jhansi
2567,3_9_137_0,Uttar Pradesh,Jyotiba Phule Nagar
2570,3_9_160_0,Uttar Pradesh,Kannauj
2536,3_9_163_0,Uttar Pradesh,Kanpur Dehat
2537,3_9_164_0,Uttar Pradesh,Kanpur Nagar
2528,3_9_153_0,Uttar Pradesh,Kheri
2540,3_9_167_0,Uttar Pradesh,Lalitpur
2532,3_9_157_0,Uttar Pradesh,Lucknow
2565,3_9_144_0,Uttar Pradesh,Mahamaya nagar
2552,3_9_187_0,Uttar Pradesh,Maharajganj
2523,3_9_148_0,Uttar Pradesh,Mainpuri
2519,3_9_145_0,Uttar Pradesh,Mathura
2556,3_9_192_0,Uttar Pradesh,Maunath Bhanjan (Mau)
2515,3_9_138_0,Uttar Pradesh,Meerut
2562,3_9_199_0,Uttar Pradesh,Mirzapur
2510,3_9_135_0,Uttar Pradesh,Moradabad
2514,3_9_133_0,Uttar Pradesh,Muzaffarnagar
2508,3_5_66_0,Uttar Pradesh,Nainital
2526,3_9_151_0,Uttar Pradesh,Pilibhit
2506,3_5_62_0,Uttar Pradesh,Pithoragarh
2544,3_9_173_0,Uttar Pradesh,Pratapgarh
2533,3_9_158_0,Uttar Pradesh,Rae Bareli
2511,3_9_136_0,Uttar Pradesh,Rampur
2512,3_9_132_0,Uttar Pradesh,Saharanpur
2527,3_9_152_0,Uttar Pradesh,Shahjahanpur
2551,3_9_184_0,Uttar Pradesh,Siddhartha nagar
2529,3_9_154_0,Uttar Pradesh,Sitapur
2563,3_9_200_0,Uttar Pradesh,Sonbhadra
2550,3_9_179_0,Uttar Pradesh,Sultanpur
2503,3_5_59_0,Uttar Pradesh,Tehri Garhwal
2531,3_9_156_0,Uttar Pradesh,Unnao
2501,3_5_56_0,Uttar Pradesh,Uttarkashi
2561,3_9_197_0,Uttar Pradesh,Varanasi
2614,3_19_339_0,West Bengal,Bankura
2617,3_19_334_0,West Bengal,Birbhum
2616,3_19_335_0,West Bengal,Burdwan
2610,3_19_342_0,West Bengal,Calcutta
2603,3_19_327_0,West Bengal,Darjiling
2612,3_19_338_0,West Bengal,Hooghly
2611,3_19_341_0,West Bengal,Howrah
2602,3_19_328_0,West Bengal,Jalpaiguri
2601,3_19_329_0,West Bengal,Koch Bihar
2605,3_19_332_0,West Bengal,Maldah
2613,3_19_344_0,West Bengal,Midnapur
2606,3_19_333_0,West Bengal,Murshidabad
2607,3_19_336_0,West Bengal,Nadia
2608,3_19_337_0,West Bengal,North 24-Parganas
2615,3_19_340_0,West Bengal,Puruliya
2609,3_19_343_0,West Bengal,South 24-Parganas
2604,3_19_330_0,West Bengal,West Dinajpur
