spatialId,distt_id55,spatialState,spatialDistrict,state,district,finalId
3_28_546_0,205,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,3_28_546_0
3_28_551_0,211,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,3_28_551_0
3_12_260_0,NA,Arunachal Pradesh,Anjaw,NA,NA,NA
3_12_253_0,311,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlong,3_12_253_0
3_12_251_0,307,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,3_12_251_0
3_12_259_0,309,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,3_12_259_0
3_12_258_0,308,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Dibang Valley,3_12_258_0
3_12_248_0,NA,Arunachal Pradesh,Papum Pare,NA,NA,NA
3_12_254_0,310,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,3_12_254_0
3_12_250_0,306,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,3_12_250_0
3_18_324_0,NA,Assam,Baksa,NA,NA,NA
3_18_303_0,405,Assam,Barpeta,Assam,Barpeta,3_18_303_0
3_18_319_0,403,Assam,Bongaigaon,Assam,Bangaigaon,3_18_319_0
3_18_316_0,423,Assam,Cachar,Assam,Cachar,3_18_316_0
3_18_320_0,NA,Assam,Chirang,NA,NA,NA
3_18_325_0,408,Assam,Darrang,Assam,Darrang,3_18_325_0
3_18_308_0,411,Assam,Dhemaji,Assam,Dhemaji,3_18_308_0
3_18_301_0,401,Assam,Dhubri,Assam,Dhubri,3_18_301_0
3_18_310_0,417,Assam,Dibrugarh,Assam,Dibrugarh,3_18_310_0
3_18_315_0,420,Assam,Dima Hasao,Assam,North Cachar Hills,3_18_315_0
3_18_302_0,404,Assam,Goalpara,Assam,Goalpara,3_18_302_0
3_18_313_0,414,Assam,Golaghat,Assam,Golaghat,3_18_313_0
3_18_318_0,422,Assam,Hailakandi,Assam,Hailakandi,3_18_318_0
3_18_312_0,415,Assam,Jorhat,Assam,Jorhat,3_18_312_0
3_18_321_0,407,Assam,Kamrup,Assam,Kamrup,3_18_321_0
3_18_322_0,NA,Assam,Kamrup Metropolitan,NA,NA,NA
3_18_314_0,419,Assam,Karbi Anglong,Assam,Karbiaglong,3_18_314_0
3_18_317_0,421,Assam,Karimganj,Assam,Karimganj,3_18_317_0
3_18_300_0,402,Assam,Kokrajhar,Assam,Kokrajhar,3_18_300_0
3_18_307_0,410,Assam,Lakhimpur,Assam,Lakhimpur,3_18_307_0
3_18_304_0,412,Assam,Morigaon,Assam,Morigaon,3_18_304_0
3_18_305_0,413,Assam,Nagaon,Assam,Nowgong,3_18_305_0
3_18_323_0,406,Assam,Nalbari,Assam,Nalbari,3_18_323_0
3_18_311_0,416,Assam,Sivasagar,Assam,Sibsagar,3_18_311_0
3_18_306_0,409,Assam,Sonitpur,Assam,Sonitpur,3_18_306_0
3_18_309_0,418,Assam,Tinsukia,Assam,Tinsukia,3_18_309_0
3_18_326_0,NA,Assam,Udalguri,NA,NA,NA
3_10_209_0,541,Bihar,Araria,Bihar,Araria,3_10_209_0
3_10_240_0,NA,Bihar,Arwal,NA,NA,NA
3_10_235_0,505,Bihar,Aurangabad,Bihar,Aurangabad,3_10_235_0
3_10_225_0,547,Bihar,Banka,Bihar,Banka,3_10_225_0
3_10_222_0,517,Bihar,Begusarai,Bihar,Begusarai,3_10_222_0
3_10_224_0,527,Bihar,Bhagalpur,Bihar,Bhagalpur,3_10_224_0
