spatialId,finalId,spatialState,spatialDistrict,state,district,note,distt_id50
3_22_411_0,3_22_410_0,Chhattisgarh,Mahasamund,NA,NA,Dhamtari and Mahasamund districts split from Raipur;,NA
3_22_410_0,3_22_410_0,Chhattisgarh,Raipur,Madhya Pradesh,RAIPUR,Dhamtari and Mahasamund districts split from Raipur;,1344
3_22_414_0,3_22_414_0,Chhattisgarh,Bastar,Madhya Pradesh,BASTAR,1998:  Dantewada and Kanker districts split from Bastar; 2007-05-11: Dantewada district split into Bijapur and Dakshin Bastar Dantewada; Narayanpur district split from Bastar.,1345
3_22_417_0,3_22_414_0,Chhattisgarh,Bijapur,NA,NA,1998:  Dantewada and Kanker districts split from Bastar; 2007-05-11: Dantewada district split into Bijapur and Dakshin Bastar Dantewada; Narayanpur district split from Bastar.,NA
3_22_416_0,3_22_414_0,Chhattisgarh,Dakshin Bastar Dantewada,NA,NA,1998:  Dantewada and Kanker districts split from Bastar; 2007-05-11: Dantewada district split into Bijapur and Dakshin Bastar Dantewada; Narayanpur district split from Bastar.,NA
3_22_415_0,3_22_414_0,Chhattisgarh,Narayanpur,NA,NA,1998:  Dantewada and Kanker districts split from Bastar; 2007-05-11: Dantewada district split into Bijapur and Dakshin Bastar Dantewada; Narayanpur district split from Bastar.,NA
3_22_413_0,3_22_414_0,Chhattisgarh,Uttar Bastar Kanker,NA,NA,1998:  Dantewada and Kanker districts split from Bastar; 2007-05-11: Dantewada district split into Bijapur and Dakshin Bastar Dantewada; Narayanpur district split from Bastar.,NA
3_22_406_0,3_22_406_0,Chhattisgarh,Bilaspur,Madhya Pradesh,BILASPUR,Janjgir-Champa and Korba districts split from Bilaspur;,905
3_22_406_0,3_22_406_0,Chhattisgarh,Bilaspur,Madhya Pradesh,BILASPUR,Janjgir-Champa and Korba districts split from Bilaspur;,1305
3_22_405_0,3_22_406_0,Chhattisgarh,Janjgir - Champa,NA,NA,Janjgir-Champa and Korba districts split from Bilaspur;,NA
3_22_404_0,3_22_406_0,Chhattisgarh,Korba,NA,NA,Janjgir-Champa and Korba districts split from Bilaspur;,NA
3_22_402_0,3_22_403_0,Chhattisgarh,Jashpur,NA,NA,Jashpur district split from Raigarh;,NA
3_22_403_0,3_22_403_0,Chhattisgarh,Raigarh,Madhya Pradesh,RAIGARH,Jashpur district split from Raigarh;,1341
3_22_403_0,3_22_403_0,Chhattisgarh,Raigarh,Madhya Pradesh,RAIGARH,Jashpur district split from Raigarh;,1403
3_22_407_0,3_22_401_0,Chhattisgarh,Kabeerdham,NA,NA,Kawardha district formed from parts of Bilaspur and Rajnandgaon,NA
3_22_400_0,3_22_401_0,Chhattisgarh,Koriya,NA,NA,Koriya district split from Surguja.,NA
3_22_401_0,3_22_401_0,Chhattisgarh,Surguja,Madhya Pradesh,SURGUJA,Koriya district split from Surguja.,1339
3_22_409_0,3_22_409_0,Chhattisgarh,Durg,Madhya Pradesh,DURG,NA,1343
3_22_408_0,3_22_408_0,Chhattisgarh,Rajnandgaon,Madhya Pradesh,RAJNANDGAON,NA,1342
3_26_496_0,3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,NA,NA
3_25_495_0,3_25_495_0,Daman & Diu,Daman,Daman & Diu,DAMAN,NA,3001
3_25_494_0,3_25_494_0,Daman & Diu,Diu,Daman & Diu,DIU,NA,3002
3_30_585_0,3_30_585_0,Goa,North Goa,Goa,NORTH GOA,NA,601
3_30_586_0,3_30_586_0,Goa,South Goa,Goa,SOUTH GOA,NA,602
3_24_485_0,3_24_484_0,Gujarat,Dohad,NA,NA,1997-10-02:  Dahod district split from Panch Mahals,NA
3_24_484_0,3_24_484_0,Gujarat,Panch Mahals,Gujarat,PANCH MAHALS,1997-10-02:  Dahod district split from Panch Mahals,NA
3_24_482_0,3_24_483_0,Gujarat,Anand,NA,NA,1997-10-02: Anand district split from Kheda;,NA
3_24_483_0,3_24_483_0,Gujarat,Kheda,Gujarat,KHEDA,1997-10-02: Anand district split from Kheda;,713
3_24_488_0,3_24_488_0,Gujarat,Bharuch,Gujarat,BHARUCH,1997-10-02: Narmada district formed from Bharuch and a small part of Vadodara,716
