finalId,distt_id50
3_8_125_0,2122
3_18_303_0,402
3_18_303_0,403
3_18_303_0,406
3_18_303_0,407
3_18_325_0,409
3_3_48_0,2008
3_33_606_0,2305
3_33_632_0,2308
