finalId,distt_id55
3_35_638_0,2702
3_35_639_0,2701
3_35_640_0,2701
3_28_532_0,219
3_28_553_0,212
3_28_554_0,210
3_28_545_0,204
3_28_548_0,207
3_28_536_0,216
3_28_534_0,220
3_28_541_0,222
3_28_547_0,206
3_28_552_0,213
3_28_538_0,214
3_28_535_0,217
3_28_539_0,223
3_28_533_0,218
3_28_549_0,208
3_28_537_0,215
3_28_550_0,209
3_28_542_0,201
3_28_544_0,203
3_28_543_0,202
3_28_540_0,221
3_28_546_0,205
3_28_551_0,211
3_12_253_0,311
3_12_251_0,307
3_12_259_0,309
3_12_248_0,304
3_12_254_0,310
3_12_250_0,306
3_18_303_0,405
3_18_316_0,423
3_18_325_0,408
3_18_308_0,411
3_18_301_0,401
3_18_310_0,417
3_18_315_0,420
3_18_302_0,404
3_18_313_0,414
3_18_318_0,422
3_18_312_0,415
3_18_314_0,419
3_18_317_0,421
3_18_307_0,410
3_18_304_0,412
3_18_305_0,413
3_18_311_0,416
3_18_309_0,418
3_10_209_0,541
3_10_235_0,505
3_10_225_0,547
3_10_222_0,517
3_10_224_0,527
3_10_231_0,503
3_10_232_0,543
3_10_215_0,519
3_10_236_0,507
3_10_217_0,511
3_10_238_0,546
3_10_239_0,506
3_10_233_0,544
3_10_212_0,524
3_10_223_0,525
3_10_210_0,542
3_10_227_0,526
3_10_213_0,522
3_10_207_0,520
3_10_226_0,526
3_10_216_0,515
3_10_229_0,502
3_10_237_0,508
3_10_203_0,512
3_10_230_0,501
3_10_204_0,513
3_10_211_0,523
3_10_234_0,504
3_10_214_0,521
3_10_221_0,518
3_10_219_0,509
3_10_228_0,526
3_10_205_0,NA
3_10_206_0,514
3_10_218_0,510
3_10_208_0,545
3_10_220_0,516
3_4_55_0,2801
3_22_414_0,1345
3_22_406_0,1340
3_22_416_0,1345
3_22_412_0,1344
3_22_409_0,1343
3_22_405_0,1340
3_22_402_0,1341
3_22_407_0,1342
3_22_404_0,1340
3_22_400_0,1339
3_22_411_0,1344
3_22_403_0,1341
3_22_410_0,1344
3_22_408_0,1342
3_22_401_0,1339
3_22_413_0,1345
3_26_496_0,2901
3_25_495_0,3001
3_25_494_0,3002
3_30_585_0,601
3_30_586_0,602
3_24_474_0,712
3_24_480_0,705
3_24_482_0,713
3_24_469_0,708
3_24_488_0,716
3_24_481_0,704
3_24_485_0,714
3_24_473_0,711
3_24_477_0,701
3_24_479_0,706
3_24_468_0,707
3_24_483_0,713
3_24_471_0,710
3_24_487_0,716
3_24_490_0,716
3_24_484_0,714
3_24_470_0,710
3_24_478_0,706
3_24_476_0,702
3_24_472_0,709
3_24_492_0,717
3_24_475_0,703
3_24_489_0,719
3_24_486_0,715
3_24_491_0,718
3_6_70_0,801
3_6_81_0,813
3_6_88_0,809
3_6_78_0,815
3_6_86_0,810
3_6_80_0,815
3_6_83_0,808
3_6_77_0,814
3_6_73_0,804
3_6_74_0,805
3_6_72_0,803
3_6_84_0,812
3_6_69_0,NA
3_6_75_0,806
3_6_85_0,811
3_6_82_0,808
3_6_79_0,816
3_6_76_0,807
3_6_71_0,802
3_2_30_0,905
3_2_23_0,901
3_2_28_0,903
3_2_24_0,902
3_2_34_0,912
3_2_26_0,907
3_2_25_0,908
3_2_27_0,906
3_2_33_0,909
3_2_32_0,911
3_2_31_0,910
3_2_29_0,904
3_12_260_1,309
3_12_257_1,308
3_12_247_1,303
3_12_251_1,307
3_12_259_1,309
3_12_255_1,304
3_12_248_1,304
3_12_245_1,301
3_12_252_1,307
3_12_249_1,305
3_12_246_1,302
3_12_250_1,306
3_1_3_1,1008
3_1_14_0,1001
3_1_2_0,1004
3_1_8_0,1005
3_1_16_0,1009
3_1_21_0,1012
3_1_4_0,1007
3_1_1_0,1006
3_1_3_0,1008
3_1_12_0,1002
3_1_5_0,1014
3_1_6_0,1013
3_1_17_0,1009
3_1_20_0,1010
3_1_10_0,1003
3_1_19_0,1010
3_20_355_0,532
3_20_347_0,534
3_20_350_0,531
3_20_354_0,532
3_20_362_0,530
3_20_346_0,552
3_20_349_0,533
3_20_351_0,528
3_20_366_0,537
3_20_360_0,534
3_20_348_0,534
3_20_359_0,535
3_20_356_0,536
3_20_353_0,548
3_20_368_0,540
3_20_357_0,539
3_20_364_0,538
3_20_352_0,529
3_29_556_0,1106
3_29_572_0,1101
3_29_583_0,1102
3_29_555_0,1103
3_29_565_0,1104
3_29_558_0,1105
3_29_557_0,1106
3_29_578_0,1116
3_29_570_0,1107
3_29_566_0,1108
3_29_575_0,1109
3_29_567_0,1108
3_29_562_0,1110
3_29_561_0,1110
3_29_579_0,1111
3_29_574_0,1112
3_29_564_0,1110
3_29_576_0,1113
3_29_581_0,1114
3_29_560_0,1117
3_29_573_0,1115
3_29_577_0,1116
3_29_559_0,1117
3_29_568_0,1118
3_29_571_0,1119
3_29_569_0,1109
3_29_563_0,1120
3_32_598_0,1211
3_32_595_0,1208
3_32_596_0,1209
3_32_589_0,1202
3_32_588_0,1201
3_32_600_0,1213
3_32_597_0,1210
3_32_591_0,1204
3_32_592_0,1205
3_32_593_0,1206
