spatialId,finalId,spatialState,spatialDistrict,nss2010State,nss2010District,Note,distt_id61,NSS2004_state_id,NSS2004_dist_code
3_35_638_0,3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,Nicobars,NA,3502,35.0,02
3_35_639_0,3_35_639_0,Andaman & Nicobar Islands,North  & Middle Andaman,A  & N Islands,North and Middle Andaman,NA,3501,35.0,01
3_35_640_0,3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,South Andaman,NA,NA,NA,NA
3_28_532_0,3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,NA,2801,28.0,01
3_28_553_0,3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,NA,2822,28.0,22
3_28_554_0,3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,NA,2823,28.0,23
3_28_545_0,3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,NA,2814,28.0,14
3_28_548_0,3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,NA,2817,28.0,17
3_28_536_0,3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,NA,2805,28.0,05
3_28_534_0,3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,NA,2803,28.0,03
3_28_541_0,3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,NA,2810,28.0,10
3_28_547_0,3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,NA,2816,28.0,16
3_28_552_0,3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,NA,2821,28.0,21
3_28_538_0,3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,NA,2807,28.0,07
3_28_535_0,3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,Medak,NA,2804,28.0,04
3_28_539_0,3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,NA,2808,28.0,08
3_28_533_0,3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,NA,2802,28.0,02
3_28_549_0,3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,NA,2818,28.0,18
3_28_537_0,3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,NA,2806,28.0,06
3_28_550_0,3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,NA,2819,28.0,19
3_28_542_0,3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,NA,2811,28.0,11
3_28_544_0,3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,NA,2813,28.0,13
3_28_543_0,3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,NA,2812,28.0,12
3_28_540_0,3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,NA,2809,28.0,09
3_28_546_0,3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,NA,2815,28.0,15
3_28_551_0,3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,NA,2820,28.0,20
3_12_260_0,3_12_259_0,Arunachal Pradesh,Anjaw,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA,NA,NA
3_12_253_0,3_12_253_0,Arunachal Pradesh,Changlang,NA,NA,NA,NA,NA,NA
3_12_251_0,3_12_251_0,Arunachal Pradesh,East Siang,NA,NA,NA,NA,NA,NA
3_12_259_0,3_12_259_0,Arunachal Pradesh,Lohit,NA,NA,2004-02-16: Anjaw district split from Lohit.,NA,NA,NA
3_12_258_0,3_12_257_1,Arunachal Pradesh,Lower Dibang Valley,NA,NA,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.,NA,NA,NA
3_12_248_0,3_12_248_0,Arunachal Pradesh,Papum Pare,NA,NA,NA,NA,NA,NA
3_12_254_0,3_12_254_0,Arunachal Pradesh,Tirap,NA,NA,NA,NA,NA,NA
3_12_250_0,3_12_250_0,Arunachal Pradesh,West Siang,NA,NA,NA,NA,NA,NA
3_18_324_0,3_18_303_0,Assam,Baksa,Assam,Baksa,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",1825,18.0,25
3_18_303_0,3_18_303_0,Assam,Barpeta,Assam,Barpeta,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",1805,18.0,05
3_18_319_0,3_18_303_0,Assam,Bongaigaon,Assam,Bongaigaon,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",1804,18.0,04
3_18_316_0,3_18_316_0,Assam,Cachar,Assam,Cachar,NA,1821,18.0,21
3_18_320_0,3_18_303_0,Assam,Chirang,Assam,Chirang,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar.",1824,18.0,24
3_18_325_0,3_18_325_0,Assam,Darrang,Assam,Darrang,Udalguri district formed from parts of Darrang and Sonitpur.,1808,18.0,08
3_18_308_0,3_18_308_0,Assam,Dhemaji,Assam,Dhemaji,NA,1813,18.0,13
3_18_301_0,3_18_301_0,Assam,Dhubri,Assam,Dhubri,NA,1802,18.0,02
3_18_310_0,3_18_310_0,Assam,Dibrugarh,Assam,Dibrugarh,NA,1815,18.0,15
3_18_315_0,3_18_315_0,Assam,Dima Hasao,Assam,North Cachar Hills,NA,1820,18.0,20
3_18_302_0,3_18_302_0,Assam,Goalpara,Assam,Goalpara,NA,1803,18.0,03
3_18_313_0,3_18_313_0,Assam,Golaghat,Assam,Golaghat,NA,1818,18.0,18
3_18_318_0,3_18_318_0,Assam,Hailakandi,Assam,Hailakandi,NA,1823,18.0,23
3_18_312_0,3_18_312_0,Assam,Jorhat,Assam,Jorhat,NA,1817,18.0,17
