1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
281,MPR,South,Narsimhapur,13,5,34,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
251,MIZ,MIZ,Chhimtuipui,17,1,3,
252,MPR,Central,Sagar,13,3,10,
253,MPR,Central,Damoh,13,3,11,
254,MPR,Central,Vidisha,13,3,27,
255,MPR,Central,Bhopal,13,3,28,
256,MPR,Central,Sehore,13,3,29,
257,MPR,Central,Raisen,13,3,30,
258,MPR,Chattisgarh,Surguja,13,1,39,
259,MPR,Chattisgarh,Bilaspur,13,1,40,
260,MPR,Chattisgarh,Raigarh,13,1,41,
261,MPR,Chattisgarh,Raj Nandgaon,13,1,42,
262,MPR,Chattisgarh,Durg,13,1,43,
263,MPR,Chattisgarh,Raipur,13,1,44,
264,MPR,Chattisgarh,Bastar,13,1,45,
265,MPR,Malwa,Mandsaur,13,4,16,
266,MPR,Malwa,Ratlam,13,4,17,
267,MPR,Malwa,Ujjain,13,4,18,
268,MPR,Malwa,Shajapur,13,4,19,
269,MPR,Malwa,Dewas,13,4,20,
270,MPR,Malwa,Jhabua,13,4,21,
271,MPR,Malwa,Dhar,13,4,22,
272,MPR,Malwa,Indore,13,4,23,
273,MPR,Malwa,Rajgarh,13,4,26,
274,MPR,Northern,Morena,13,7,1,
275,MPR,Northern,Bhind,13,7,2,
276,MPR,Northern,Gwalior,13,7,3,
277,MPR,Northern,Datia,13,7,4,
278,MPR,Northern,Shivpuri,13,7,5,
279,MPR,Northern,Guna,13,7,6,
280,MPR,South,Jabalpur,13,5,33,
281,MPR,South,Narsimhapur,13,5,34,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
283,MPR,South,Chhindwara,13,5,36,
284,MPR,South,Seoni,13,5,37,
285,MPR,South,Balaghat,13,5,38,
286,MPR,South West,Khargone (W. Nimar,13,6,24,
287,MPR,South West,Khandwa (E. Nimar),13,6,25,
288,MPR,South West,Betul,13,6,31,
289,MPR,South West,Hoshangabad,13,6,32,
290,MPR,Vindhya,Tikamgarh,13,2,7,
291,MPR,Vindhya,Chhatarpur,13,2,8,
292,MPR,Vindhya,Panna,13,2,9,
293,MPR,Vindhya,Satna,13,2,12,
294,MPR,Vindhya,Rewa,13,2,13,
295,MPR,Vindhya,Shadol,13,2,14,
296,MPR,Vindhya,Sidhi,13,2,15,
297,NAG,NAG,Kohima,18,1,1,
298,NAG,NAG,Phek,18,1,2,
299,NAG,NAG,Zunhehoto,18,1,3,
300,NAG,NAG,Wokha,18,1,4,
301,NAG,NAG,Mukokchung,18,1,5,
302,NAG,NAG,Tuensang,18,1,6,
303,NAG,NAG,Mon,18,1,7,
304,ORI,Coastal,Baleshwar,19,1,5,
305,ORI,Coastal,Cuttack,19,1,6,
306,ORI,Coastal,Ganjam,19,1,12,
307,ORI,Coastal,Puri,19,1,13,
308,ORI,Coastal,Bhadrak,19,1,14,
309,ORI,Coastal,Jagatsinghpura,19,1,15,
310,ORI,Coastal,Jajpur,19,1,16,
311,ORI,Coastal,Kendrapara,19,1,17,
312,ORI,Coastal,Nayagarh,19,1,18,
313,ORI,Coastal,Khurda,19,1,19,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
283,MPR,South,Chhindwara,13,5,36,
284,MPR,South,Seoni,13,5,37,
285,MPR,South,Balaghat,13,5,38,
286,MPR,South West,Khargone (W. Nimar,13,6,24,
287,MPR,South West,Khandwa (E. Nimar),13,6,25,
288,MPR,South West,Betul,13,6,31,
289,MPR,South West,Hoshangabad,13,6,32,
290,MPR,Vindhya,Tikamgarh,13,2,7,
291,MPR,Vindhya,Chhatarpur,13,2,8,
292,MPR,Vindhya,Panna,13,2,9,
293,MPR,Vindhya,Satna,13,2,12,
294,MPR,Vindhya,Rewa,13,2,13,
295,MPR,Vindhya,Shadol,13,2,14,
296,MPR,Vindhya,Sidhi,13,2,15,
297,NAG,NAG,Kohima,18,1,1,
298,NAG,NAG,Phek,18,1,2,
299,NAG,NAG,Zunhehoto,18,1,3,
300,NAG,NAG,Wokha,18,1,4,
301,NAG,NAG,Mukokchung,18,1,5,
302,NAG,NAG,Tuensang,18,1,6,
303,NAG,NAG,Mon,18,1,7,
304,ORI,Coastal,Baleshwar,19,1,5,
305,ORI,Coastal,Cuttack,19,1,6,
306,ORI,Coastal,Ganjam,19,1,12,
307,ORI,Coastal,Puri,19,1,13,
308,ORI,Coastal,Bhadrak,19,1,14,
309,ORI,Coastal,Jagatsinghpura,19,1,15,
310,ORI,Coastal,Jajpur,19,1,16,
311,ORI,Coastal,Kendrapara,19,1,17,
312,ORI,Coastal,Nayagarh,19,1,18,
313,ORI,Coastal,Khurda,19,1,19,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
315,ORI,Northern,Sambalpur,19,3,1,
316,ORI,Northern,Sundargarh,19,3,2,
317,ORI,Northern,Keonjhar,19,3,3,
318,ORI,Northern,Mayurbhanj,19,3,4,
319,ORI,Northern,Dhenkanal,19,3,7,
320,ORI,Northern,Bolangir,19,3,9,
321,ORI,Northern,Jharsuguda,19,3,26,
322,ORI,Northern,Deogarh,19,3,27,
323,ORI,Northern,Sonepur,19,3,29,
324,ORI,Northern,Angul,19,3,30,
325,ORI,Northern,Baragarh,19,3,28,
326,ORI,Southern,Phulbani,19,2,8,
327,ORI,Southern,Kalahandi,19,2,10,
328,ORI,Southern,Koraput,19,2,11,
329,ORI,Southern,Boudh,19,2,21,
330,ORI,Southern,Nuapara,19,2,22,
331,ORI,Southern,Malkangiri,19,2,23,
332,ORI,Southern,Nowarangpur,19,2,24,
333,ORI,Southern,Rayagarh,19,2,25,
334,PON,PON,Pondicherry,33,1,1,
335,PON,PON,Karaikal,33,1,2,
336,PON,PON,Mahe,33,1,3,
337,PON,PON,Yanam,33,1,4,
338,PUN,Northern,Gurdaspur,20,1,1,
339,PUN,Northern,Amritsar,20,1,2,
340,PUN,Northern,Ludhiana,20,1,4,
341,PUN,Northern,Jalandhar,20,1,5,
342,PUN,Northern,Kapurthala,20,1,6,
343,PUN,Northern,Hoshiarpur,20,1,7,
344,PUN,Northern,Rupnagar  (Ropar),20,1,8,
345,PUN,Southern,Firozpur,20,2,3,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
315,ORI,Northern,Sambalpur,19,3,1,
316,ORI,Northern,Sundargarh,19,3,2,
317,ORI,Northern,Keonjhar,19,3,3,
318,ORI,Northern,Mayurbhanj,19,3,4,
319,ORI,Northern,Dhenkanal,19,3,7,
320,ORI,Northern,Bolangir,19,3,9,
321,ORI,Northern,Jharsuguda,19,3,26,
322,ORI,Northern,Deogarh,19,3,27,
323,ORI,Northern,Sonepur,19,3,29,
324,ORI,Northern,Angul,19,3,30,
325,ORI,Northern,Baragarh,19,3,28,
326,ORI,Southern,Phulbani,19,2,8,
327,ORI,Southern,Kalahandi,19,2,10,
328,ORI,Southern,Koraput,19,2,11,
329,ORI,Southern,Boudh,19,2,21,
330,ORI,Southern,Nuapara,19,2,22,
331,ORI,Southern,Malkangiri,19,2,23,
332,ORI,Southern,Nowarangpur,19,2,24,
333,ORI,Southern,Rayagarh,19,2,25,
334,PON,PON,Pondicherry,33,1,1,
335,PON,PON,Karaikal,33,1,2,
336,PON,PON,Mahe,33,1,3,
337,PON,PON,Yanam,33,1,4,
338,PUN,Northern,Gurdaspur,20,1,1,
339,PUN,Northern,Amritsar,20,1,2,
340,PUN,Northern,Ludhiana,20,1,4,
341,PUN,Northern,Jalandhar,20,1,5,
342,PUN,Northern,Kapurthala,20,1,6,
343,PUN,Northern,Hoshiarpur,20,1,7,
344,PUN,Northern,Rupnagar  (Ropar),20,1,8,
345,PUN,Southern,Firozpur,20,2,3,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
347,PUN,Southern,Sangrur,20,2,10,
348,PUN,Southern,Bhatinda,20,2,11,
349,PUN,Southern,Faridkot,20,2,12,
350,PUN,Southern,Fatehgarh Sahib,20,2,13,
351,PUN,Southern,Mansa,20,2,14,
352,RAJ,North-East,Jhunjhuna,21,2,4,
353,RAJ,North-East,Alwar,21,2,5,
354,RAJ,North-East,Bharatpur,21,2,6,
355,RAJ,North-East,Dholpur,21,2,7,
356,RAJ,North-East,Sawai Madhopur,21,2,8,
357,RAJ,North-East,Jaipur,21,2,9,
358,RAJ,North-East,Sikar,21,2,10,
359,RAJ,North-East,Ajmer,21,2,11,
360,RAJ,North-East,Tonk,21,2,12,
361,RAJ,North-East,Bhilwara,21,2,20,
362,RAJ,North-East,Dausa,21,2,28,
363,RAJ,South-East,Chittaurgarh,21,4,22,
364,RAJ,South-East,Bundi,21,4,25,
365,RAJ,South-East,Kota,21,4,26,
366,RAJ,South-East,Jhalawar,21,4,27,
367,RAJ,South-East,Baran,21,4,29,
368,RAJ,Southern,Udaipur,21,3,21,
369,RAJ,Southern,Dungarpur,21,3,23,
370,RAJ,Southern,Banswara,21,3,24,
371,RAJ,Southern,Rajsamand,21,3,30,
372,RAJ,Western,Ganganagar,21,1,1,
373,RAJ,Western,Bikaner,21,1,2,
374,RAJ,Western,Churu,21,1,3,
375,RAJ,Western,Jaisalmer,21,1,13,
376,RAJ,Western,Jodhpur,21,1,14,
377,RAJ,Western,Nagaur,21,1,15,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
379,RAJ,Western,Barmer,21,1,17,
380,RAJ,Western,Jalor,21,1,18,
381,RAJ,Western,Sirohi,21,1,19,
382,SIK,SIK,North (Mongam),22,1,1,
383,SIK,SIK,East (Gangtok),22,1,2,
384,SIK,SIK,South (Nimachai),22,1,3,
385,SIK,SIK,West (Gyalshing),22,1,4,
386,TNA,Coastal,Tiruchirapalli,23,2,12,
387,TNA,Coastal,Thanjavur,23,2,13,
388,TNA,Coastal,Pudukkottai,23,2,14,
389,TNA,Coastal,Nagapattinam-Quaie,23,2,23,
390,TNA,Coastal Northern,Madras,23,1,1,
391,TNA,Coastal Northern,Chengai Anna (Chen,23,1,2,
392,TNA,Coastal Northern,North Arcot Ambedh,23,1,3,
393,TNA,Coastal Northern,Thiruvannamalai Sa,23,1,5,
394,TNA,Coastal Northern,South Arcot,23,1,6,
395,TNA,Coastal Northern,Villupuram,23,1,22,
396,TNA,Inland,Dharampuri,23,4,4,
397,TNA,Inland,Salem,23,4,7,
398,TNA,Inland,Periyar,23,4,8,
399,TNA,Inland,Nilgiri,23,4,9,
400,TNA,Inland,Coimbatore,23,4,10,
401,TNA,Southern,Dindigul-Quide Millet,23,3,11,
402,TNA,Southern,Pasupomthevar Thir,23,3,15,
403,TNA,Southern,Madurai,23,3,16,
404,TNA,Southern,Ramnathapuram,23,3,17,
405,TNA,Southern,Kamarajar,23,3,18,
406,TNA,Southern,V.O.  Chiudambara,23,3,19,
407,TNA,Southern,Tirunelveli Kottabom,23,3,20,
408,TNA,Southern,KannyaiKumari,23,3,21,
409,TRI,TRI,West Tripura,24,1,1,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
379,RAJ,Western,Barmer,21,1,17,
380,RAJ,Western,Jalor,21,1,18,
381,RAJ,Western,Sirohi,21,1,19,
382,SIK,SIK,North (Mongam),22,1,1,
383,SIK,SIK,East (Gangtok),22,1,2,
384,SIK,SIK,South (Nimachai),22,1,3,
385,SIK,SIK,West (Gyalshing),22,1,4,
386,TNA,Coastal,Tiruchirapalli,23,2,12,
387,TNA,Coastal,Thanjavur,23,2,13,
388,TNA,Coastal,Pudukkottai,23,2,14,
389,TNA,Coastal,Nagapattinam-Quaie,23,2,23,
390,TNA,Coastal Northern,Madras,23,1,1,
391,TNA,Coastal Northern,Chengai Anna (Chen,23,1,2,
392,TNA,Coastal Northern,North Arcot Ambedh,23,1,3,
393,TNA,Coastal Northern,Thiruvannamalai Sa,23,1,5,
394,TNA,Coastal Northern,South Arcot,23,1,6,
395,TNA,Coastal Northern,Villupuram,23,1,22,
396,TNA,Inland,Dharampuri,23,4,4,
397,TNA,Inland,Salem,23,4,7,
398,TNA,Inland,Periyar,23,4,8,
399,TNA,Inland,Nilgiri,23,4,9,
400,TNA,Inland,Coimbatore,23,4,10,
401,TNA,Southern,Dindigul-Quide Millet,23,3,11,
402,TNA,Southern,Pasupomthevar Thir,23,3,15,
403,TNA,Southern,Madurai,23,3,16,
404,TNA,Southern,Ramnathapuram,23,3,17,
405,TNA,Southern,Kamarajar,23,3,18,
406,TNA,Southern,V.O.  Chiudambara,23,3,19,
407,TNA,Southern,Tirunelveli Kottabom,23,3,20,
408,TNA,Southern,KannyaiKumari,23,3,21,
409,TRI,TRI,West Tripura,24,1,1,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
411,TRI,TRI,South Tripura,24,1,3,
412,UPR,Central,Kheri,25,3,28,
413,UPR,Central,Sitapur,25,3,29,
414,UPR,Central,Hardoi,25,3,30,
415,UPR,Central,Unnao,25,3,31,
416,UPR,Central,Lucknow,25,3,32,
417,UPR,Central,Rai Bareli,25,3,33,
418,UPR,Central,Kanpur Dehat,25,3,36,
419,UPR,Central,Kanpur Nagar,25,3,37,
420,UPR,Central,Fatepur,25,3,43,
421,UPR,Central,Bara Banki,25,3,48,
422,UPR,Eastern,Pratapgarh,25,4,44,
423,UPR,Eastern,Allahabad,25,4,45,
424,UPR,Eastern,Bahraich,25,4,46,
425,UPR,Eastern,Gonda,25,4,47,
426,UPR,Eastern,Faizabad,25,4,49,
427,UPR,Eastern,Sultanpur,25,4,50,
428,UPR,Eastern,Sidhartha nagar,25,4,51,
429,UPR,Eastern,Maharajganj,25,4,52,
430,UPR,Eastern,Basti,25,4,53,
431,UPR,Eastern,Gorakhpur,25,4,54,
432,UPR,Eastern,Deeria,25,4,55,
433,UPR,Eastern,Maunath Bhanjan,25,4,56,
434,UPR,Eastern,Azamgarh,25,4,57,
435,UPR,Eastern,Jaunpur,25,4,58,
436,UPR,Eastern,Ballia,25,4,59,
437,UPR,Eastern,Ghazipur,25,4,60,
438,UPR,Eastern,Varanashi,25,4,61,
439,UPR,Eastern,Mirzapur,25,4,62,
440,UPR,Eastern,Balrampur,25,4,66,
441,UPR,Eastern,Chandauli,25,4,72,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
411,TRI,TRI,South Tripura,24,1,3,
412,UPR,Central,Kheri,25,3,28,
413,UPR,Central,Sitapur,25,3,29,
414,UPR,Central,Hardoi,25,3,30,
415,UPR,Central,Unnao,25,3,31,
416,UPR,Central,Lucknow,25,3,32,
417,UPR,Central,Rai Bareli,25,3,33,
418,UPR,Central,Kanpur Dehat,25,3,36,
419,UPR,Central,Kanpur Nagar,25,3,37,
420,UPR,Central,Fatepur,25,3,43,
421,UPR,Central,Bara Banki,25,3,48,
422,UPR,Eastern,Pratapgarh,25,4,44,
423,UPR,Eastern,Allahabad,25,4,45,
424,UPR,Eastern,Bahraich,25,4,46,
425,UPR,Eastern,Gonda,25,4,47,
426,UPR,Eastern,Faizabad,25,4,49,
427,UPR,Eastern,Sultanpur,25,4,50,
428,UPR,Eastern,Sidhartha nagar,25,4,51,
429,UPR,Eastern,Maharajganj,25,4,52,
430,UPR,Eastern,Basti,25,4,53,
431,UPR,Eastern,Gorakhpur,25,4,54,
432,UPR,Eastern,Deeria,25,4,55,
433,UPR,Eastern,Maunath Bhanjan,25,4,56,
434,UPR,Eastern,Azamgarh,25,4,57,
435,UPR,Eastern,Jaunpur,25,4,58,
436,UPR,Eastern,Ballia,25,4,59,
437,UPR,Eastern,Ghazipur,25,4,60,
438,UPR,Eastern,Varanashi,25,4,61,
439,UPR,Eastern,Mirzapur,25,4,62,
440,UPR,Eastern,Balrampur,25,4,66,
441,UPR,Eastern,Chandauli,25,4,72,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
443,UPR,Himalayan,Chamoli,25,1,2,
444,UPR,Himalayan,Tehri Garhwal,25,1,3,
445,UPR,Himalayan,Dehra Dun,25,1,4,
446,UPR,Himalayan,Garhwal,25,1,5,
447,UPR,Himalayan,Pithoragarh,25,1,6,
448,UPR,Himalayan,Almora,25,1,7,
449,UPR,Himalayan,Nainital,25,1,8,
450,UPR,Himalayan,Bareilly,25,1,25,
451,UPR,Himalayan,Champaran,25,1,68,
452,UPR,Southern,Jalan,25,5,38,
453,UPR,Southern,Jhansi,25,5,39,
454,UPR,Southern,Lalitpur,25,5,40,
455,UPR,Southern,Hamirpur,25,5,41,
456,UPR,Southern,Banda,25,5,42,
457,UPR,Southern,Chitrakut,25,5,69,
458,UPR,Western,Bijnor,25,2,9,
459,UPR,Western,Moradabad,25,2,10,
460,UPR,Western,Rampur,25,2,11,
461,UPR,Western,Saharanpur,25,2,12,
462,UPR,Western,Hardwar,25,2,13,
463,UPR,Western,Muzaffarnagar,25,2,14,
464,UPR,Western,Meerut,25,2,15,
465,UPR,Western,Ghaziabad,25,2,16,
466,UPR,Western,Bulandshahr,25,2,17,
467,UPR,Western,Aligarh,25,2,18,
468,UPR,Western,Mathura,25,2,19,
469,UPR,Western,Agra,25,2,20,
470,UPR,Western,Firozabad,25,2,21,
471,UPR,Western,Etah,25,2,22,
472,UPR,Western,Mainpuri,25,2,23,
473,UPR,Western,Budaun,25,2,24,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
443,UPR,Himalayan,Chamoli,25,1,2,
444,UPR,Himalayan,Tehri Garhwal,25,1,3,
445,UPR,Himalayan,Dehra Dun,25,1,4,
446,UPR,Himalayan,Garhwal,25,1,5,
447,UPR,Himalayan,Pithoragarh,25,1,6,
448,UPR,Himalayan,Almora,25,1,7,
449,UPR,Himalayan,Nainital,25,1,8,
450,UPR,Himalayan,Bareilly,25,1,25,
451,UPR,Himalayan,Champaran,25,1,68,
452,UPR,Southern,Jalan,25,5,38,
453,UPR,Southern,Jhansi,25,5,39,
454,UPR,Southern,Lalitpur,25,5,40,
455,UPR,Southern,Hamirpur,25,5,41,
456,UPR,Southern,Banda,25,5,42,
457,UPR,Southern,Chitrakut,25,5,69,
458,UPR,Western,Bijnor,25,2,9,
459,UPR,Western,Moradabad,25,2,10,
460,UPR,Western,Rampur,25,2,11,
461,UPR,Western,Saharanpur,25,2,12,
462,UPR,Western,Hardwar,25,2,13,
463,UPR,Western,Muzaffarnagar,25,2,14,
464,UPR,Western,Meerut,25,2,15,
465,UPR,Western,Ghaziabad,25,2,16,
466,UPR,Western,Bulandshahr,25,2,17,
467,UPR,Western,Aligarh,25,2,18,
468,UPR,Western,Mathura,25,2,19,
469,UPR,Western,Agra,25,2,20,
470,UPR,Western,Firozabad,25,2,21,
471,UPR,Western,Etah,25,2,22,
472,UPR,Western,Mainpuri,25,2,23,
473,UPR,Western,Budaun,25,2,24,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
475,UPR,Western,Shahjahanpur,25,2,27,
476,UPR,Western,Farrukhabad,25,2,34,
477,UPR,Western,Etawah,25,2,35,
478,UPR,Western,Sonbadra,25,2,63,
479,UPR,Western,Bagpet,25,2,71,
480,UPR,Western,Jyotiba Phule Nagar,25,2,67,
481,UPR,Western,Oreiya,25,2,64,
482,UPR,Western,Mahamayanagar,25,2,65,
483,UPR,Western,Kannauj,25,2,70,
484,WBE,Central Plains,24-Parganas (North),26,3,8,
485,WBE,Central Plains,24-Parganas (South),26,3,9,
486,WBE,Central Plains,Calcutta,26,3,10,
487,WBE,Central Plains,Howrah,26,3,11,
488,WBE,Central Plains,Hooghly,26,3,12,
489,WBE,Central Plains,Burdwan,26,3,16,
490,WBE,East Plains,West Dinajpur,26,2,4,
491,WBE,East Plains,Maldah,26,2,5,
492,WBE,East Plains,Murshidabad,26,2,6,
493,WBE,East Plains,Nandia,26,2,7,
494,WBE,East Plains,Birbhum,26,2,17,
495,WBE,Himalayan,Jalpaiguri,26,1,2,
496,WBE,Himalayan,Darjiling,26,1,3,
497,WBE,Himalayan,Kochbihar,26,1,1,
498,WBE,Western Plains,Midnapur,26,4,13,
499,WBE,Western Plains,Bankura,26,4,14,
500,WBE,Western Plains,Puruliya,26,4,15,
501,CHA,Chandigarh,Chandigarh,28,1,1,
502,D&N,D&N,D&N,29,1,1,
503,D&D,D&D,Daman,30,1,1,
504,D&D,D&D,Diu,30,1,2,
505,J&K,Mountainous,Kathua,10,1,11,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
475,UPR,Western,Shahjahanpur,25,2,27,
476,UPR,Western,Farrukhabad,25,2,34,
477,UPR,Western,Etawah,25,2,35,
478,UPR,Western,Sonbadra,25,2,63,
479,UPR,Western,Bagpet,25,2,71,
480,UPR,Western,Jyotiba Phule Nagar,25,2,67,
481,UPR,Western,Oreiya,25,2,64,
482,UPR,Western,Mahamayanagar,25,2,65,
483,UPR,Western,Kannauj,25,2,70,
484,WBE,Central Plains,24-Parganas (North),26,3,8,
485,WBE,Central Plains,24-Parganas (South),26,3,9,
486,WBE,Central Plains,Calcutta,26,3,10,
487,WBE,Central Plains,Howrah,26,3,11,
488,WBE,Central Plains,Hooghly,26,3,12,
489,WBE,Central Plains,Burdwan,26,3,16,
490,WBE,East Plains,West Dinajpur,26,2,4,
491,WBE,East Plains,Maldah,26,2,5,
492,WBE,East Plains,Murshidabad,26,2,6,
493,WBE,East Plains,Nandia,26,2,7,
494,WBE,East Plains,Birbhum,26,2,17,
495,WBE,Himalayan,Jalpaiguri,26,1,2,
496,WBE,Himalayan,Darjiling,26,1,3,
497,WBE,Himalayan,Kochbihar,26,1,1,
498,WBE,Western Plains,Midnapur,26,4,13,
499,WBE,Western Plains,Bankura,26,4,14,
500,WBE,Western Plains,Puruliya,26,4,15,
501,CHA,Chandigarh,Chandigarh,28,1,1,
502,D&N,D&N,D&N,29,1,1,
503,D&D,D&D,Daman,30,1,1,
504,D&D,D&D,Diu,30,1,2,
505,J&K,Mountainous,Kathua,10,1,11,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
507,J&K,Outer Hills,Doda,10,2,9,
508,J&K,Outer Hills,Udhampur,10,2,10,
509,J&K,Outer Hills,Rajouri,10,2,13,
510,J&K,Outer Hills,Poonch,10,2,14,
511,J&K,Jhelum Valley,Anantnag,10,3,1,
512,J&K,Jhelum Valley,Pulwama,10,3,2,
513,J&K,Jhelum Valley,Srinagar,10,3,3,
514,J&K,Jhelum Valley,Badgam,10,3,4,
515,J&K,Jhelum Valley,Baramula,10,3,5,
516,J&K,Jhelum Valley,Kupwara,10,3,6,
517,J&K,Jhelum Valley,Kargil,10,3,7,
518,J&K,Jhelum Valley,Ladakh,10,3,8,
519,DEL,Delhi,Delhi,31,1,1,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
507,J&K,Outer Hills,Doda,10,2,9,
508,J&K,Outer Hills,Udhampur,10,2,10,
509,J&K,Outer Hills,Rajouri,10,2,13,
510,J&K,Outer Hills,Poonch,10,2,14,
511,J&K,Jhelum Valley,Anantnag,10,3,1,
512,J&K,Jhelum Valley,Pulwama,10,3,2,
513,J&K,Jhelum Valley,Srinagar,10,3,3,
514,J&K,Jhelum Valley,Badgam,10,3,4,
515,J&K,Jhelum Valley,Baramula,10,3,5,
516,J&K,Jhelum Valley,Kupwara,10,3,6,
517,J&K,Jhelum Valley,Kargil,10,3,7,
518,J&K,Jhelum Valley,Ladakh,10,3,8,
