1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
94,BIH,Northern,Supaul,5,2,45,
95,BIH,Southern,Godda,5,1,28,
96,BIH,Southern,Sahibaganj,5,1,29,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
66,BIH,Central,Jehanabad,5,3,6,
67,BIH,Central,Gaya,5,3,7,
68,BIH,Central,Nawada,5,3,8,
69,BIH,Central,Begusarai,5,3,17,
70,BIH,Central,Khagaria,5,3,25,
71,BIH,Central,Munger,5,3,26,
72,BIH,Central,Bhagalpur,5,3,27,
73,BIH,Central,Buxar,5,3,43,
74,BIH,Central,Bhabua,5,3,44,
75,BIH,Central,Jamui,5,3,46,
76,BIH,Central,Banka,5,3,47,
77,BIH,Northern,Saran,5,2,9,
78,BIH,Northern,Siwan,5,2,10,
79,BIH,Northern,Gopalganj,5,2,11,
80,BIH,Northern,West Champaran,5,2,12,
81,BIH,Northern,East Champaran,5,2,13,
82,BIH,Northern,Sitamari,5,2,14,
83,BIH,Northern,Muzaffarpur,5,2,15,
84,BIH,Northern,Vaishali,5,2,16,
85,BIH,Northern,Samastipur,5,2,18,
86,BIH,Northern,Darbhanga,5,2,19,
87,BIH,Northern,Madhubani,5,2,20,
88,BIH,Northern,Saharsa,5,2,21,
89,BIH,Northern,Madhepura,5,2,22,
90,BIH,Northern,Purnea,5,2,23,
91,BIH,Northern,Katihar,5,2,24,
92,BIH,Northern,Araria,5,2,41,
93,BIH,Northern,Kishanganj,5,2,42,
94,BIH,Northern,Supaul,5,2,45,
95,BIH,Southern,Godda,5,1,28,
96,BIH,Southern,Sahibaganj,5,1,29,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
98,BIH,Southern,Deoghar,5,1,31,
99,BIH,Southern,Dhanbad,5,1,32,
100,BIH,Southern,Giridih,5,1,33,
101,BIH,Southern,Hazaribagh,5,1,34,
102,BIH,Southern,Palamu,5,1,35,
103,BIH,Southern,Lohardaga,5,1,36,
104,BIH,Southern,Gumla,5,1,37,
105,BIH,Southern,Ranchi,5,1,38,
106,BIH,Southern,Purbi Singhbhum,5,1,39,
107,BIH,Southern,Paschim Singhbhum,5,1,40,
108,BIH,Southern,Pakur,5,1,48,
109,BIH,Southern,Bokaro,5,1,49,
110,BIH,Southern,Kodarma,5,1,50,
111,BIH,Southern,Chatra,5,1,51,
112,BIH,Southern,Garhwa,5,1,52,
113,GOA,GOA,North,6,1,1,
114,GOA,GOA,South,6,1,2,
115,GUJ,Dry areas,Surendranagar,7,4,3,Whole district
116,GUJ,Dry areas,Kachchh,7,4,7,Whole district
117,GUJ,Dry areas,Bans Kantha,7,4,8,Whole district
118,GUJ,Dry areas,Mahesana,7,4,10,"Chanasma, SamiHarij"
119,GUJ,Eastern,Sabar Kantha,7,1,9,"Khedbarhma, Vijaynagar, Bhiloda, Meghraj"
120,GUJ,Eastern,Panch Mahals,7,1,14,"Limkheda, Dohad, Jhalod, Santrampur"
121,GUJ,Eastern,Vadodara,7,1,15,"Nasvadi,Tilakwada, Chhota Udaipur, Jetpur Pavi"
122,GUJ,Eastern,Bharuch,7,1,16,"Anklesvar, Valia, Dediapada, Sagbara, Nandod"
123,GUJ,Eastern,Surat,7,1,17,"Vyara, Mahuva, Valod, Nizar,Songadh, Mandvi, Uchchhal,Mangrol, Bardoli, Palsana"
124,GUJ,Eastern,Valsad,7,1,18,"Chikhli Dharampur, Bansda,Umbergaon, Pardi,Valsad"
125,GUJ,Eastern,The Dangs,7,1,19,Whole District
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
98,BIH,Southern,Deoghar,5,1,31,
99,BIH,Southern,Dhanbad,5,1,32,
100,BIH,Southern,Giridih,5,1,33,
101,BIH,Southern,Hazaribagh,5,1,34,
102,BIH,Southern,Palamu,5,1,35,
103,BIH,Southern,Lohardaga,5,1,36,
104,BIH,Southern,Gumla,5,1,37,
105,BIH,Southern,Ranchi,5,1,38,
106,BIH,Southern,Purbi Singhbhum,5,1,39,
107,BIH,Southern,Paschim Singhbhum,5,1,40,
108,BIH,Southern,Pakur,5,1,48,
109,BIH,Southern,Bokaro,5,1,49,
110,BIH,Southern,Kodarma,5,1,50,
111,BIH,Southern,Chatra,5,1,51,
112,BIH,Southern,Garhwa,5,1,52,
113,GOA,GOA,North,6,1,1,
114,GOA,GOA,South,6,1,2,
115,GUJ,Dry areas,Surendranagar,7,4,3,Whole district
116,GUJ,Dry areas,Kachchh,7,4,7,Whole district
117,GUJ,Dry areas,Bans Kantha,7,4,8,Whole district
118,GUJ,Dry areas,Mahesana,7,4,10,"Chanasma, SamiHarij"
119,GUJ,Eastern,Sabar Kantha,7,1,9,"Khedbarhma, Vijaynagar, Bhiloda, Meghraj"
120,GUJ,Eastern,Panch Mahals,7,1,14,"Limkheda, Dohad, Jhalod, Santrampur"
121,GUJ,Eastern,Vadodara,7,1,15,"Nasvadi,Tilakwada, Chhota Udaipur, Jetpur Pavi"
122,GUJ,Eastern,Bharuch,7,1,16,"Anklesvar, Valia, Dediapada, Sagbara, Nandod"
123,GUJ,Eastern,Surat,7,1,17,"Vyara, Mahuva, Valod, Nizar,Songadh, Mandvi, Uchchhal,Mangrol, Bardoli, Palsana"
124,GUJ,Eastern,Valsad,7,1,18,"Chikhli Dharampur, Bansda,Umbergaon, Pardi,Valsad"
125,GUJ,Eastern,The Dangs,7,1,19,Whole District
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
127,GUJ,Plains Northern,Mahesana,7,2,10,"Mahesana, Kadi, Patan,Sidhpur, Kheralu,Kalol Visnagar, Vijapur"
128,GUJ,Plains Northern,Gandhinagar,7,2,11,Whole District
129,GUJ,Plains Northern,Ahmedabad,7,2,12,Whole District
130,GUJ,Plains Northern,Kheda,7,2,13,Whole District
131,GUJ,Plains Southern,Panch Mahals,7,3,14,"Halol, Kalol,Godhra, Shehera,Lunawada,Devgadbaria,Jambughoda"
132,GUJ,Plains Southern,Vadodara,7,3,15,"Vadodara, Savli,Dabhoi, Karjan,Padra,Sinor,Vaghodia, Sankheda"
133,GUJ,Plains Southern,Bharuch,7,3,16,"Hansot, Vagra,Amod, Jambusar,Bharuch, Jhagadia"
134,GUJ,Plains Southern,Surat,7,3,17,"Chorasi, Kamrej, Olpad"
135,GUJ,Plains Southern,Valsad,7,3,18,"Navsari, Gandevi"
136,GUJ,Saurashtra,Jamnagar,7,5,1,
137,GUJ,Saurashtra,Rajkot,7,5,2,
138,GUJ,Saurashtra,Bhavnagar,7,5,4,
139,GUJ,Saurashtra,Amreli,7,5,5,
140,GUJ,Saurashtra,Junagadh,7,5,6,
141,HAR,Eastern,Ambala,8,1,1,
142,HAR,Eastern,Yamuna Nagar,8,1,2,
143,HAR,Eastern,Kurukshetra,8,1,3,
144,HAR,Eastern,Kaithal,8,1,4,
145,HAR,Eastern,Karnal,8,1,5,
146,HAR,Eastern,Panipat,8,1,6,
147,HAR,Eastern,Sonipat,8,1,7,
148,HAR,Eastern,Rohtak,8,1,8,
149,HAR,Eastern,Faridabad,8,1,9,
150,HAR,Eastern,Gurgaon,8,1,10,
151,HAR,Western,Rewari,8,2,11,
152,HAR,Western,Mahendragarh,8,2,12,
153,HAR,Western,Bhilwani,8,2,13,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
127,GUJ,Plains Northern,Mahesana,7,2,10,"Mahesana, Kadi, Patan,Sidhpur, Kheralu,Kalol Visnagar, Vijapur"
128,GUJ,Plains Northern,Gandhinagar,7,2,11,Whole District
129,GUJ,Plains Northern,Ahmedabad,7,2,12,Whole District
130,GUJ,Plains Northern,Kheda,7,2,13,Whole District
131,GUJ,Plains Southern,Panch Mahals,7,3,14,"Halol, Kalol,Godhra, Shehera,Lunawada,Devgadbaria,Jambughoda"
