finalId,distt_id66
3_23_420_0,2303
3_23_444_0,2332
3_23_466_0,2348
3_23_425_0,2309
3_23_455_0,2343
3_23_428_0,2312
3_23_422_0,2305
3_23_437_0,2323
3_23_438_0,2325
3_23_453_0,2341
3_23_458_0,2307
3_23_421_0,2304
3_23_448_0,2336
3_23_449_0,2337
3_23_439_0,2326
3_23_451_0,2339
3_23_464_0,2324
3_23_450_0,2338
3_23_466_0,2329
3_23_440_0,2327
3_23_454_0,2342
3_23_433_0,2319
3_23_419_0,2302
3_23_452_0,2340
3_23_432_0,2318
3_23_426_0,2310
3_23_446_0,2334
3_23_442_0,2330
3_23_434_0,2320
3_23_430_0,2314
3_23_427_0,2311
3_23_429_0,2313
3_23_445_0,2333
3_23_456_0,2344
3_23_460_0,2316
3_23_436_0,2322
3_23_418_0,2301
3_23_423_0,2306
3_23_462_0,2317
3_23_462_0,2317
3_23_424_0,2308
3_23_435_0,2321
3_23_431_0,2315
3_23_443_0,2331
3_27_522_0,2726
3_27_501_0,2705
3_27_503_0,2707
3_27_515_0,2719
3_27_506_0,2710
3_27_523_0,2727
3_27_500_0,2704
3_27_509_0,2713
3_27_498_0,2702
3_27_508_0,2712
3_27_507_0,2711
3_27_512_0,2716
3_27_499_0,2703
3_27_514_0,2718
3_27_530_0,2734
3_27_524_0,2728
3_27_519_0,2723
3_27_518_0,2722
3_27_505_0,2709
3_27_511_0,2715
3_27_497_0,2701
3_27_516_0,2720
3_27_525_0,2729
3_27_513_0,2717
3_27_521_0,2725
3_27_520_0,2724
3_27_528_0,2732
3_27_531_0,2735
3_27_527_0,2731
3_27_529_0,2733
3_27_526_0,2730
3_27_517_0,2721
3_27_504_0,2708
3_27_502_0,2706
3_27_510_0,2714
3_14_275_0,1404
3_14_280_0,1409
3_14_274_0,1403
3_14_278_0,1407
3_14_277_0,1406
3_14_272_0,1401
3_14_273_0,1402
3_14_276_0,1405
3_14_279_0,1408
3_17_294_0,1702
3_17_298_0,1706
3_17_299_0,1707
3_17_297_0,1705
3_17_295_0,1703
3_17_293_0,1701
3_17_296_0,1704
3_15_283_0,NA
3_15_284_0,NA
3_15_282_0,NA
3_15_287_0,NA
3_15_286_0,NA
3_15_281_0,NA
3_15_288_0,NA
3_15_285_0,NA
3_13_265_0,1306
3_13_267_0,1309
3_13_270_0,1307
3_13_267_0,1310
3_13_262_0,1303
3_13_261_0,1301
3_13_270_0,1311
3_13_266_0,1308
3_13_267_0,1302
3_13_264_0,1305
3_13_263_0,1304
3_7_95_0,706
3_7_93_0,704
3_7_94_0,705
3_7_91_0,702
3_7_92_0,703
3_7_90_0,701
3_7_98_0,709
3_7_97_0,708
3_7_96_0,707
3_21_384_0,2115
3_21_393_0,2124
3_21_377_0,2108
3_21_370_0,2101
3_21_391_0,2122
3_21_378_0,2109
3_21_381_0,2112
3_21_373_0,2104
3_21_383_0,2114
3_21_389_0,2120
3_21_388_0,2119
3_21_380_0,2111
3_21_382_0,2113
3_21_371_0,2102
3_21_395_0,2126
3_21_390_0,2121
3_21_379_0,2110
3_21_375_0,2106
3_21_386_0,2117
3_21_398_0,2129
3_21_399_0,2130
3_21_376_0,2107
3_21_397_0,2128
3_21_385_0,2116
3_21_394_0,2125
3_21_387_0,2118
3_21_396_0,2127
3_21_372_0,2103
3_21_392_0,2123
3_21_374_0,2105
3_34_637_0,3404
3_34_636_0,3403
3_34_635_0,3402
3_34_634_0,3401
3_3_49_0,302
3_3_53_0,319
3_3_46_0,318
3_3_45_0,313
3_3_40_0,308
3_3_43_0,311
3_3_35_0,301
3_3_38_0,305
3_3_37_0,304
3_3_36_0,303
3_3_41_0,309
3_3_47_0,315
3_3_42_0,310
3_3_44_0,312
3_3_48_0,317
3_3_48_0,307
3_3_48_0,314
3_3_53_0,316
3_3_39_0,306
3_3_49_0,302
3_8_119_0,821
3_8_104_0,806
3_8_125_0,828
3_8_128_0,831
3_8_115_0,817
3_8_105_0,807
3_8_122_0,824
3_8_101_0,803
3_8_121_0,823
3_8_125_0,829
3_8_102_0,804
3_8_109_0,811
3_8_106_0,808
3_8_124_0,827
3_8_99_0,801
3_8_100_0,802
3_8_110_0,812
3_8_114_0,816
3_8_116_0,818
3_8_129_0,832
3_8_103_0,805
3_8_113_0,815
3_8_107_0,809
3_8_127_0,830
3_8_112_0,814
3_8_118_0,820
3_8_125_0,829
3_8_123_0,825
3_8_108_0,810
3_8_111_0,813
3_8_117_0,819
3_8_120_0,822
3_8_125_0,826
3_11_244_0,1104
3_11_241_0,1101
3_11_243_0,1103
3_11_242_0,1102
3_33_616_0,3317
3_33_603_0,3302
3_33_632_0,3312
3_33_617_0,3318
3_33_630_0,3305
3_33_612_0,3313
3_33_632_0,3310
3_33_604_0,3303
3_33_629_0,3330
3_33_613_0,3314
3_33_630_0,3331
3_33_623_0,3324
3_33_618_0,3319
3_33_609_0,3309
3_33_615_0,3316
3_33_621_0,3322
3_33_626_0,3327
3_33_608_0,3308
3_33_622_0,3323
3_33_620_0,3321
3_33_611_0,3311
3_33_624_0,3325
3_33_602_0,3301
3_33_619_0,3320
3_33_627_0,3328
3_33_614_0,3315
3_33_628_0,3329
3_33_632_0,3310
3_33_606_0,3306
3_33_605_0,3304
3_33_607_0,3307
3_33_625_0,3326
3_16_291_0,1603
3_16_292_0,1604
3_16_290_0,1602
3_16_289_0,1601
3_9_146_0,915
3_9_143_0,912
3_9_175_0,945
3_9_178_0,948
3_9_162_0,932
3_9_191_0,961
3_9_139_0,908
3_9_180_0,950
3_9_193_0,963
3_9_182_0,952
3_9_170_0,940
3_9_176_0,946
3_9_150_0,920
3_9_185_0,955
3_9_134_0,903
3_9_149_0,919
3_9_142_0,911
3_9_196_0,966
3_9_171_0,941
3_9_190_0,960
3_9_201_0,917
3_9_161_0,931
3_9_177_0,947
3_9_159_0,929
3_9_172_0,942
3_9_147_0,916
3_9_141_0,910
3_9_140_0,909
3_9_195_0,965
3_9_183_0,953
3_9_188_0,958
3_9_168_0,938
3_9_155_0,925
3_9_165_0,935
3_9_194_0,964
3_9_166_0,936
3_9_137_0,906
3_9_160_0,930
3_9_163_0,933
3_9_164_0,934
3_9_201_0,971
3_9_174_0,944
3_9_153_0,923
3_9_189_0,959
3_9_167_0,937
3_9_157_0,927
3_9_144_0,913
3_9_169_0,939
3_9_187_0,957
3_9_148_0,918
3_9_145_0,914
3_9_192_0,962
3_9_138_0,907
3_9_199_0,969
3_9_135_0,904
3_9_133_0,902
3_9_151_0,921
3_9_173_0,943
3_9_158_0,928
3_9_136_0,905
3_9_132_0,901
3_9_186_0,956
3_9_198_0,968
3_9_152_0,922
3_9_181_0,951
3_9_184_0,954
3_9_154_0,924
3_9_200_0,970
3_9_179_0,949
3_9_156_0,926
3_9_197_0,967
3_5_64_0,509
3_5_63_0,508
3_5_57_0,502
3_5_65_0,510
3_5_60_0,505
3_5_61_0,506
3_5_68_0,513
3_5_66_0,511
3_5_62_0,507
3_5_58_0,503
3_5_59_0,504
3_5_67_0,512
3_5_56_0,501
3_19_339_0,1913
3_19_335_0,1909
3_19_334_0,1908
3_19_331_0,1905
3_19_327_0,1901
3_19_341_0,1916
3_19_338_0,1912
3_19_328_0,1902
3_19_329_0,1903
3_19_342_0,1917
3_19_332_0,1906
3_19_333_0,1907
3_19_336_0,1910
3_19_337_0,1911
3_19_344_0,1915
3_19_344_0,1919
3_19_340_0,1914
3_19_343_0,1918
3_19_330_0,1904
