finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_27_519_0,Maharashtra,Mumbai,Maharashtra,MUMBAI,NA,NA
3_27_518_0,Maharashtra,Mumbai Suburban,Maharashtra,MUMBAI SUBURBAN,NA,NA
3_27_505_0,Maharashtra,Nagpur,Maharashtra,NAGPUR,NA,1427
3_27_511_0,Maharashtra,Nanded,Maharashtra,NANDED,NA,1419
3_27_497_0,Maharashtra,Nandurbar,Maharashtra,NANDURBAR,NA,NA
3_27_516_0,Maharashtra,Nashik,Maharashtra,NASHIK,NA,NA
3_27_525_0,Maharashtra,Osmanabad,Maharashtra,OSAMANABAD,NA,NA
3_27_513_0,Maharashtra,Parbhani,Maharashtra,PARBHANI,NA,1417
3_27_521_0,Maharashtra,Pune,Maharashtra,PUNE,NA,1410
3_27_520_0,Maharashtra,Raigarh,Maharashtra,RAIGARH,NA,1341
3_27_520_0,Maharashtra,Raigarh,Maharashtra,RAIGARH,NA,1403
3_27_528_0,Maharashtra,Ratnagiri,Maharashtra,RATNAGIRI,NA,1404
3_27_531_0,Maharashtra,Sangli,Maharashtra,SANGLI,NA,1412
3_27_527_0,Maharashtra,Satara,Maharashtra,SATARA,NA,1411
3_27_529_0,Maharashtra,Sindhudurg,Maharashtra,SINDHUDURG,NA,NA
3_27_526_0,Maharashtra,Solapur,Maharashtra,SOLAPUR,NA,1413
3_27_517_0,Maharashtra,Thane,Maharashtra,THANE,NA,1402
3_27_504_0,Maharashtra,Wardha,Maharashtra,WARDHA,NA,1426
3_27_502_0,Maharashtra,Washim,Maharashtra,WASHIM,NA,NA
3_27_510_0,Maharashtra,Yavatmal,Maharashtra,YAVATMAL,NA,1425
3_14_275_0,Manipur,Bishnupur,Manipur,BISHNUPUR,NA,1506
3_14_280_0,Manipur,Chandel,Manipur,CHANDEL,NA,1504
3_14_274_0,Manipur,Churachandpur,Manipur,CHURACHANDPUR,NA,NA
3_14_278_0,Manipur,Imphal East,Manipur,IMPHAL EAST,NA,NA
3_14_277_0,Manipur,Imphal West,Manipur,IMPHAL WEST,NA,NA
3_14_272_0,Manipur,Senapati,Manipur,SENAPATI,NA,1501
3_14_273_0,Manipur,Tamenglong,Manipur,TAMENGLONG,NA,1502
3_14_276_0,Manipur,Thoubal,Manipur,THOUBAL,NA,NA
3_14_279_0,Manipur,Ukhrul,Manipur,UKHRUL,NA,1508
3_17_294_0,Meghalaya,East Garo Hills,Meghalaya,EAST GARO HILLS,NA,NA
3_17_298_0,Meghalaya,East Khasi Hills,Meghalaya,EAST KHASI HILLS,NA,1602
3_17_299_0,Meghalaya,Jaintia Hills,Meghalaya,JAINTIA HILLS,NA,1601
3_17_297_0,Meghalaya,Ribhoi,Meghalaya,RI BHOI,NA,NA
3_17_295_0,Meghalaya,South Garo Hills,Meghalaya,SOUTH GARO HILLS,NA,NA
3_17_293_0,Meghalaya,West Garo Hills,Meghalaya,WEST GARO HILLS,NA,NA
3_17_296_0,Meghalaya,West Khasi Hills,Meghalaya,WEST KHASI HILLS,NA,NA
3_15_283_0,Mizoram,Aizawl,Mizoram,AIZWAL,NA,1701
3_15_284_0,Mizoram,Champhai,Mizoram,CHAMPHAI,NA,NA
3_15_282_0,Mizoram,Kolasib,Mizoram,KOLASIB,NA,NA
3_15_287_0,Mizoram,Lawngtlai,Mizoram,LAWNGTLAI,NA,NA
3_15_286_0,Mizoram,Lunglei,Mizoram,LUNGLAI,NA,NA
3_15_281_0,Mizoram,Mamit,Mizoram,MAMIT,NA,NA
3_15_288_0,Mizoram,Saiha,Mizoram,SAIHA,NA,NA
3_15_285_0,Mizoram,Serchhip,Mizoram,SERCHHIP,NA,NA
3_13_265_0,Nagaland,Dimapur,Nagaland,DIMAPUR,NA,NA
3_13_267_0,Nagaland,Kiphire,NA,NA,Kiphire and Longleng districts split from Tuensang,NA
3_13_270_0,Nagaland,Kohima,Nagaland,KOHIMA,Peren district split from Kohima,1801
3_13_262_0,Nagaland,Mokokchung,Nagaland,MOKOKCHUNG,NA,NA
3_13_261_0,Nagaland,Mon,Nagaland,MON,NA,NA
3_13_266_0,Nagaland,Phek,Nagaland,PHEK,NA,1802
3_13_264_0,Nagaland,Wokha,Nagaland,WOKHA,NA,NA
3_13_263_0,Nagaland,Zunheboto,Nagaland,ZUNHEBOTO,NA,NA
3_7_95_0,NCT Of Delhi,Central,Delhi,CENTRAL,NA,NA
3_7_93_0,NCT Of Delhi,East,Delhi,EAST,NA,NA
3_7_94_0,NCT Of Delhi,New Delhi,Delhi,NEW DELHI,NA,NA
3_7_91_0,NCT Of Delhi,North,Delhi,NORTH,NA,NA
3_7_92_0,NCT Of Delhi,North East,Delhi,NORTH EAST,NA,NA
3_7_90_0,NCT Of Delhi,North West,Delhi,NORTH WEST,NA,NA
3_7_98_0,NCT Of Delhi,South,Delhi,SOUTH,NA,NA
3_7_97_0,NCT Of Delhi,South West,Delhi,SOUTH WEST,NA,NA
3_7_96_0,NCT Of Delhi,West,Delhi,WEST,NA,NA
3_21_384_0,Odisha,Anugul,Orissa,ANUGUL,NA,NA
3_21_393_0,Odisha,Balangir,Orissa,BALANGIR,NA,1909
3_21_377_0,Odisha,Baleshwar,Orissa,BALESHWAR,NA,NA
3_21_370_0,Odisha,Bargarh,Orissa,BARGARH,NA,NA
3_21_391_0,Odisha,Baudh,Orissa,BAUDH,NA,NA
3_21_378_0,Odisha,Bhadrak,Orissa,BHADRAK,NA,NA
3_21_381_0,Odisha,Cuttack,Orissa,CUTTACK,NA,1906
3_21_373_0,Odisha,Debagarh,Orissa,DEBAGARH,NA,NA
3_21_383_0,Odisha,Dhenkanal,Orissa,DHENKANAL,NA,NA
3_21_389_0,Odisha,Gajapati,Orissa,GAJAPATI,NA,NA
3_21_388_0,Odisha,Ganjam,Orissa,GANJAM,NA,1912
3_21_380_0,Odisha,Jagatsinghapur,Orissa,JAGATSINGHAPUR,NA,NA
3_21_382_0,Odisha,Jajapur,Orissa,JAJAPUR,NA,NA
3_21_371_0,Odisha,Jharsuguda,Orissa,JHARSUGUDA,NA,NA
3_21_395_0,Odisha,Kalahandi,Orissa,KALAHANDI,NA,1910
3_21_390_0,Odisha,Kandhamal,Orissa,KANDHAMAL,NA,NA
3_21_379_0,Odisha,Kendrapara,Orissa,KNDRAPARA,NA,NA
3_21_375_0,Odisha,Kendujhar,Orissa,KENDUJHAR,NA,1903
3_21_386_0,Odisha,Khordha,Orissa,KHORDHA,NA,NA
3_21_398_0,Odisha,Koraput,Orissa,KORAPUT,NA,1911
3_21_399_0,Odisha,Malkangiri,Orissa,MALKANGIRI,NA,NA
3_21_376_0,Odisha,Mayurbhanj,Orissa,MAYURBHANJ,NA,1904
3_21_397_0,Odisha,Nabarangapur,Orissa,NABARANGAPUR,NA,NA
3_21_385_0,Odisha,Nayagarh,Orissa,NAUAGARH,NA,NA
3_21_394_0,Odisha,Nuapada,Orissa,NUAPADA,NA,NA
3_21_387_0,Odisha,Puri,Orissa,PURI,NA,1913
3_21_396_0,Odisha,Rayagada,Orissa,RAYAGADA,NA,NA
3_21_372_0,Odisha,Sambalpur,Orissa,SAMBALPUR,NA,1901
3_21_392_0,Odisha,Subarnapur,Orissa,SONAPUR,NA,NA
3_21_374_0,Odisha,Sundargarh,Orissa,SUNDARGARH,NA,NA
3_34_637_0,Puducherry,Karaikal,Pondicherry,KARAIKAL,NA,3302
3_34_636_0,Puducherry,Mahe,Pondicherry,MAHE,NA,NA
3_34_635_0,Puducherry,Puducherry,Pondicherry,PONDICHERRY,NA,3301
3_34_634_0,Puducherry,Yanam,Pondicherry,YANAM,NA,NA
3_3_49_0,Punjab,Amritsar,Punjab,AMRITSAR,Tarn Taran district split from Amritsar,2002
3_3_53_0,Punjab,Barnala,NA,NA,Barnala district split from Sangrur,NA
3_3_46_0,Punjab,Bathinda,Punjab,BATHINDA,NA,NA
3_3_45_0,Punjab,Faridkot,Punjab,FARIDKOT,NA,2012
3_3_40_0,Punjab,Fatehgarh Sahib,Punjab,FATEHGARH SAHIB,NA,NA
3_3_43_0,Punjab,Firozpur,Punjab,FIROZPUR,NA,NA
3_3_35_0,Punjab,Gurdaspur,Punjab,GURDASPUR,NA,2001
3_3_38_0,Punjab,Hoshiarpur,Punjab,HOSHIARPUR,NA,2007
3_3_37_0,Punjab,Jalandhar,Punjab,JALANDHAR,NA,2005
3_3_36_0,Punjab,Kapurthala,Punjab,KAPURTHALA,NA,2006
3_3_41_0,Punjab,Ludhiana,Punjab,LUDHIANA,NA,2004
3_3_47_0,Punjab,Mansa,Punjab,MANSA,NA,NA
3_3_42_0,Punjab,Moga,Punjab,MOGA,NA,NA
3_3_44_0,Punjab,Muktsar,Punjab,MUKTSAR,NA,NA
3_3_48_0,Punjab,Patiala,Punjab,PATIALA,Mohali district formed from parts of Patiala and Rupnagar,2009
3_3_39_0,Punjab,Shahid Bhagat Singh Nagar,Punjab,NAWANSHAHR,NA,NA
3_8_119_0,Rajasthan,Ajmer,Rajasthan,AJMER,NA,2111
3_8_104_0,Rajasthan,Alwar,Rajasthan,ALWAR,NA,2105
3_8_125_0,Rajasthan,Banswara,Rajasthan,BANSWARA,"Pratapgarh formed from parts of Banswara, Chittorgarh, and Udaipur",2124
3_8_128_0,Rajasthan,Baran,Rajasthan,BARAN,NA,NA
3_8_115_0,Rajasthan,Barmer,Rajasthan,BARMER,NA,2117
3_8_105_0,Rajasthan,Bharatpur,Rajasthan,BHARATPUR,NA,2106
3_8_122_0,Rajasthan,Bhilwara,Rajasthan,BHILWARA,NA,2120
3_8_101_0,Rajasthan,Bikaner,Rajasthan,BIKANER,NA,2102
3_8_121_0,Rajasthan,Bundi,Rajasthan,BUNDI,NA,2125
3_8_102_0,Rajasthan,Churu,Rajasthan,CHURU,NA,2103
3_8_109_0,Rajasthan,Dausa,Rajasthan,DAUSA,NA,NA
3_8_106_0,Rajasthan,Dhaulpur,Rajasthan,DHAULPUR,NA,NA
3_8_124_0,Rajasthan,Dungarpur,Rajasthan,DUNGARPUR,NA,2123
3_8_99_0,Rajasthan,Ganganagar,Rajasthan,GANGANAGAR,NA,2101
3_8_100_0,Rajasthan,Hanumangarh,Rajasthan,HANUMANGARH,NA,NA
3_8_110_0,Rajasthan,Jaipur,Rajasthan,JAIPUR,NA,2109
3_8_114_0,Rajasthan,Jaisalmer,Rajasthan,JAISALMER,NA,2113
3_8_116_0,Rajasthan,Jalor,Rajasthan,JALOR,NA,NA
3_8_129_0,Rajasthan,Jhalawar,Rajasthan,JHALAWAR,NA,NA
3_8_103_0,Rajasthan,Jhunjhunun,Rajasthan,JHUNJHUNUN,NA,2104
3_8_113_0,Rajasthan,Jodhpur,Rajasthan,JODHPUR,NA,2114
3_8_107_0,Rajasthan,Karauli,Rajasthan,KARAULI,NA,NA
3_8_127_0,Rajasthan,Kota,Rajasthan,KOTA,NA,2126
3_8_112_0,Rajasthan,Nagaur,Rajasthan,NAGAUR,NA,2115
3_8_118_0,Rajasthan,Pali,Rajasthan,PALI,NA,2116
3_8_123_0,Rajasthan,Rajsamand,Rajasthan,RAJSAMAND,NA,NA
3_8_108_0,Rajasthan,Sawai Madhopur,Rajasthan,SAWAI MADHOPUR,NA,NA
3_8_111_0,Rajasthan,Sikar,Rajasthan,SIKAR,NA,2110
3_8_117_0,Rajasthan,Sirohi,Rajasthan,SIROHI,NA,2119
3_8_120_0,Rajasthan,Tonk,Rajasthan,TONK,NA,2112
3_11_244_0,Sikkim,East District,Sikkim,EAST (GANGTOK),NA,NA
3_11_241_0,Sikkim,North  District,Sikkim,NORTH (MONGAM),NA,NA
3_11_243_0,Sikkim,South District,Sikkim,SOUTH   (NIMACHAI),NA,NA
3_11_242_0,Sikkim,West District,Sikkim,WEST  (GYALSHING),NA,NA
3_33_616_0,Tamil Nadu,Ariyalur,Tamil Nadu,ARIYALUR,NA,NA
3_33_603_0,Tamil Nadu,Chennai,Tamil Nadu,CHENNAI,NA,NA
3_33_632_0,Tamil Nadu,Coimbatore,Tamil Nadu,COIMBATORE,Tiruppur district formed from parts of Coimbatore and Erode,2310
3_33_617_0,Tamil Nadu,Cuddalore,Tamil Nadu,CUDDALORE,NA,NA
3_33_630_0,Tamil Nadu,Dharmapuri,Tamil Nadu,DHARMAPURI,Krishnagiri district split from Dharmapuri,2304
3_33_612_0,Tamil Nadu,Dindigul,Tamil Nadu,DINDIGUL,NA,NA
3_33_604_0,Tamil Nadu,Kancheepuram,Tamil Nadu,KANCHIPURAM,NA,NA
3_33_629_0,Tamil Nadu,Kanniyakumari,Tamil Nadu,KANNIYAKUMARI,NA,NA
3_33_613_0,Tamil Nadu,Karur,Tamil Nadu,KARUR,NA,NA
3_33_623_0,Tamil Nadu,Madurai,Tamil Nadu,MADURAI,NA,2316
3_33_618_0,Tamil Nadu,Nagapattinam,Tamil Nadu,NAGAPATTINAM,NA,NA
3_33_609_0,Tamil Nadu,Namakkal,Tamil Nadu,NAMAKKAL,NA,NA
3_33_615_0,Tamil Nadu,Perambalur,Tamil Nadu,PERAMBALUR,NA,NA
3_33_621_0,Tamil Nadu,Pudukkottai,Tamil Nadu,PUDUKKOTTAI,NA,NA
3_33_626_0,Tamil Nadu,Ramanathapuram,Tamil Nadu,RAMANATHAPURAM,NA,NA
3_33_608_0,Tamil Nadu,Salem,Tamil Nadu,SALEM,NA,2307
3_33_622_0,Tamil Nadu,Sivaganga,Tamil Nadu,SIVAGANGA,NA,NA
3_33_620_0,Tamil Nadu,Thanjavur,Tamil Nadu,THANJAVUR,NA,2313
3_33_611_0,Tamil Nadu,The Nilgiris,Tamil Nadu,NILGIRIS,NA,NA
3_33_624_0,Tamil Nadu,Theni,Tamil Nadu,THENI,NA,NA
3_33_602_0,Tamil Nadu,Thiruvallur,Tamil Nadu,TIRUVALLUR,NA,NA
3_33_619_0,Tamil Nadu,Thiruvarur,Tamil Nadu,TIRUVARUR,NA,NA
3_33_627_0,Tamil Nadu,Thoothukkudi,Tamil Nadu,THOOTHUKUDI,NA,NA
3_33_614_0,Tamil Nadu,Tiruchirappalli,Tamil Nadu,TIRUCHIRAPPALLI,NA,NA
3_33_628_0,Tamil Nadu,Tirunelveli,Tamil Nadu,TIRUNELVELI,NA,NA
3_33_606_0,Tamil Nadu,Tiruvannamalai,Tamil Nadu,TIRUVANNAMALAI,NA,NA
3_33_605_0,Tamil Nadu,Vellore,Tamil Nadu,VELLORE,NA,NA
3_33_607_0,Tamil Nadu,Viluppuram,Tamil Nadu,VILLUPURAM,NA,NA
3_33_625_0,Tamil Nadu,Virudhunagar,Tamil Nadu,VIRUDUNAGAR,NA,NA
3_16_291_0,Tripura,Dhalai,Tripura,DHALAI,NA,NA
3_16_292_0,Tripura,North Tripura,Tripura,NORTH TRIPURA,NA,2402
3_16_290_0,Tripura,South Tripura,Tripura,SOUTH TRIPURA,NA,2403
3_16_289_0,Tripura,West Tripura,Tripura,WEST TRIPURA,NA,2401
3_9_146_0,Uttar Pradesh,Agra,Uttar Pradesh,AGRA,NA,2520
3_9_143_0,Uttar Pradesh,Aligarh,Uttar Pradesh,ALIGARH,NA,2518
3_9_175_0,Uttar Pradesh,Allahabad,Uttar Pradesh,ALLAHABAD,NA,2545
3_9_178_0,Uttar Pradesh,Ambedkar Nagar,Uttar Pradesh,AMBEDKAR NAGAR,NA,NA
3_9_162_0,Uttar Pradesh,Auraiya,Uttar Pradesh,AURAIYA,NA,NA
3_9_191_0,Uttar Pradesh,Azamgarh,Uttar Pradesh,AZAMGARH,NA,2557
3_9_139_0,Uttar Pradesh,Baghpat,Uttar Pradesh,BAGHPAT,NA,NA
3_9_180_0,Uttar Pradesh,Bahraich,Uttar Pradesh,BAHRAICH,NA,NA
3_9_193_0,Uttar Pradesh,Ballia,Uttar Pradesh,BALLIA,NA,NA
3_9_182_0,Uttar Pradesh,Balrampur,Uttar Pradesh,BALRAMPUR,NA,NA
3_9_170_0,Uttar Pradesh,Banda,Uttar Pradesh,BANDA,NA,2542
3_9_176_0,Uttar Pradesh,Bara Banki,Uttar Pradesh,BARABANKI,NA,2548
3_9_150_0,Uttar Pradesh,Bareilly,Uttar Pradesh,BAREILLY,NA,NA
3_9_185_0,Uttar Pradesh,Basti,Uttar Pradesh,BASTI,NA,2553
3_9_134_0,Uttar Pradesh,Bijnor,Uttar Pradesh,BIJNOR,NA,NA
3_9_149_0,Uttar Pradesh,Budaun,Uttar Pradesh,BUDAUN,NA,2524
3_9_142_0,Uttar Pradesh,Bulandshahr,Uttar Pradesh,BULANDSHAHAR,NA,2517
3_9_196_0,Uttar Pradesh,Chandauli,Uttar Pradesh,CHANDAULI,NA,NA
3_9_171_0,Uttar Pradesh,Chitrakoot,Uttar Pradesh,CHITRAKOOT,NA,NA
3_9_190_0,Uttar Pradesh,Deoria,Uttar Pradesh,DEORIA,NA,2555
3_9_201_0,Uttar Pradesh,Etah,Uttar Pradesh,ETAH,Kanshi Ram Nagar split from Etah,2522
3_9_161_0,Uttar Pradesh,Etawah,Uttar Pradesh,ETAWAH,NA,2535
3_9_177_0,Uttar Pradesh,Faizabad,Uttar Pradesh,FAIZABAD,NA,2549
3_9_159_0,Uttar Pradesh,Farrukhabad,Uttar Pradesh,FARRUKHABAD,NA,NA
3_9_172_0,Uttar Pradesh,Fatehpur,Uttar Pradesh,FATEHPUR,NA,2543
3_9_147_0,Uttar Pradesh,Firozabad,Uttar Pradesh,FIROZABAD,NA,2521
3_9_141_0,Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh,GAUTAM BUDH NAGAR,NA,NA
3_9_140_0,Uttar Pradesh,Ghaziabad,Uttar Pradesh,GHAZIABAD,NA,2516
3_9_195_0,Uttar Pradesh,Ghazipur,Uttar Pradesh,GHAZIPUR,NA,2560
3_9_183_0,Uttar Pradesh,Gonda,Uttar Pradesh,GONDA,NA,2547
3_9_188_0,Uttar Pradesh,Gorakhpur,Uttar Pradesh,GORAKHPUR,NA,2554
3_9_168_0,Uttar Pradesh,Hamirpur,Uttar Pradesh,HAMIRPUR,NA,903
3_9_155_0,Uttar Pradesh,Hardoi,Uttar Pradesh,HARDOI,NA,2530
3_9_165_0,Uttar Pradesh,Jalaun,Uttar Pradesh,JALAUN,NA,2538
3_9_194_0,Uttar Pradesh,Jaunpur,Uttar Pradesh,JAUNPUR,NA,2558
3_9_166_0,Uttar Pradesh,Jhansi,Uttar Pradesh,JHANSI,NA,2539
3_9_137_0,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,JYOTIBA PHULE NAGAR,NA,NA
3_9_160_0,Uttar Pradesh,Kannauj,Uttar Pradesh,KANNAUJ,NA,NA
3_9_163_0,Uttar Pradesh,Kanpur Dehat,Uttar Pradesh,KANPUR DEHAT,NA,2536
3_9_164_0,Uttar Pradesh,Kanpur Nagar,Uttar Pradesh,KANPUR NAGAR,NA,NA
3_9_174_0,Uttar Pradesh,Kaushambi,Uttar Pradesh,KAUSHAMBI,NA,NA
3_9_153_0,Uttar Pradesh,Kheri,Uttar Pradesh,KHIRI,NA,NA
3_9_189_0,Uttar Pradesh,Kushinagar,Uttar Pradesh,KUSHINAGAR,NA,NA
3_9_167_0,Uttar Pradesh,Lalitpur,Uttar Pradesh,LALITPUR,NA,2540
3_9_157_0,Uttar Pradesh,Lucknow,Uttar Pradesh,LUCKNOW,NA,2532
3_9_144_0,Uttar Pradesh,Mahamaya Nagar,Uttar Pradesh,HATHRAS,NA,NA
3_9_169_0,Uttar Pradesh,Mahoba,Uttar Pradesh,MAHOBA,NA,NA
3_9_187_0,Uttar Pradesh,Mahrajganj,Uttar Pradesh,MAHARAJGANJ,NA,NA
3_9_148_0,Uttar Pradesh,Mainpuri,Uttar Pradesh,MAINPURI,NA,2523
3_9_145_0,Uttar Pradesh,Mathura,Uttar Pradesh,MATHURA,NA,2519
3_9_192_0,Uttar Pradesh,Mau,Uttar Pradesh,MAU,NA,2556
3_9_138_0,Uttar Pradesh,Meerut,Uttar Pradesh,MEERUT,NA,2515
3_9_199_0,Uttar Pradesh,Mirzapur,Uttar Pradesh,MIRZAPUR,NA,2562
3_9_135_0,Uttar Pradesh,Moradabad,Uttar Pradesh,MORADABAD,NA,2510
3_9_133_0,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,MUZAFFARNAGAR,NA,2514
3_9_151_0,Uttar Pradesh,Pilibhit,Uttar Pradesh,PILIBHIT,NA,2526
3_9_173_0,Uttar Pradesh,Pratapgarh,Uttar Pradesh,PRATAPGARH,NA,2544
3_9_158_0,Uttar Pradesh,Rae Bareli,Uttar Pradesh,RAO BARELI,NA,NA
3_9_136_0,Uttar Pradesh,Rampur,Uttar Pradesh,RAOPUR,NA,NA
3_9_132_0,Uttar Pradesh,Saharanpur,Uttar Pradesh,SAHARANPUR,NA,NA
3_9_186_0,Uttar Pradesh,Sant Kabir Nagar,Uttar Pradesh,SANT KABIR NAGAR,NA,NA
3_9_198_0,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,SANT RAVIDAS NAGAR,NA,NA
3_9_152_0,Uttar Pradesh,Shahjahanpur,Uttar Pradesh,SHAHJAHANPUR,NA,2527
3_9_181_0,Uttar Pradesh,Shrawasti,Uttar Pradesh,SHRAWASTI,NA,NA
3_9_184_0,Uttar Pradesh,Siddharthnagar,Uttar Pradesh,SIDDARTHNAGAR,NA,NA
3_9_154_0,Uttar Pradesh,Sitapur,Uttar Pradesh,SITAPUR,NA,2529
3_9_200_0,Uttar Pradesh,Sonbhadra,Uttar Pradesh,SONBHADRA,NA,NA
3_9_179_0,Uttar Pradesh,Sultanpur,Uttar Pradesh,SULTANPUR,NA,2550
3_9_156_0,Uttar Pradesh,Unnao,Uttar Pradesh,UNNAO,NA,2531
3_9_197_0,Uttar Pradesh,Varanasi,Uttar Pradesh,VARANASI,NA,2561
3_5_64_0,Uttarakhand,Almora,Uttaranchal,ALMORA,NA,2507
3_5_63_0,Uttarakhand,Bageshwar,Uttaranchal,BAGESHWAR,NA,NA
3_5_57_0,Uttarakhand,Chamoli,Uttaranchal,CHAMOLI,NA,2502
3_5_65_0,Uttarakhand,Champawat,Uttaranchal,CHAMPAWAT,NA,NA
3_5_60_0,Uttarakhand,Dehradun,Uttaranchal,DEHRADUN,NA,2504
3_5_61_0,Uttarakhand,Garhwal,Uttaranchal,GARHWAL,NA,NA
3_5_68_0,Uttarakhand,Hardwar,Uttaranchal,HARDWAR,NA,2513
3_5_66_0,Uttarakhand,Nainital,Uttaranchal,NAINITAL,NA,2508
3_5_62_0,Uttarakhand,Pithoragarh,Uttaranchal,PITHORAGARH,NA,2506
3_5_58_0,Uttarakhand,Rudraprayag,Uttaranchal,RUDRAPRAYAG,NA,NA
3_5_59_0,Uttarakhand,Tehri Garhwal,Uttaranchal,TEHRI GARHWAL,NA,2503
3_5_67_0,Uttarakhand,Udham Singh Nagar,Uttaranchal,UDHAMSINGH SINGH NAGAR,NA,NA
3_5_56_0,Uttarakhand,Uttarkashi,Uttaranchal,UTTARKASHI,NA,2501
3_19_339_0,West Bengal,Bankura,West Bengal,BANKURA,NA,2614
3_19_335_0,West Bengal,Barddhaman,West Bengal,BARDDHAMAN,NA,NA
3_19_334_0,West Bengal,Birbhum,West Bengal,BIRBHUM,NA,2617
3_19_331_0,West Bengal,Dakshin Dinajpur,West Bengal,DAKSHIN DINAJPUR,NA,NA
3_19_327_0,West Bengal,Darjiling,West Bengal,DARJILING,NA,NA
3_19_341_0,West Bengal,Haora,West Bengal,HAORA,NA,NA
3_19_338_0,West Bengal,Hugli,West Bengal,HUGLI,NA,NA
3_19_328_0,West Bengal,Jalpaiguri,West Bengal,JALPAIGURI,NA,2602
3_19_329_0,West Bengal,Koch Bihar,West Bengal,KOCH BIHAR,NA,NA
3_19_342_0,West Bengal,Kolkata,West Bengal,CULCUTTA,NA,NA
3_19_332_0,West Bengal,Maldah,West Bengal,MALDAH,NA,NA
3_19_333_0,West Bengal,Murshidabad,West Bengal,MURSHIDABAD,NA,2606
3_19_336_0,West Bengal,Nadia,West Bengal,NADIA,NA,2607
3_19_337_0,West Bengal,North Twenty Four Parganas,West Bengal,NORTH 24-PARGANAS,NA,NA
3_19_344_0,West Bengal,Paschim Medinipur,West Bengal,MEDINIPUR,Midnapore district split into East Midnapore and West Midnapore,NA
3_19_340_0,West Bengal,Puruliya,West Bengal,PURULIYA,NA,NA
3_19_343_0,West Bengal,South Twenty Four Parganas,West Bengal,SOUTH 24-PARGANAS,NA,NA
3_19_330_0,West Bengal,Uttar Dinajpur,West Bengal,UTTAR DINAJPUR,NA,NA
