finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id50
3_10_216_0,Bihar,Muzaffarpur,Bihar,MUZAFFARPUR,NA,NA
3_10_229_0,Bihar,Nalanda,Bihar,NALANDA,NA,502
3_10_237_0,Bihar,Nawada,Bihar,NAWADA,NA,508
3_10_203_0,Bihar,Pashchim Champaran,Bihar,PASHCHIM CHAMPARAN,NA,NA
3_10_230_0,Bihar,Patna,Bihar,PATNA,NA,501
3_10_204_0,Bihar,Purba Champaran,Bihar,PURBA CHAMPARAN,NA,NA
3_10_211_0,Bihar,Purnia,Bihar,PURNIA,NA,523
3_10_234_0,Bihar,Rohtas,Bihar,ROHTAS,NA,504
3_10_214_0,Bihar,Saharsa,Bihar,SAHARSA,NA,NA
3_10_221_0,Bihar,Samastipur,Bihar,SAMASTIPUR,NA,518
3_10_219_0,Bihar,Saran,Bihar,SARAN,NA,509
3_10_228_0,Bihar,Sheikhpura,Bihar,SHEIKHPURA,NA,NA
3_10_205_0,Bihar,Sheohar,Bihar,SHEOHAR,NA,NA
3_10_206_0,Bihar,Sitamarhi,Bihar,SITAMARHI,NA,514
3_10_218_0,Bihar,Siwan,Bihar,SIWAN,NA,510
3_10_208_0,Bihar,Supaul,Bihar,SUPAUL,NA,NA
3_10_220_0,Bihar,Vaishali,Bihar,VAISHALI,NA,516
3_4_55_0,Chandigarh,Chandigarh,Chandigarh,CHANDIGARH,NA,2801
3_22_414_0,Chhattisgarh,Bastar,Chhatisgarh,BASTAR,Narayanpur district split from Bastar.,1345
3_22_416_0,Chhattisgarh,Bijapur,NA,NA,Dantewada district split into Bijapur and Dakshin Bastar Dantewada,NA
3_22_406_0,Chhattisgarh,Bilaspur,Chhatisgarh,BILASPUR,NA,905
3_22_406_0,Chhattisgarh,Bilaspur,Chhatisgarh,BILASPUR,NA,1305
3_22_412_0,Chhattisgarh,Dhamtari,Chhatisgarh,DHAMTARI,NA,NA
3_22_409_0,Chhattisgarh,Durg,Chhatisgarh,DURG,NA,1343
3_22_405_0,Chhattisgarh,Janjgir - Champa,Chhatisgarh,JANJGIR-CHAMPA,NA,NA
3_22_402_0,Chhattisgarh,Jashpur,Chhatisgarh,JASHPUR,NA,NA
3_22_407_0,Chhattisgarh,Kabeerdham,Chhatisgarh,KAWARDHA,NA,NA
3_22_404_0,Chhattisgarh,Korba,Chhatisgarh,KORBA,NA,NA
3_22_400_0,Chhattisgarh,Koriya,Chhatisgarh,KORIA,NA,NA
3_22_411_0,Chhattisgarh,Mahasamund,Chhatisgarh,MAHASAMUND,NA,NA
3_22_403_0,Chhattisgarh,Raigarh,Chhatisgarh,RAIGARH,NA,1341
3_22_403_0,Chhattisgarh,Raigarh,Chhatisgarh,RAIGARH,NA,1403
3_22_410_0,Chhattisgarh,Raipur,Chhatisgarh,RAIPUR,NA,1344
3_22_408_0,Chhattisgarh,Rajnandgaon,Chhatisgarh,RAJNANDGAON,NA,1342
3_22_401_0,Chhattisgarh,Surguja,Chhatisgarh,SURGUJA,NA,1339
3_22_413_0,Chhattisgarh,Uttar Bastar Kanker,Chhatisgarh,KANKER,NA,NA
3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,NA,NA
3_25_495_0,Daman & Diu,Daman,Daman & Diu,DAMAN,NA,3001
3_25_494_0,Daman & Diu,Diu,Daman & Diu,DIU,NA,3002
3_30_585_0,Goa,North Goa,Goa,NORTH GOA,NA,601
3_30_586_0,Goa,South Goa,Goa,SOUTH GOA,NA,602
3_24_474_0,Gujarat,Ahmadabad,Gujarat,AHMADABAD,NA,NA
3_24_480_0,Gujarat,Amreli,Gujarat,AMRELI,NA,705
3_24_482_0,Gujarat,Anand,Gujarat,ANAND,NA,NA
3_24_469_0,Gujarat,Banas Kantha,Gujarat,BANAS KANTHA,NA,NA
3_24_488_0,Gujarat,Bharuch,Gujarat,BHARUCH,NA,716
3_24_481_0,Gujarat,Bhavnagar,Gujarat,BHAVNAGAR,NA,704
3_24_485_0,Gujarat,Dohad,Gujarat,DOHAD,NA,NA
3_24_473_0,Gujarat,Gandhinagar,Gujarat,GANDHINAGAR,NA,711
3_24_477_0,Gujarat,Jamnagar,Gujarat,JAMNAGAR,NA,701
3_24_479_0,Gujarat,Junagadh,Gujarat,JUNAGADH,NA,706
3_24_468_0,Gujarat,Kachchh,Gujarat,KACHCHH,NA,NA
3_24_483_0,Gujarat,Kheda,Gujarat,KHEDA,NA,713
3_24_471_0,Gujarat,Mahesana,Gujarat,MAHESANA,NA,NA
3_24_487_0,Gujarat,Narmada,Gujarat,NARMADA,NA,NA
3_24_490_0,Gujarat,Navsari,Gujarat,NAVSARI,NA,NA
3_24_484_0,Gujarat,Panch Mahals,Gujarat,PANCH MAHALS,NA,NA
3_24_470_0,Gujarat,Patan,Gujarat,PATAN,NA,NA
3_24_478_0,Gujarat,Porbandar,Gujarat,PORBANDAR,NA,NA
3_24_476_0,Gujarat,Rajkot,Gujarat,RAJKOT,NA,702
3_24_472_0,Gujarat,Sabar Kantha,Gujarat,SABAR KANTHA,NA,NA
3_24_492_0,Gujarat,Surat,Gujarat,SURAT,Tapi district split from Surat,717
3_24_475_0,Gujarat,Surendranagar,Gujarat,SURENDRANAGAR,NA,703
3_24_489_0,Gujarat,The Dangs,Gujarat,THE DANGS,NA,719
3_24_486_0,Gujarat,Vadodara,Gujarat,VADODARA,NA,715
3_24_491_0,Gujarat,Valsad,Gujarat,VALSAD,NA,718
3_6_70_0,Haryana,Ambala,Haryana,AMBALA,NA,801
3_6_81_0,Haryana,Bhiwani,Haryana,BHIWANI,NA,NA
3_6_88_0,Haryana,Faridabad,Haryana,FARIDABAD,Palwal district split from Faridabad,809
3_6_78_0,Haryana,Fatehabad,Haryana,FATEHABAD,NA,NA
3_6_86_0,Haryana,Gurgaon,Haryana,GURGAON,Mewat district split from Gurgaon,810
3_6_80_0,Haryana,Hisar,Haryana,HISAR,NA,NA
