dist91stratum,distt_id50
CHITTORGARH,2122
KOKRAJHAR,402
BONGAIGAON,403
NALBARI,406
KAMRUP,407
SONITPUR,409
KATWAR,1011
ROOPNAGAR,2008
THIRUVANAMALA,2305
PERIYAR,2308
BAHRI,2525
