spatialState,spatialDistrict,spatialId,finalId,distt_id55,Note
Andaman & Nicobar Islands,Nicobars,3_35_638_0,3_35_638_0,NA,NA
Andaman & Nicobar Islands,North  & Middle Andaman,3_35_639_0,3_35_639_0,NA,NA
Andaman & Nicobar Islands,South Andaman,3_35_640_0,3_35_640_0,NA,NA
Andhra Pradesh,Adilabad,3_28_532_0,3_28_532_0,219,NA
Andhra Pradesh,Anantapur,3_28_553_0,3_28_553_0,NA,NA
Andhra Pradesh,Chittoor,3_28_554_0,3_28_554_0,210,NA
Andhra Pradesh,East Godavari,3_28_545_0,3_28_545_0,204,NA
Andhra Pradesh,Guntur,3_28_548_0,3_28_548_0,207,NA
Andhra Pradesh,Hyderabad,3_28_536_0,3_28_536_0,216,NA
Andhra Pradesh,Karimnagar,3_28_534_0,3_28_534_0,220,NA
Andhra Pradesh,Khammam,3_28_541_0,3_28_541_0,222,NA
Andhra Pradesh,Krishna,3_28_547_0,3_28_547_0,206,NA
Andhra Pradesh,Kurnool,3_28_552_0,3_28_552_0,213,NA
Andhra Pradesh,Mahbubnagar,3_28_538_0,3_28_538_0,214,NA
Andhra Pradesh,Medak,3_28_535_0,3_28_535_0,217,NA
Andhra Pradesh,Nalgonda,3_28_539_0,3_28_539_0,223,NA
Andhra Pradesh,Nizamabad,3_28_533_0,3_28_533_0,218,NA
Andhra Pradesh,Prakasam,3_28_549_0,3_28_549_0,208,NA
Andhra Pradesh,Rangareddy,3_28_537_0,3_28_537_0,NA,NA
Andhra Pradesh,Sri Potti Sriramulu Nellore,3_28_550_0,3_28_550_0,209,NA
Andhra Pradesh,Srikakulam,3_28_542_0,3_28_542_0,201,NA
Andhra Pradesh,Visakhapatnam,3_28_544_0,3_28_544_0,NA,NA
Andhra Pradesh,Vizianagaram,3_28_543_0,3_28_543_0,202,NA
Andhra Pradesh,Warangal,3_28_540_0,3_28_540_0,221,NA
Andhra Pradesh,West Godavari,3_28_546_0,3_28_546_0,205,NA
Andhra Pradesh,Y.S.R.,3_28_551_0,3_28_551_0,211,NA
Arunachal Pradesh,Anjaw,3_12_260_0,3_12_259_0,NA,2004-02-16: Anjaw district split from Lohit.
Arunachal Pradesh,Changlang,3_12_253_0,3_12_253_0,NA,NA
Arunachal Pradesh,East Siang,3_12_251_0,3_12_251_0,307,NA
Arunachal Pradesh,Lohit,3_12_259_0,3_12_259_0,309,2004-02-16: Anjaw district split from Lohit.
Arunachal Pradesh,Lower Dibang Valley,3_12_258_0,3_12_257_1,308,2001-12-16: Dibang Valley district split into Lower Dibang Valley and Upper Dibang Valley.
Arunachal Pradesh,Papum Pare,3_12_248_0,3_12_248_0,NA,NA
Arunachal Pradesh,Tirap,3_12_254_0,3_12_254_0,310,NA
Arunachal Pradesh,West Siang,3_12_250_0,3_12_250_0,306,NA
Assam,Baksa,3_18_324_0,3_18_303_0,NA,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Barpeta,3_18_303_0,3_18_303_0,405,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Bongaigaon,3_18_319_0,3_18_303_0,403,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Cachar,3_18_316_0,3_18_316_0,423,NA
Assam,Chirang,3_18_320_0,3_18_303_0,NA,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Darrang,3_18_325_0,3_18_325_0,408,Udalguri district formed from parts of Darrang and Sonitpur.
Assam,Dhemaji,3_18_308_0,3_18_308_0,411,NA
Assam,Dhubri,3_18_301_0,3_18_301_0,401,NA
Assam,Dibrugarh,3_18_310_0,3_18_310_0,417,NA
Assam,Dima Hasao,3_18_315_0,3_18_315_0,420,NA
Assam,Goalpara,3_18_302_0,3_18_302_0,404,NA
Assam,Golaghat,3_18_313_0,3_18_313_0,414,NA
Assam,Hailakandi,3_18_318_0,3_18_318_0,422,NA
Assam,Jorhat,3_18_312_0,3_18_312_0,415,NA
Assam,Kamrup,3_18_321_0,3_18_303_0,407,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Kamrup Metropolitan,3_18_322_0,3_18_303_0,NA,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Karbi Anglong,3_18_314_0,3_18_314_0,NA,NA
Assam,Karimganj,3_18_317_0,3_18_317_0,421,NA
Assam,Kokrajhar,3_18_300_0,3_18_303_0,402,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Lakhimpur,3_18_307_0,3_18_307_0,410,NA
Assam,Morigaon,3_18_304_0,3_18_304_0,NA,NA
Assam,Nagaon,3_18_305_0,3_18_305_0,NA,NA
Assam,Nalbari,3_18_323_0,3_18_303_0,406,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
Assam,Sivasagar,3_18_311_0,3_18_311_0,416,NA
Assam,Sonitpur,3_18_306_0,3_18_325_0,409,Udalguri district formed from parts of Darrang and Sonitpur.
Assam,Tinsukia,3_18_309_0,3_18_309_0,418,NA
Assam,Udalguri,3_18_326_0,3_18_325_0,NA,Udalguri district formed from parts of Darrang and Sonitpur.
Bihar,Araria,3_10_209_0,3_10_209_0,541,NA
Bihar,Arwal,3_10_240_0,3_10_239_0,NA,Arwal district split from Jehanabad
Bihar,Aurangabad,3_10_235_0,3_10_235_0,505,NA
Bihar,Banka,3_10_225_0,3_10_225_0,547,NA
Bihar,Begusarai,3_10_222_0,3_10_222_0,517,NA
Bihar,Bhagalpur,3_10_224_0,3_10_224_0,527,NA
Bihar,Bhojpur,3_10_231_0,3_10_231_0,503,NA
Bihar,Buxar,3_10_232_0,3_10_232_0,543,NA
Bihar,Darbhanga,3_10_215_0,3_10_215_0,519,NA
Bihar,Gaya,3_10_236_0,3_10_236_0,507,NA
Bihar,Gopalganj,3_10_217_0,3_10_217_0,511,NA
Bihar,Jamui,3_10_238_0,3_10_238_0,546,NA
Bihar,Jehanabad,3_10_239_0,3_10_239_0,506,Arwal district split from Jehanabad
Bihar,Kaimur (Bhabua),3_10_233_0,3_10_233_0,544,NA
Bihar,Katihar,3_10_212_0,3_10_212_0,524,NA
Bihar,Khagaria,3_10_223_0,3_10_223_0,525,NA
Bihar,Kishanganj,3_10_210_0,3_10_210_0,542,NA
Bihar,Lakhisarai,3_10_227_0,3_10_227_0,NA,NA
Bihar,Madhepura,3_10_213_0,3_10_213_0,522,NA
Bihar,Madhubani,3_10_207_0,3_10_207_0,520,NA
Bihar,Munger,3_10_226_0,3_10_226_0,526,NA
Bihar,Muzaffarpur,3_10_216_0,3_10_216_0,515,NA
Bihar,Nalanda,3_10_229_0,3_10_229_0,502,NA
Bihar,Nawada,3_10_237_0,3_10_237_0,508,NA
Bihar,Pashchim Champaran,3_10_203_0,3_10_203_0,NA,NA
Bihar,Patna,3_10_230_0,3_10_230_0,501,NA
Bihar,Purba Champaran,3_10_204_0,3_10_204_0,NA,NA
Bihar,Purnia,3_10_211_0,3_10_211_0,NA,NA
Bihar,Rohtas,3_10_234_0,3_10_234_0,504,NA
Bihar,Saharsa,3_10_214_0,3_10_214_0,521,NA
Bihar,Samastipur,3_10_221_0,3_10_221_0,518,NA
Bihar,Saran,3_10_219_0,3_10_219_0,509,NA
