spatialState,spatialDistrict,spatialId,finalId,distt_id55,Note
Bihar,Sheikhpura,3_10_228_0,3_10_228_0,NA,NA
Bihar,Sheohar,3_10_205_0,3_10_205_0,NA,NA
Bihar,Sitamarhi,3_10_206_0,3_10_206_0,514,NA
Bihar,Siwan,3_10_218_0,3_10_218_0,510,NA
Bihar,Supaul,3_10_208_0,3_10_208_0,545,NA
Bihar,Vaishali,3_10_220_0,3_10_220_0,516,NA
Chandigarh,Chandigarh,3_4_55_0,3_4_55_0,2801,NA
Chhattisgarh,Bastar,3_22_414_0,3_22_414_0,NA,Narayanpur district split from Bastar.
Chhattisgarh,Bijapur,3_22_417_0,3_22_416_0,NA,Dantewada district split into Bijapur and Dakshin Bastar Dantewada
Chhattisgarh,Bilaspur,3_22_406_0,3_22_406_0,NA,NA
Chhattisgarh,Dakshin Bastar Dantewada,3_22_416_0,3_22_416_0,NA,Dantewada district split into Bijapur and Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari,3_22_412_0,3_22_412_0,NA,NA
Chhattisgarh,Durg,3_22_409_0,3_22_409_0,NA,NA
Chhattisgarh,Janjgir - Champa,3_22_405_0,3_22_405_0,NA,NA
Chhattisgarh,Jashpur,3_22_402_0,3_22_402_0,NA,NA
Chhattisgarh,Kabeerdham,3_22_407_0,3_22_407_0,NA,NA
Chhattisgarh,Korba,3_22_404_0,3_22_404_0,NA,NA
Chhattisgarh,Koriya,3_22_400_0,3_22_400_0,NA,NA
Chhattisgarh,Mahasamund,3_22_411_0,3_22_411_0,NA,NA
Chhattisgarh,Narayanpur,3_22_415_0,3_22_414_0,NA,Narayanpur district split from Bastar.
Chhattisgarh,Raigarh,3_22_403_0,3_22_403_0,NA,NA
Chhattisgarh,Raipur,3_22_410_0,3_22_410_0,NA,NA
