spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_18_315_0,Assam,Dima Hasao,Assam,North Cachar Hills,Assam,North Cachar Hills,3_18_315_0,NA
3_18_302_0,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,3_18_302_0,NA
3_18_313_0,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,3_18_313_0,NA
3_18_318_0,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,3_18_318_0,NA
3_18_312_0,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,3_18_312_0,NA
3_18_321_0,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup rural,3_18_303_0,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_322_0,Assam,Kamrup Metropolitan,NA,NA,Assam,Kamrup metro,3_18_303_0,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_314_0,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,3_18_314_0,NA
3_18_317_0,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,3_18_317_0,NA
3_18_300_0,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,3_18_303_0,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_307_0,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,3_18_307_0,NA
3_18_304_0,Assam,Morigaon,Assam,Marigaon,Assam,Marigaon,3_18_304_0,NA
3_18_305_0,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,3_18_305_0,NA
3_18_323_0,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,3_18_303_0,"Kamrup Metropolitan district split from Kamrup; Baksa district formed from parts of Barpeta, Nalbari, and Kamrup; Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_311_0,Assam,Sivasagar,Assam,Sibsagar,Assam,Sibsagar,3_18_311_0,NA
3_18_306_0,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,3_18_325_0,Udalguri district formed from parts of Darrang and Sonitpur.
3_18_309_0,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,3_18_309_0,NA
3_18_326_0,Assam,Udalguri,NA,NA,Assam,Udalguri,3_18_325_0,Udalguri district formed from parts of Darrang and Sonitpur.
3_10_209_0,Bihar,Araria,Bihar,Araria,Bihar,Araria,3_10_209_0,NA
3_10_240_0,Bihar,Arwal,NA,NA,Bihar,Arwal,3_10_239_0,Arwal district split from Jehanabad
3_10_235_0,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,3_10_235_0,NA
3_10_225_0,Bihar,Banka,Bihar,Banka,Bihar,Banka,3_10_225_0,NA
3_10_222_0,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,3_10_222_0,NA
3_10_224_0,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,3_10_224_0,NA
3_10_231_0,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,3_10_231_0,NA
3_10_232_0,Bihar,Buxar,Bihar,Buxar,Bihar,Buxar,3_10_232_0,NA
3_10_215_0,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,3_10_215_0,NA
3_10_236_0,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,3_10_236_0,NA
3_10_217_0,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,3_10_217_0,NA
3_10_238_0,Bihar,Jamui,Bihar,Jamui,Bihar,Jamui,3_10_238_0,NA
3_10_239_0,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,3_10_239_0,Arwal district split from Jehanabad
3_10_233_0,Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),3_10_233_0,NA
3_10_212_0,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,3_10_212_0,NA
3_10_223_0,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,3_10_223_0,NA
3_10_210_0,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,3_10_210_0,NA
3_10_227_0,Bihar,Lakhisarai,Bihar,Lakhisarai,Bihar,Lakhisarai,3_10_227_0,NA
3_10_213_0,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,3_10_213_0,NA
3_10_207_0,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani,3_10_207_0,NA
3_10_226_0,Bihar,Munger,Bihar,Munger,Bihar,Munger,3_10_226_0,NA
3_10_216_0,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,3_10_216_0,NA
3_10_229_0,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda,3_10_229_0,NA
3_10_237_0,Bihar,Nawada,Bihar,Nawada,Bihar,Nawada,3_10_237_0,NA
3_10_203_0,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran,Bihar,Champaran(W),3_10_203_0,NA
3_10_230_0,Bihar,Patna,Bihar,Patna,Bihar,Patna,3_10_230_0,NA
3_10_204_0,Bihar,Purba Champaran,Bihar,Purba Champaran,Bihar,Champaran(E),3_10_204_0,NA
3_10_211_0,Bihar,Purnia,Bihar,Purnia,Bihar,Purnia,3_10_211_0,NA
3_10_234_0,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas,3_10_234_0,NA
3_10_214_0,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,3_10_214_0,NA
3_10_221_0,Bihar,Samastipur,Bihar,Samastipur,Bihar,Samastipur,3_10_221_0,NA
3_10_219_0,Bihar,Saran,Bihar,Saran,Bihar,Saran,3_10_219_0,NA
