spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_10_225_0,Bihar,Banka,Bihar,Banka,3_10_225_0,Bhagalpur split ,NA
3_10_222_0,Bihar,Begusarai,Bihar,Begusarai,3_10_222_0,,NA
3_10_224_0,Bihar,Bhagalpur,Bihar,Bhagalpur,3_10_224_0,,NA
3_10_231_0,Bihar,Bhojpur,Bihar,Bhojpur,3_10_231_0,,Buxar district split from Bhojpur
3_10_232_0,Bihar,Buxar,Bihar,Buxar,3_10_231_0,Bhojpur split 1992,Buxar district split from Bhojpur
3_10_204_0,Bihar,Purba Champaran,Bihar,Champaran(E),NA,,NA
3_10_203_0,Bihar,Pashchim Champaran,Bihar,Champaran(W),NA,,NA
3_10_215_0,Bihar,Darbhanga,Bihar,Darbhanga,3_10_215_0,,NA
3_10_236_0,Bihar,Gaya,Bihar,Gaya,3_10_236_0,,NA
3_10_217_0,Bihar,Gopalganj,Bihar,Gopalganj,3_10_217_0,,NA
3_10_238_0,Bihar,Jamui,Bihar,Jamui,3_10_226_0,Munger split 1991,"Jamui, Lakhisarai, and Sheikhpura districts split from Munger"
3_10_239_0,Bihar,Jehanabad,Bihar,Jehanabad,3_10_239_0,Gaya split 1988,Arwal district split from Jehanabad
3_10_233_0,Bihar,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),3_10_233_0,Rohtas split 1991,NA
3_10_212_0,Bihar,Katihar,Bihar,Katihar,3_10_212_0,,NA
3_10_223_0,Bihar,Khagaria,Bihar,Khagaria,3_10_223_0,,NA
3_10_210_0,Bihar,Kishanganj,Bihar,Kishanganj,3_10_210_0,Purnia split 1990,NA
3_10_227_0,Bihar,Lakhisarai,Bihar,Lakhisarai,3_10_226_0,Munger split 1994,"Jamui, Lakhisarai, and Sheikhpura districts split from Munger"
3_10_213_0,Bihar,Madhepura,Bihar,Madhepura,3_10_213_0,,NA
3_10_207_0,Bihar,Madhubani,Bihar,Madhubani,3_10_207_0,,NA
