spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_23_455_0,Madhya Pradesh,Chhindwara,Madhya Pradesh,Chhindwara,3_23_455_0,,NA
3_23_428_0,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,3_23_428_0,,NA
3_23_422_0,Madhya Pradesh,Datia,Madhya Pradesh,Datia,3_23_422_0,,NA
3_23_437_0,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,3_23_437_0,,NA
3_23_438_0,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,3_23_438_0,,NA
3_23_453_0,Madhya Pradesh,Dindori,Madhya Pradesh,Dindori,3_23_453_0,Mandla split 1998,NA
3_23_466_0,Madhya Pradesh,Khandwa (East Nimar),Madhya Pradesh,E. Nimar,NA,,NA
3_23_458_0,Madhya Pradesh,Guna,Madhya Pradesh,Guna,3_23_458_0,,NA
3_23_421_0,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,3_23_421_0,,NA
3_23_448_0,Madhya Pradesh,Harda,Madhya Pradesh,Harda,3_23_448_0,Hoshangabad split 1998,NA
3_23_449_0,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,3_23_449_0,,NA
3_23_439_0,Madhya Pradesh,Indore,Madhya Pradesh,Indore,3_23_439_0,,NA
3_23_451_0,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,3_23_451_0,,NA
3_23_464_0,Madhya Pradesh,Jhabua,Madhya Pradesh,Jhabua,3_23_464_0,,NA
3_23_450_0,Madhya Pradesh,Katni,Madhya Pradesh,Katni,3_23_450_0,Jabalpur split,NA
3_23_454_0,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,3_23_454_0,,NA
3_23_433_0,Madhya Pradesh,Mandsaur,Madhya Pradesh,Mandsaur,3_23_433_0,,NA
3_23_419_0,Madhya Pradesh,Morena,Madhya Pradesh,Morena,3_23_419_0,,NA
3_23_452_0,Madhya Pradesh,Narsimhapur,Madhya Pradesh,Narsimhapur,3_23_452_0,,NA
3_23_432_0,Madhya Pradesh,Neemuch,Madhya Pradesh,Neemuch,3_23_432_0,Mandsaur split 1998,NA
3_23_426_0,Madhya Pradesh,Panna,Madhya Pradesh,Panna,3_23_426_0,,NA
3_23_446_0,Madhya Pradesh,Raisen,Madhya Pradesh,Raisen,3_23_446_0,,NA
3_23_442_0,Madhya Pradesh,Rajgarh,Madhya Pradesh,Rajgarh,3_23_442_0,,NA
3_23_434_0,Madhya Pradesh,Ratlam,Madhya Pradesh,Ratlam,3_23_434_0,,NA
3_23_430_0,Madhya Pradesh,Rewa,Madhya Pradesh,Rewa,3_23_430_0,,NA
3_23_427_0,Madhya Pradesh,Sagar,Madhya Pradesh,Sagar,3_23_427_0,,NA
3_23_429_0,Madhya Pradesh,Satna,Madhya Pradesh,Satna,3_23_429_0,,NA
3_23_445_0,Madhya Pradesh,Sehore,Madhya Pradesh,Sehore,3_23_445_0,,NA
3_23_456_0,Madhya Pradesh,Seoni,Madhya Pradesh,Seoni,3_23_456_0,,NA
3_23_460_0,Madhya Pradesh,Shahdol,Madhya Pradesh,Shahdol,3_23_460_0,,Anuppur district split from Shahdol
3_23_436_0,Madhya Pradesh,Shajapur,Madhya Pradesh,Shajapur,3_23_436_0,,NA
3_23_418_0,Madhya Pradesh,Sheopur,Madhya Pradesh,Sheopur,3_23_418_0,Morena split 1998,NA
3_23_423_0,Madhya Pradesh,Shivpuri,Madhya Pradesh,Shivpuri,3_23_423_0,,NA
3_23_462_0,Madhya Pradesh,Sidhi,Madhya Pradesh,Sidhi,3_23_462_0,,NA
3_23_424_0,Madhya Pradesh,Tikamgarh,Madhya Pradesh,Tikamgarh,3_23_424_0,,NA
3_23_435_0,Madhya Pradesh,Ujjain,Madhya Pradesh,Ujjain,3_23_435_0,,NA
3_23_431_0,Madhya Pradesh,Umaria,Madhya Pradesh,Umaria,3_23_431_0,Shahdol split 1998,NA
3_23_443_0,Madhya Pradesh,Vidisha,Madhya Pradesh,Vidisha,3_23_443_0,,NA
3_23_440_0,Madhya Pradesh,Khargone (West Nimar),Madhya Pradesh,W. Nimar,NA,,NA
3_27_522_0,Maharashtra,Ahmadnagar,Maharashtra,Ahmadnagar,3_27_522_0,,NA
3_27_501_0,Maharashtra,Akola,Maharashtra,Akola,3_27_501_0,,NA
3_27_503_0,Maharashtra,Amravati,Maharashtra,Amravati,3_27_503_0,,NA
3_27_515_0,Maharashtra,Aurangabad,Maharashtra,Aurangabad,3_27_515_0,,NA
3_27_506_0,Maharashtra,Bhandara,Maharashtra,Bhandara,3_27_506_0,,NA
3_27_523_0,Maharashtra,Bid,Maharashtra,Bid,3_27_523_0,,NA
3_27_500_0,Maharashtra,Buldana,Maharashtra,Buldana,3_27_500_0,,NA
3_27_509_0,Maharashtra,Chandrapur,Maharashtra,Chandrapur,3_27_509_0,,NA
3_27_498_0,Maharashtra,Dhule,Maharashtra,Dhule,3_27_498_0,,NA
3_27_508_0,Maharashtra,Gadchiroli,Maharashtra,Gadchiroli,3_27_508_0,Chandrapur split 1982,NA
3_27_507_0,Maharashtra,Gondiya,Maharashtra,Gondiya,3_27_507_0,Bhandara split 1999,NA
3_27_512_0,Maharashtra,Hingoli,Maharashtra,Hingoli,3_27_513_0,Parbhani split 1999,Hingoli district split from Parbhani
3_27_499_0,Maharashtra,Jalgaon,Maharashtra,Jalgaon,3_27_499_0,,NA
3_27_514_0,Maharashtra,Jalna,Maharashtra,Jalna,3_27_514_0,,NA
3_27_530_0,Maharashtra,Kolhapur,Maharashtra,Kolhapur,3_27_530_0,,NA
3_27_524_0,Maharashtra,Latur,Maharashtra,Latur,3_27_524_0,,NA
3_27_519_0,Maharashtra,Mumbai,Maharashtra,Mumbai,3_27_519_0,,NA
3_27_518_0,Maharashtra,Mumbai Suburban,Maharashtra,Mumbai Suburban,3_27_518_0,,NA
3_27_505_0,Maharashtra,Nagpur,Maharashtra,Nagpur,3_27_505_0,,NA
3_27_511_0,Maharashtra,Nanded,Maharashtra,Nanded,3_27_511_0,,NA
3_27_497_0,Maharashtra,Nandurbar,Maharashtra,Nandurbar,3_27_497_0,Dhule split 1998,NA
3_27_516_0,Maharashtra,Nashik,Maharashtra,Nashik,3_27_516_0,,NA
3_27_525_0,Maharashtra,Osmanabad,Maharashtra,Osmanabad,3_27_525_0,,NA
3_27_513_0,Maharashtra,Parbhani,Maharashtra,Parbhani,3_27_513_0,,Hingoli district split from Parbhani
3_27_521_0,Maharashtra,Pune,Maharashtra,Pune,3_27_521_0,,NA
3_27_520_0,Maharashtra,Raigarh,Maharashtra,Raigarh,3_27_520_0,,NA
3_27_528_0,Maharashtra,Ratnagiri,Maharashtra,Ratnagiri,3_27_528_0,,NA
3_27_531_0,Maharashtra,Sangli,Maharashtra,Sangli,3_27_531_0,,NA
3_27_527_0,Maharashtra,Satara,Maharashtra,Satara,3_27_527_0,,NA
3_27_529_0,Maharashtra,Sindhudurg,Maharashtra,Sindhudurg,3_27_529_0,,NA
3_27_526_0,Maharashtra,Solapur,Maharashtra,Solapur,3_27_526_0,,NA
3_27_517_0,Maharashtra,Thane,Maharashtra,Thane,3_27_517_0,,NA
3_27_504_0,Maharashtra,Wardha,Maharashtra,Wardha,3_27_504_0,,NA
3_27_502_0,Maharashtra,Washim,Maharashtra,Washim,3_27_502_0,Akola + Yavatmal  1998,NA
3_27_510_0,Maharashtra,Yavatmal,Maharashtra,Yavatmal,3_27_510_0,,NA
3_14_275_0,Manipur,Bishnupur,Manipur,Bishnupur,3_14_275_0,,NA
3_14_280_0,Manipur,Chandel,Manipur,Chandel,3_14_280_0,,NA
3_14_274_0,Manipur,Churachandpur,Manipur,Churachandpur,3_14_274_0,,NA
3_14_278_0,Manipur,Imphal East,Manipur,Imphal East,3_14_278_0,,NA
3_14_277_0,Manipur,Imphal West,Manipur,Imphal West,3_14_277_0,,NA
3_14_272_0,Manipur,Senapati,Manipur,Senapati,3_14_272_0,,NA
3_14_273_0,Manipur,Tamenglong,Manipur,Tamenglong,3_14_273_0,,NA
3_14_276_0,Manipur,Thoubal,Manipur,Thoubal,3_14_276_0,Imphal split 1983,NA
3_14_279_0,Manipur,Ukhrul,Manipur,Ukhrul,3_14_279_0,,NA
3_17_294_0,Meghalaya,East Garo Hills,Meghalaya,East Garo Hills,3_17_294_0,,NA
3_17_298_0,Meghalaya,East Khasi Hills,Meghalaya,East Khasi Hills,3_17_298_0,,NA
3_17_299_0,Meghalaya,Jaintia Hills,Meghalaya,Jaintia Hills,3_17_299_0,,NA
3_17_297_0,Meghalaya,Ribhoi,Meghalaya,Ri Bhoi,3_17_297_0,East Khasi Hills split 1992,NA
3_17_295_0,Meghalaya,South Garo Hills,Meghalaya,South Garo Hills,3_17_295_0,West Garo Hills district split 1992,NA
3_17_293_0,Meghalaya,West Garo Hills,Meghalaya,West Garo Hills,3_17_293_0,,NA
3_17_296_0,Meghalaya,West Khasi Hills,Meghalaya,West Khasi Hills,3_17_296_0,,NA
3_13_265_0,Nagaland,Dimapur,Nagaland,Dimapur,3_13_265_0,Kohima split 1997,NA
3_13_269_0,Nagaland,Kiphire,Nagaland,Kiphire,3_13_269_0,Tuensang split,NA
3_13_270_0,Nagaland,Kohima,Nagaland,Kohima,3_13_270_0,,NA
3_13_268_0,Nagaland,Longleng,Nagaland,Longleng,3_13_268_0,Tuensang split,NA
3_13_262_0,Nagaland,Mokokchung,Nagaland,Mokokchung,3_13_262_0,,NA
3_13_261_0,Nagaland,Mon,Nagaland,Mon,3_13_261_0,,NA
3_13_271_0,Nagaland,Peren,Nagaland,Peren,3_13_271_0,Kohima split,NA
3_13_266_0,Nagaland,Phek,Nagaland,Phek,3_13_266_0,,NA
3_13_267_0,Nagaland,Tuensang,Nagaland,Tuensang,3_13_267_0,,NA
3_13_264_0,Nagaland,Wokha,Nagaland,Wokha,3_13_264_0,,NA
3_13_263_0,Nagaland,Zunheboto,Nagaland,Zunheboto,3_13_263_0,,NA
3_21_384_0,Odisha,Anugul,Orissa,Anugul,3_21_384_0,Dhenkanal split 1993,NA
3_21_393_0,Odisha,Balangir,Orissa,Balangir,3_21_393_0,,NA
3_21_377_0,Odisha,Baleshwar,Orissa,Baleshwar,3_21_377_0,,NA
3_21_370_0,Odisha,Bargarh,Orissa,Bargarh,3_21_370_0,Sambalpur split 1993,NA
3_21_391_0,Odisha,Baudh,Orissa,Baudh,NA,,NA
3_21_378_0,Odisha,Bhadrak,Orissa,Bhadrak,3_21_378_0,Baleshwar split 1993,NA
3_21_381_0,Odisha,Cuttack,Orissa,Cuttack,3_21_381_0,,NA
3_21_373_0,Odisha,Debagarh,Orissa,Debagarh,NA,Sambalpur split 1994,NA
3_21_383_0,Odisha,Dhenkanal,Orissa,Dhenkanal,3_21_383_0,,NA
3_21_389_0,Odisha,Gajapati,Orissa,Gajapati,NA,Ganjam  split 1992,NA
3_21_388_0,Odisha,Ganjam,Orissa,Ganjam,3_21_388_0,,NA
3_21_380_0,Odisha,Jagatsinghapur,Orissa,Jagatsinghapur,3_21_380_0,Cuttack split ,NA
3_21_382_0,Odisha,Jajapur,Orissa,Jajapur,3_21_382_0,Cuttack split 1993,NA
3_21_371_0,Odisha,Jharsuguda,Orissa,Jharsuguda,3_21_371_0,Sambalpur split 1994,NA
3_21_395_0,Odisha,Kalahandi,Orissa,Kalahandi,3_21_395_0,,NA
3_21_390_0,Odisha,Kandhamal,Orissa,Kandhamal,NA,Boudh-Kandhmal(Ganjam split) split 1994,NA
3_21_379_0,Odisha,Kendrapara,Orissa,Kendrapara,NA,Cuttack split 1993,NA
3_21_375_0,Odisha,Kendujhar,Orissa,Kendujhar,3_21_375_0,,NA
3_21_386_0,Odisha,Khordha,Orissa,Khordha,3_21_386_0,Puri split 1993,NA
3_21_398_0,Odisha,Koraput,Orissa,Koraput,3_21_398_0,,NA
3_21_399_0,Odisha,Malkangiri,Orissa,Malkangiri,NA,Koraput split 1992,NA
3_21_376_0,Odisha,Mayurbhanj,Orissa,Mayurbhanj,3_21_376_0,,NA
3_21_397_0,Odisha,Nabarangapur,Orissa,Nabarangapur,3_21_397_0,Koraput split 1992,NA
3_21_385_0,Odisha,Nayagarh,Orissa,Nayagarh,NA,Puri split 1995,NA
3_21_394_0,Odisha,Nuapada,Orissa,Nuapada,NA,Kalahandi split 1993,NA
3_21_387_0,Odisha,Puri,Orissa,Puri,3_21_387_0,,NA
3_21_396_0,Odisha,Rayagada,Orissa,Rayagada,3_21_396_0,Koraput split 1992,NA
3_21_372_0,Odisha,Sambalpur,Orissa,Sambalpur,3_21_372_0,,NA
3_21_392_0,Odisha,Subarnapur,Orissa,Sonapur,NA,Balangir split 1993,NA
3_21_374_0,Odisha,Sundargarh,Orissa,Sundargarh,3_21_374_0,,NA
3_34_637_0,Puducherry,Karaikal,Puducherry,Karaikal,3_34_637_0,,NA
3_34_636_0,Puducherry,Mahe,Puducherry,Mahe,3_34_636_0,,NA
3_34_635_0,Puducherry,Puducherry,Puducherry,Pondicherry,NA,,NA
3_34_634_0,Puducherry,Yanam,Puducherry,Yanam,3_34_634_0,,NA
3_3_46_0,Punjab,Bathinda,Punjab,(Mohali) Bathinda,NA,,NA
3_3_49_0,Punjab,Amritsar,Punjab,Amritsar,3_3_49_0,,NA
3_3_54_0,Punjab,Barnala,Punjab,Barnala,3_3_54_0,Sangrur split,NA
3_3_45_0,Punjab,Faridkot,Punjab,Faridkot,3_3_45_0,,NA
3_3_40_0,Punjab,Fatehgarh Sahib,Punjab,Fatehgarh Sahib,3_3_40_0,Patiala + Ludhiana + Rupnagar 1992,NA
3_3_43_0,Punjab,Firozpur,Punjab,Firozpur,3_3_43_0,,NA
3_3_35_0,Punjab,Gurdaspur,Punjab,Gurdaspur,3_3_35_0,,NA
3_3_38_0,Punjab,Hoshiarpur,Punjab,Hoshiarpur,3_3_38_0,,NA
3_3_37_0,Punjab,Jalandhar,Punjab,Jalandhar,3_3_37_0,,NA
3_3_36_0,Punjab,Kapurthala,Punjab,Kapurthala,3_3_36_0,,NA
3_3_41_0,Punjab,Ludhiana,Punjab,Ludhiana,3_3_41_0,,NA
3_3_47_0,Punjab,Mansa,Punjab,Mansa,3_3_47_0,Bathinda split 1992,NA
3_3_42_0,Punjab,Moga,Punjab,Moga,3_3_42_0,Faridkot split 1995,NA
3_3_44_0,Punjab,Muktsar,Punjab,Muktsar,3_3_44_0,Faridkot split 1995,NA
3_3_39_0,Punjab,Shahid Bhagat Singh Nagar,Punjab,Nawanshahr,3_3_39_0,Hoshiarpur + Jalandhar 1995,NA
3_3_48_0,Punjab,Patiala,Punjab,Patiala,3_3_48_0,,NA
3_3_51_0,Punjab,Rupnagar,Punjab,Rupnagar,3_3_51_0,,NA
3_3_52_0,Punjab,Sahibzada Ajit Singh Nagar,Punjab,S.A.S. nagar,NA,Rupnagar + Patiala 2006,NA
3_3_53_0,Punjab,Sangrur,Punjab,Sangrur,3_3_53_0,,NA
3_8_119_0,Rajasthan,Ajmer,Rajasthan,Ajmer,3_8_119_0,,NA
3_8_104_0,Rajasthan,Alwar,Rajasthan,Alwar,3_8_104_0,,NA
3_8_125_0,Rajasthan,Banswara,Rajasthan,Banswara,3_8_125_0,,NA
3_8_128_0,Rajasthan,Baran,Rajasthan,Baran,3_8_128_0,Kota split 1991,NA
3_8_115_0,Rajasthan,Barmer,Rajasthan,Barmer,3_8_115_0,,NA
3_8_105_0,Rajasthan,Bharatpur,Rajasthan,Bharatpur,3_8_105_0,,NA
3_8_122_0,Rajasthan,Bhilwara,Rajasthan,Bhilwara,3_8_122_0,,NA
3_8_101_0,Rajasthan,Bikaner,Rajasthan,Bikaner,3_8_101_0,,NA
3_8_121_0,Rajasthan,Bundi,Rajasthan,Bundi,3_8_121_0,,NA
3_8_126_0,Rajasthan,Chittaurgarh,Rajasthan,Chittaurgarh,3_8_126_0,,NA
3_8_102_0,Rajasthan,Churu,Rajasthan,Churu,3_8_102_0,,NA
3_8_109_0,Rajasthan,Dausa,Rajasthan,Dausa,3_8_109_0,Jaipur split 1991,NA
3_8_106_0,Rajasthan,Dhaulpur,Rajasthan,Dhaulpur,3_8_106_0,,NA
3_8_124_0,Rajasthan,Dungarpur,Rajasthan,Dungarpur,3_8_124_0,,NA
3_8_99_0,Rajasthan,Ganganagar,Rajasthan,Ganganagar,3_8_99_0,,NA
3_8_100_0,Rajasthan,Hanumangarh,Rajasthan,Hanumangarh,3_8_100_0,Sri Ganganagar split 1994,NA
3_8_110_0,Rajasthan,Jaipur,Rajasthan,Jaipur,3_8_110_0,,NA
3_8_114_0,Rajasthan,Jaisalmer,Rajasthan,Jaisalmer,3_8_114_0,,NA
3_8_116_0,Rajasthan,Jalor,Rajasthan,Jalor,3_8_116_0,,NA
3_8_129_0,Rajasthan,Jhalawar,Rajasthan,Jhalawar,3_8_129_0,,NA
3_8_103_0,Rajasthan,Jhunjhunun,Rajasthan,Jhunjhunun,3_8_103_0,,NA
3_8_113_0,Rajasthan,Jodhpur,Rajasthan,Jodhpur,3_8_113_0,,NA
3_8_107_0,Rajasthan,Karauli,Rajasthan,Karauli,3_8_107_0,Sawai Madhopur split,NA
3_8_127_0,Rajasthan,Kota,Rajasthan,Kota,3_8_127_0,,NA
3_8_112_0,Rajasthan,Nagaur,Rajasthan,Nagaur,3_8_112_0,,NA
3_8_118_0,Rajasthan,Pali,Rajasthan,Pali,3_8_118_0,,NA
3_8_123_0,Rajasthan,Rajsamand,Rajasthan,Rajsamand,3_8_123_0,Udaipur split 1991,NA
3_8_108_0,Rajasthan,Sawai Madhopur,Rajasthan,Sawai Madhopur,3_8_108_0,,NA
3_8_111_0,Rajasthan,Sikar,Rajasthan,Sikar,3_8_111_0,,NA
3_8_117_0,Rajasthan,Sirohi,Rajasthan,Sirohi,3_8_117_0,,NA
3_8_120_0,Rajasthan,Tonk,Rajasthan,Tonk,3_8_120_0,,NA
3_8_130_0,Rajasthan,Udaipur,Rajasthan,Udaipur,3_8_130_0,,NA
3_11_244_0,Sikkim,East District,Sikkim,East (Gangtok),NA,,NA
3_11_241_0,Sikkim,North  District,Sikkim,North (Mongam),NA,,NA
3_11_243_0,Sikkim,South District,Sikkim,South   (Nimachai),NA,,NA
3_11_242_0,Sikkim,West District,Sikkim,West  (Gyalshing),NA,,NA
3_33_616_0,Tamil Nadu,Ariyalur,Tamil Nadu,Ariyalur,3_33_616_0,Perambalur split 2001,NA
3_33_603_0,Tamil Nadu,Chennai,Tamil Nadu,Chennai,3_33_603_0,,NA
3_33_632_0,Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,3_33_632_0,,NA
3_33_617_0,Tamil Nadu,Cuddalore,Tamil Nadu,Cuddalore,3_33_617_0,,NA
3_33_630_0,Tamil Nadu,Dharmapuri,Tamil Nadu,Dharmapuri,3_33_630_0,,Krishnagiri district split from Dharmapuri
3_33_612_0,Tamil Nadu,Dindigul,Tamil Nadu,Dindigul,3_33_612_0,,NA
3_33_610_0,Tamil Nadu,Erode,Tamil Nadu,Erode,3_33_610_0,,NA
3_33_604_0,Tamil Nadu,Kancheepuram,Tamil Nadu,Kancheepuram,3_33_604_0,Chingleput(Madrus split) split 1997,NA
3_33_629_0,Tamil Nadu,Kanniyakumari,Tamil Nadu,Kanniyakumari,3_33_629_0,,NA
3_33_613_0,Tamil Nadu,Karur,Tamil Nadu,Karur,3_33_613_0,Tiruchirappalli split,NA
3_33_631_0,Tamil Nadu,Krishnagiri,Tamil Nadu,Krishnagiri,3_33_630_0,Dharmapuri split 2004,Krishnagiri district split from Dharmapuri
3_33_623_0,Tamil Nadu,Madurai,Tamil Nadu,Madurai,3_33_623_0,,NA
3_33_618_0,Tamil Nadu,Nagapattinam,Tamil Nadu,Nagapattinam,3_33_618_0,Thanjavur split,NA
3_33_609_0,Tamil Nadu,Namakkal,Tamil Nadu,Namakkal,3_33_609_0,Salem split 1996,NA
3_33_615_0,Tamil Nadu,Perambalur,Tamil Nadu,Perambalur,3_33_615_0,Tiruchirappalli split 1995,NA
3_33_621_0,Tamil Nadu,Pudukkottai,Tamil Nadu,Pudukkottai,3_33_621_0,,NA
3_33_626_0,Tamil Nadu,Ramanathapuram,Tamil Nadu,Ramanathapuram,3_33_626_0,,NA
3_33_608_0,Tamil Nadu,Salem,Tamil Nadu,Salem,3_33_608_0,,NA
3_33_622_0,Tamil Nadu,Sivaganga,Tamil Nadu,Sivaganga,3_33_622_0,Ramanathapuram split,NA
3_33_620_0,Tamil Nadu,Thanjavur,Tamil Nadu,Thanjavur,3_33_620_0,,NA
3_33_611_0,Tamil Nadu,The Nilgiris,Tamil Nadu,The Nilgiris,3_33_611_0,,NA
3_33_624_0,Tamil Nadu,Theni,Tamil Nadu,Theni,3_33_624_0,Madurai split 1996,NA
3_33_602_0,Tamil Nadu,Thiruvallur,Tamil Nadu,Thiruvallur,3_33_602_0,Kancheepuram split,NA
3_33_619_0,Tamil Nadu,Thiruvarur,Tamil Nadu,Thiruvarur,3_33_619_0,Thanjavur split 1991,NA
3_33_614_0,Tamil Nadu,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,3_33_614_0,,NA
3_33_628_0,Tamil Nadu,Tirunelveli,Tamil Nadu,Tirunelveli,3_33_628_0,,NA
3_33_606_0,Tamil Nadu,Tiruvannamalai,Tamil Nadu,Tiruvanamalai,NA,,NA
3_33_627_0,Tamil Nadu,Thoothukkudi,Tamil Nadu,Toothukudi,NA,Tirunelveli split 1986,NA
3_33_605_0,Tamil Nadu,Vellore,Tamil Nadu,Vellore,3_33_605_0,,NA
3_33_607_0,Tamil Nadu,Viluppuram,Tamil Nadu,Viluppuram,3_33_607_0,,NA
3_33_625_0,Tamil Nadu,Virudhunagar,Tamil Nadu,Virudhunagar,3_33_625_0,,NA
3_16_291_0,Tripura,Dhalai,Tripura,Dhalai,3_16_291_0,North Tripura split 1995,NA
3_16_292_0,Tripura,North Tripura,Tripura,North Tripura,3_16_292_0,,NA
3_16_290_0,Tripura,South Tripura,Tripura,South Tripura,3_16_290_0,,NA
3_16_289_0,Tripura,West Tripura,Tripura,West Tripura,3_16_289_0,,NA
3_9_146_0,Uttar Pradesh,Agra,Uttar Pradesh,Agra,3_9_146_0,,NA
3_9_143_0,Uttar Pradesh,Aligarh,Uttar Pradesh,Aligarh,3_9_143_0,,NA
3_9_175_0,Uttar Pradesh,Allahabad,Uttar Pradesh,Allahabad,3_9_175_0,,NA
3_9_178_0,NA,NA,Uttar Pradesh,Ambedkar Nagar,3_9_178_0,Faizabad split 1995,NA
3_9_162_0,NA,NA,Uttar Pradesh,Auraiya,3_9_162_0,Etawah split 1997,NA
3_9_191_0,Uttar Pradesh,Azamgarh,Uttar Pradesh,Azamgarh,3_9_191_0,,NA
3_9_139_0,Uttar Pradesh,Baghpat,Uttar Pradesh,Baghpat,3_9_139_0,Meerut split 1997,NA
3_9_180_0,Uttar Pradesh,Bahraich,Uttar Pradesh,Bahraich,3_9_180_0,,NA
3_9_193_0,Uttar Pradesh,Ballia,Uttar Pradesh,Ballia,3_9_193_0,,NA
3_9_182_0,Uttar Pradesh,Balrampur,Uttar Pradesh,Balrampur,3_9_182_0,Gonda split 1997,NA
3_9_170_0,NA,NA,Uttar Pradesh,Banda,3_9_170_0,,NA
3_9_176_0,Uttar Pradesh,Bara Banki,Uttar Pradesh,Barabanki,3_9_176_0,,NA
3_9_150_0,Uttar Pradesh,Bareilly,Uttar Pradesh,Bareilly,3_9_150_0,,NA
3_9_185_0,Uttar Pradesh,Basti,Uttar Pradesh,Basti,3_9_185_0,,NA
3_9_134_0,Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor,3_9_134_0,,NA
3_9_149_0,Uttar Pradesh,Budaun,Uttar Pradesh,Budaun,3_9_149_0,,NA
3_9_142_0,NA,NA,Uttar Pradesh,Bulandshahr,3_9_142_0,,NA
3_9_196_0,Uttar Pradesh,Chandauli,Uttar Pradesh,Chandauli,3_9_196_0,Varanasi split 1997,NA
3_9_171_0,NA,NA,Uttar Pradesh,Chitrakoot,3_9_171_0,Banda split 1997,NA
3_9_190_0,Uttar Pradesh,Deoria,Uttar Pradesh,Deoria,3_9_190_0,,NA
3_9_201_0,Uttar Pradesh,Etah,Uttar Pradesh,Etah,3_9_201_0,,NA
3_9_161_0,Uttar Pradesh,Etawah,Uttar Pradesh,Etawah,3_9_161_0,,NA
3_9_177_0,Uttar Pradesh,Faizabad,Uttar Pradesh,Faizabad,3_9_177_0,,NA
3_9_159_0,Uttar Pradesh,Farrukhabad,Uttar Pradesh,Farrukhabad,3_9_159_0,,NA
3_9_172_0,Uttar Pradesh,Fatehpur,Uttar Pradesh,Fatehpur,3_9_172_0,,NA
3_9_147_0,Uttar Pradesh,Firozabad,Uttar Pradesh,Firozabad,3_9_147_0,Agra split 1988,NA
3_9_141_0,Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh,G. Buddha Nagar,NA,Ghaziabad + Bulandshahar,NA
3_9_140_0,Uttar Pradesh,Ghaziabad,Uttar Pradesh,Ghaziabad,3_9_140_0,,NA
3_9_195_0,Uttar Pradesh,Ghazipur,Uttar Pradesh,Ghazipur,3_9_195_0,,NA
3_9_183_0,Uttar Pradesh,Gonda,Uttar Pradesh,Gonda,3_9_183_0,,NA
3_9_188_0,Uttar Pradesh,Gorakhpur,Uttar Pradesh,Gorakhpur,3_9_188_0,,NA
3_9_168_0,Uttar Pradesh,Hamirpur,Uttar Pradesh,Hamirpur,3_9_168_0,,NA
3_9_155_0,Uttar Pradesh,Hardoi,Uttar Pradesh,Hardoi,3_9_155_0,,NA
NA,NA,NA,Uttar Pradesh,Hathras,NA,Aligarh + Mathura +  Agra 1997,NA
3_9_137_0,Uttar Pradesh,Jyotiba Phule Nagar,Uttar Pradesh,J. Phule Nagar,NA,Moradabad split 1997,NA
3_9_165_0,Uttar Pradesh,Jalaun,Uttar Pradesh,Jalaun,3_9_165_0,,NA
3_9_194_0,Uttar Pradesh,Jaunpur,Uttar Pradesh,Jaunpur,3_9_194_0,,NA
3_9_166_0,Uttar Pradesh,Jhansi,Uttar Pradesh,Jhansi,3_9_166_0,,NA
3_9_160_0,Uttar Pradesh,Kannauj,Uttar Pradesh,Kannauj,3_9_160_0,Farrukhabad split 1997,NA
3_9_163_0,Uttar Pradesh,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,3_9_163_0,,NA
3_9_164_0,Uttar Pradesh,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,3_9_164_0,,NA
3_9_202_0,Uttar Pradesh,Kanshiram Nagar,Uttar Pradesh,Kanshiram Nagar,3_9_202_0,Etah split 2008,NA
3_9_174_0,Uttar Pradesh,Kaushambi,Uttar Pradesh,Kaushambi,3_9_174_0,Allahabad split 1997,NA
3_9_153_0,Uttar Pradesh,Kheri,Uttar Pradesh,Kheri,3_9_153_0,,NA
3_9_189_0,Uttar Pradesh,Kushinagar,Uttar Pradesh,Kushinagar,3_9_189_0,Deoria split 1994,NA
3_9_167_0,Uttar Pradesh,Lalitpur,Uttar Pradesh,Lalitpur,3_9_167_0,,NA
3_9_157_0,Uttar Pradesh,Lucknow,Uttar Pradesh,Lucknow,3_9_157_0,,NA
3_9_187_0,Uttar Pradesh,Mahrajganj,Uttar Pradesh,Maharajganj,3_9_187_0,Gorakhpur split 1989,NA
3_9_169_0,Uttar Pradesh,Mahoba,Uttar Pradesh,Mahoba,3_9_169_0,Hamirpur split 1995,NA
3_9_148_0,Uttar Pradesh,Mainpuri,Uttar Pradesh,Mainpuri,3_9_148_0,,NA
3_9_145_0,Uttar Pradesh,Mathura,Uttar Pradesh,Mathura,3_9_145_0,,NA
