id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,m_tmp_1,m_tmp_2,m_tmp_3,m_tmp_4,m_tmp_5,m_tmp_6,m_tmp_7,m_tmp_8,m_tmp_9,m_tmp_10,m_tmp_11,m_tmp_12,m_dec_tmp_1,m_dec_tmp_2,m_dec_tmp_3,m_dec_tmp_4,m_dec_tmp_5,m_dec_tmp_6,m_dec_tmp_7,m_dec_tmp_8,m_dec_tmp_9,m_dec_tmp_10,m_dec_tmp_11,m_dec_tmp_12,sd_dec_tmp_1,sd_dec_tmp_2,sd_dec_tmp_3,sd_dec_tmp_4,sd_dec_tmp_5,sd_dec_tmp_6,sd_dec_tmp_7,sd_dec_tmp_8,sd_dec_tmp_9,sd_dec_tmp_10,sd_dec_tmp_11,sd_dec_tmp_12,a_dec_tmp_1,a_dec_tmp_2,a_dec_tmp_3,a_dec_tmp_4,a_dec_tmp_5,a_dec_tmp_6,a_dec_tmp_7,a_dec_tmp_8,a_dec_tmp_9,a_dec_tmp_10,a_dec_tmp_11,a_dec_tmp_12,m_pre_1,m_pre_2,m_pre_3,m_pre_4,m_pre_5,m_pre_6,m_pre_7,m_pre_8,m_pre_9,m_pre_10,m_pre_11,m_pre_12,m_dec_pre_1,m_dec_pre_2,m_dec_pre_3,m_dec_pre_4,m_dec_pre_5,m_dec_pre_6,m_dec_pre_7,m_dec_pre_8,m_dec_pre_9,m_dec_pre_10,m_dec_pre_11,m_dec_pre_12,sd_dec_pre_1,sd_dec_pre_2,sd_dec_pre_3,sd_dec_pre_4,sd_dec_pre_5,sd_dec_pre_6,sd_dec_pre_7,sd_dec_pre_8,sd_dec_pre_9,sd_dec_pre_10,sd_dec_pre_11,sd_dec_pre_12,a_dec_pre_1,a_dec_pre_2,a_dec_pre_3,a_dec_pre_4,a_dec_pre_5,a_dec_pre_6,a_dec_pre_7,a_dec_pre_8,a_dec_pre_9,a_dec_pre_10,a_dec_pre_11,a_dec_pre_12
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,17.036011,19.328659,23.65616,28.485279,29.12068,29.097832,28.764536,29.280998,29.363615,27.74255,23.831184,18.81111,16.360674,18.992146,23.977663,28.044893,29.484035,29.436192,28.74572,28.540268,28.43433,26.996765,22.722546,18.016317,.81999546,1.4382579,.90095377,.88620573,.78623694,.45865276,.27709195,.48601481,.61950439,.84259892,.63114721,.6546188,-.081520304,-.53367013,-.56269205,-.19166321,-.50957155,-.089378625,-.28223211,.11955036,-.25135419,-.59333968,-.83184201,-.43631604,3.1476066,7.0719171,21.836723,22.236555,93.011452,246.00204,391.70377,306.84662,177.34108,77.036293,4.1589155,.016666453,14.204735,9.1057482,7.4572001,27.812233,84.282578,137.62903,264.24997,230.06496,201.56541,62.147701,7.0427532,2.6795404,13.184826,6.3294654,7.6471648,19.251047,45.23494,62.958858,91.138657,108.844,53.284222,63.502525,9.5622501,6.5343642,-2.8723707,2.580107,5.7359195,3.3466916,8.5170479,84.955589,113.64723,42.390991,36.010506,25.430073,2.769722,2.1403708
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,17.156385,19.451078,23.850664,28.782221,29.438482,29.275908,28.85367,29.357683,29.486523,27.907343,23.952375,18.830137,16.416857,19.153027,24.20422,28.361456,29.848537,29.720842,28.878414,28.60795,28.569973,27.167564,22.929718,18.170206,.86050564,1.4398867,.91480249,.87486655,.77698982,.51778787,.26622185,.52981806,.61122513,.80980116,.62239885,.66013259,-.063351199,-.56707525,-.59219128,-.21331581,-.49358228,-.091962986,-.26893541,.13020289,-.25104234,-.61248583,-.93684727,-.53108251,3.4416101,6.9984956,21.662428,18.643478,75.607292,224.00978,372.2088,300.32605,161.71399,71.771179,3.967844,.017338494,15.018832,9.1468935,7.0793881,22.537075,72.733322,116.11514,244.603,214.5434,182.36076,58.402882,6.9815331,2.2583818,14.840036,6.4249101,7.395246,15.748887,42.195591,61.47781,87.492058,108.52092,52.964775,61.281647,9.8703852,5.6979518,-2.5403531,2.7758319,5.5398088,3.9347651,8.6166124,84.761452,108.91455,49.217896,45.138432,28.936693,2.489336,1.9767673
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,17.340538,19.569893,23.634726,28.752686,29.605909,29.439783,29.010429,29.542797,29.787849,28.178064,24.150967,18.9,16.384926,19.054483,24.090231,28.322508,30.060835,29.992773,29.098366,28.789345,28.90226,27.386507,23.200752,18.376539,1.0255139,1.4081693,.96716404,.85596031,.7733435,.59374714,.25378734,.59580213,.58938229,.83413351,.67299032,.69438094,-.080318019,-.63210303,-.64208388,-.18736014,-.47347847,-.1239625,-.28234586,.11857871,-.34979677,-.64457351,-1.0549382,-.72501326,3.7932243,6.5835419,22.674625,18.060732,57.561161,200.74556,419.4032,330.36145,155.66678,57.593971,2.4441862,.37946418,14.968757,7.7462401,7.5971355,19.880434,68.152153,99.962387,258.44171,217.8009,167.41273,46.602615,6.2853537,2.4205859,16.111208,5.3456893,7.9057989,14.241616,49.714882,62.914284,111.90783,115.21067,63.232555,55.412273,9.2964792,6.8176808,-2.441036,3.3134456,4.6621509,5.3720112,11.773647,82.595352,111.66984,57.494114,59.253578,38.393524,2.1285918,1.9301894
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,17.238043,19.761326,23.868193,29.068291,30.3234,29.915529,29.252647,29.82399,30.127777,28.29995,24.153627,18.726347,16.401854,19.132006,24.363018,28.750198,30.804886,30.783995,29.552092,29.069132,29.194433,27.45322,23.22127,18.250816,.97520399,1.3147964,1.0009185,.8206228,.7725811,.7690953,.29300159,.58661789,.59526974,.86654532,.7383182,.658831,-.15162817,-.59680355,-.62630433,-.13611445,-.45502272,-.18679565,-.31140855,.033524595,-.39678231,-.69962627,-1.1266384,-.77012491,3.7466509,6.1291299,22.940773,15.170194,35.498741,184.88142,433.60925,350.87027,142.91737,53.952129,.97894657,.90244073,13.788768,7.4249935,7.7567639,14.50329,58.266434,103.75587,266.53027,231.87598,168.83118,43.722374,5.9288511,2.8813243,15.499047,4.8262668,7.7660441,10.557384,43.778477,50.64904,113.72931,105.51743,63.467983,50.051479,8.8110447,7.5813031,-1.2716928,4.2819033,3.3894329,5.6753082,8.144062,60.453209,106.12231,56.07663,59.023891,37.924156,1.7045213,1.631667
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,17.085621,20.071718,24.042665,29.29414,31.082306,30.563095,29.501921,29.995478,30.296934,28.313627,24.14237,18.530807,16.513966,19.252989,24.574245,29.131742,31.578413,31.585297,29.897097,29.344246,29.373867,27.402386,23.221155,18.175865,.81041634,1.0578492,1.0737703,.80023533,.79925942,.8244344,.31524691,.50105625,.61396337,.91428471,.87617898,.62436193,-.35268775,-.59886169,-.59294939,-.060675982,-.43016395,-.1755307,-.38543737,-.18623981,-.46834007,-.73723722,-1.2067984,-.84154928,4.41675,5.8645163,20.292358,16.460823,30.100395,195.65659,448.24652,373.25821,157.45367,62.001526,1.2155801,1.5025541,14.546384,7.8147993,8.3083286,15.614259,55.511124,165.2196,313.21671,296.7381,200.59479,39.310356,5.2441468,4.4375806,15.318001,4.6231713,7.8589725,9.9856005,33.053944,53.901291,109.21201,70.307083,57.203434,40.797363,6.8409014,9.20889,.091630183,4.8340092,1.1036857,3.6654296,-1.7604793,9.8497334,79.717125,23.103359,44.704117,29.795935,.96556067,.98207682
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,17.012751,20.058598,24.121487,29.467333,31.314754,30.647421,29.472923,30.014324,30.299999,28.372923,24.172922,18.492838,16.45417,19.317507,24.6336,29.339617,31.838144,31.814152,29.960133,29.307812,29.376892,27.47938,23.260563,18.148581,.85447878,1.0891267,1.074646,.80006111,.7844435,.90373951,.33638495,.54289109,.61386734,.89860749,.85295171,.62696713,-.25544015,-.56463456,-.57095778,-.055659737,-.41908509,-.18854558,-.36967844,-.13280126,-.43087354,-.7477814,-1.2178926,-.81848383,4.0912571,5.4593015,18.206543,12.80841,23.177698,175.72296,413.11139,351.58356,137.9968,58.119492,1.1464249,.98567206,14.630427,7.706913,6.8781285,11.276815,42.624287,131.92075,279.29959,267.79883,180.06378,36.841824,5.3982806,2.9213059,15.422196,4.619173,6.6926732,7.5891109,28.793577,48.008389,103.59979,74.705147,55.000343,38.646606,7.4553599,6.3841424,-.20783861,4.9564548,1.3093206,3.6954525,1.5275136,21.537609,86.778587,36.030563,50.057041,28.082863,1.1184752,1.0445099
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,16.984119,19.830952,24.348383,29.663372,31.370075,30.54101,29.329155,30.038513,30.28009,28.249062,24.049063,18.389532,16.369717,19.300631,24.776279,29.562412,31.93774,31.83462,29.932835,29.251318,29.340706,27.479244,23.179485,18.040054,.93789345,1.2401031,1.0422217,.80546767,.77393538,1.0080367,.3788898,.5903644,.59631956,.84477484,.75422055,.6361444,-.081367165,-.50311732,-.55964577,-.10040567,-.40649819,-.23995093,-.32191777,-.024269333,-.34639075,-.74507242,-1.1831578,-.75958055,3.6276512,6.2196655,21.208996,9.8949337,19.971584,161.26982,399.93701,325.73596,113.40126,55.761791,.45568538,.78802162,14.764896,9.1954985,7.0912356,8.1364822,37.215752,94.710487,248.95805,223.71745,154.99052,43.568134,7.5455723,2.6246657,16.592583,5.7977643,7.1421313,6.107635,29.871857,43.521664,99.999809,91.915001,59.772076,45.260078,11.242183,6.2611279,-.66975671,6.2875581,2.3433776,3.8058147,5.2919183,41.572441,103.16278,52.510185,61.245464,30.816183,1.6448668,1.3567598
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,17.140938,19.700628,24.456482,29.656534,31.054453,30.098022,29.259588,29.839432,30.15959,28.300053,24.120258,18.582026,16.443609,19.357203,24.887812,29.496912,31.595945,31.204981,29.721846,29.066933,29.199528,27.535997,23.219965,18.197491,.97558033,1.3202088,1.0004122,.81996143,.77318305,.9011507,.32722139,.60208517,.58607912,.80807561,.69493711,.64395475,-.023161734,-.52730674,-.57061291,-.1412378,-.43068692,-.19363277,-.28301352,.046086304,-.29989487,-.70486087,-1.1510569,-.72535568,3.3427691,6.0602856,22.934179,9.8807821,25.525572,164.6842,369.56375,310.66797,121.1572,63.12587,1.3582857,.46289727,14.182468,8.450716,7.5448442,8.9080801,40.616383,84.492668,227.55194,208.92432,153.10521,50.857117,6.9459105,2.3753588,16.225571,5.4429407,7.856514,6.5071464,33.295834,44.012039,92.821228,103.72492,61.605106,51.820415,9.923131,5.934092,-.8995232,5.0746479,3.4501679,3.8426762,8.5252533,55.612968,105.96539,57.7672,63.080818,32.5961,1.7617821,1.6455728
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,17.303726,19.671057,24.219152,29.368103,30.319502,29.642725,29.074169,29.575396,29.919397,28.274782,24.178507,18.898777,16.483168,19.351511,24.65373,29.063765,30.85644,30.433512,29.304207,28.831085,28.965235,27.534225,23.248055,18.425056,.99871969,1.3703809,.9775514,.84185177,.76877546,.7293781,.27375159,.59191036,.59385192,.79270154,.66006845,.67126143,-.022906834,-.57180542,-.59600514,-.18141678,-.4492971,-.14554504,-.2509321,.11392488,-.28697199,-.6526714,-1.0936586,-.72328186,3.5874338,6.0685263,21.56389,13.364735,42.446911,180.77812,364.45291,303.12531,134.53242,63.751175,2.3253403,.23551171,14.797805,7.9517779,7.0165024,13.902208,51.591572,87.725952,227.40698,204.10863,156.31342,51.276047,6.3247142,2.1913023,16.540144,5.4074998,7.4178205,9.8089085,38.335674,51.371574,91.277122,107.70758,61.265137,54.65139,9.0015173,5.7551851,-1.397567,3.7637455,4.2730193,4.5071325,9.9737539,69.797005,105.76949,57.105625,61.200191,33.944366,1.7764457,1.9009961
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,17.204479,19.537531,24.363424,29.399879,30.260035,29.515423,28.83606,29.392803,29.62331,28.041901,23.9809,18.753689,16.467155,19.429731,24.730625,29.1066,30.782455,30.302353,29.063326,28.65266,28.668205,27.341112,23.08415,18.31646,.96474928,1.3348082,.95771807,.8326571,.76862437,.73453814,.2839348,.57827228,.60828561,.74029917,.63697428,.6494751,-.013262338,-.57676834,-.58091724,-.18573231,-.43733108,-.12975068,-.24189337,.12374181,-.2200475,-.64977241,-1.0742871,-.71000147,3.4550598,5.9678411,21.759888,13.384781,46.873241,191.39693,333.92538,282.94003,135.66313,68.716072,3.0419219,.045923423,14.836116,8.4158096,6.8411417,14.892705,51.160759,94.803551,218.82272,201.10814,162.56738,55.368885,6.5469036,2.1111381,16.031145,5.7652769,7.2613592,10.064201,34.323799,50.615864,76.375999,100.32157,61.304741,56.818378,9.0115728,5.285337,-.77988845,3.4050915,4.8814249,3.9610791,8.1446705,69.418877,99.206161,50.267803,58.373409,29.224802,1.5770493,2.0796423
