id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area,pop,dens
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,1295,802,619
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,66.90000000000001,118,1761
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,601,436,726
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,643,518,805
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,42,81.30000000000001,1937
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,2251,2017,896
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,2319,2371,1022
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,68.40000000000001,354,5169
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,3083,2678,868
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,3309,4639,1402
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,225,1962,8701
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,2355,1931,820
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,2434,2243,922
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,79.10000000000001,312,3950
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,1676,1273,760
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,1703,1402,824
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,26.9,129,4792
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3331,1234,370
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3338,1276,382
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),7.100000000000001,41.8,5886
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,3792,2137,564
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,3862,2464,638
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,69.5,327,4705
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,3267,1843,564
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,3327,2013,605
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,60.40000000000001,170,2817
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,4901,2997,612
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,4986,3473,697
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,84.80000000000001,476,5613
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,2477,1646,664
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,2503,1784,713
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,25.9,138,5341
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,3019,1296,429
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,3055,1399,458
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,36.3,103,2846
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,871,815,935
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,916,926,1012
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,44.3,112,2520
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,627,546,872
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,627,546,872
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,0,0,
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,4211,39.8,9.4
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,4212,41,9.700000000000001
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,.6900000000000001,1.2,1814
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,1172,121,104
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,1174,123,105
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,2.1,1.8,863
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,708,126,178
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,709,130,183
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,1.1,3.9,3458
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,923,155,168
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,954,194,203
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,31.1,38.5,1238
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,2173,30.5,14.1
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,2173,38.90000000000001,17.9
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,.22,8.4,38561
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,4959,67.90000000000001,13.7
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,4962,74.60000000000001,15
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,3.3,6.7,2045
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,6494,42.2,6.5
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,6500,57.2,8.800000000000001
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,6.2,15,2437
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,3330,60,18
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,3330,60,18
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,3353,122,36.4
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,3353,122,36.4
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,22.6,62,2744
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,22.6,62,2744
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,6732,39.6,5.9
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,6736,55.3,8.200000000000001
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,3.3,15.8,4743
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,8341,82.80000000000001,9.9
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,8341,82.80000000000001,9.9
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,8361,104,12.4
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,8361,104,12.4
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,20.1,21.1,1048
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,20.1,21.1,1048
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3761,65.40000000000001,17.4
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,3761,65.40000000000001,17.4
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,3789,87.40000000000001,23.1
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,3789,87.40000000000001,23.1
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,28.1,22,781
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,28.1,22,781
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,6615,33.4,5
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,6615,33.4,5
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,0,0,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,5011,113,22.6
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,5024,125,25
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,12.6,12.4,981
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,1998,85,42.6
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,2019,100,49.7
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,21.7,15.3,703
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,2704,42.7,15.8
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,2712,55.1,20.3
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,7.5,12.4,1646
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,7083,43.1,6.100000000000001
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,7083,43.1,6.100000000000001
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,0,0,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,9325,7.300000000000001,.78
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,9325,7.300000000000001,.78
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,0,0,
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3677,40.3,11
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,3677,40.3,11
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3681,50.40000000000001,13.7
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,3681,50.40000000000001,13.7
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4,10.1,2558
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,4,10.1,2558
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,4136,98.2,23.7
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,4136,98.2,23.7
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,4147,125,30.1
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,4147,125,30.1
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,10.4,26.8,2580
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,10.4,26.8,2580
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,6130,18.5,3
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,6130,18.5,3
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,6130,18.5,3
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,6130,18.5,3
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,0,0,
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,0,0,
