id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,st,sc
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,.02,20.7
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,.04,19.74
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,.15,14.49
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,.04,21.51
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,.04,19.99
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,.05,11.29
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,.07,19.62
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,.2,15.47
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,.37,9.630000000000001
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,.37,16.22
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,.37,15.32
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,.39,9.76
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,.5,14.71
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,.6,14.12
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,1.63,8.33
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),2.8,22.69
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),2.79,22.28
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),2.52,10.01
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,1.1,19.54
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,1.04,18.12
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,.6800000000000001,8.83
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,.07,24.44
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,.08,23.49
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,.17,13.1
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,.08,32.51
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,.08,29.64
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,.15,11.59
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,.12,25.2
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,.12,24.09
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,.05,10.74
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,5.17,17.72
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,4.82,17.35
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,.33,12.77
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,.08,19.22
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,.09,18.9
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,.12,14.91
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,.08,19.22
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,.09,18.9
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,.12,14.91
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,53.82,2.16
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,53.06,2.14
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,29.09,1.6
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,19.47,4.600000000000001
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,19.33,4.66
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,10.31,9.16
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,15.84,4.7
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,15.57,4.76
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,7.100000000000001,6.770000000000001
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,19.07,5.95
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,18.5,5.83
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,16.39,5.37
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,87.55,.13
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,74.99,.33
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,29.2,1.06
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,50.17,.47
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,49.53,.5
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,43.09,.75
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,92.33,0
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,86.72,.17
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,70.95,.64
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,69.53,.74
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,69.53,.74
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,56.56,1.15
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,56.56,1.15
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,44.03,1.54
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,44.03,1.54
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,95.47,.01
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,89.53,.18
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,74.60000000000001,.61
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,89.65000000000001,.12
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,89.65000000000001,.12
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,81.72,.36
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,81.72,.36
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,50.63,1.31
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,50.63,1.31
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,80.7,.21
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,80.7,.21
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,69.13,.61
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,69.13,.61
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,34.68,1.79
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,34.68,1.79
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,78.21000000000001,.37
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,78.21000000000001,.37
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,37.23,.27
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,36.16,.3
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,26.36,.5
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,91.82000000000001,.02
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,83.67,.17
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,38.35,1.01
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,88.59,.16
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,83.98,.31
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,68.06,.8200000000000001
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,97.91,.06
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,97.91,.06
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,66.38,.8100000000000001
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,66.38,.8100000000000001
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,,
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,47.93,.54
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,47.93,.54
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,43.62,.89
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,43.62,.89
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,26.42,2.27
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,26.42,2.27
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,35.8,1.19
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,35.8,1.19
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,32.37,1.44
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,32.37,1.44
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,19.79,2.34
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,19.79,2.34
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,77.38,.1
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,77.38,.1
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,77.38,.1
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,77.38,.1
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,,
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,94.57000000000001,0
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,93.93000000000001,0
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,84.39,0
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,95.79000000000001,0
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,93.78,0
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,80.88,0
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,97.48,0
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,96.05,0
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,82.96000000000001,0
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,96.88,0
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,95.51000000000001,0
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,91.02,0
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,74.25,0
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,60.7,0
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,37.71,0
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,97.96000000000001,0
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,96.48,0
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,80.86,0
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,97.41,0
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,96.03,0
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,78.17,0
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,97.41,0
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,96.03,0
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,78.17,0
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,97.41,0
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,96.03,0
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,78.17,0
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,84.62000000000001,0
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,75.62000000000001,0
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,57.38,0
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,95,0
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,90.54000000000001,0
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,77.05,0
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,78.45,.15
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,78.45,.15
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,95.38,0
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,95.38,0
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,93.23,.09
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,93.23,.09
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,3.09,1.26
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,2.95,.8300000000000001
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,2.69,.05
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,1.4,.9
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,1.17,9.33
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,.77,24.28
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,5.350000000000001,4.99
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,4.75,2.99
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,4.28,1.38
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,3.56,2.28
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,6.26,2.64
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,13.38,3.57
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,95.54000000000001,0
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,95.54000000000001,0
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,98.3,.17
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,91.93000000000001,.18
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,47.93,.21
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,94.88,.03
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,93.89,.03
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,89.04000000000001,.02
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,90.94,.02
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,89.78,.03
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,88.85000000000001,.03
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,96.77,.04
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,93.23,.06
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,92.13,.06
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,98.11,0
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,96.79000000000001,0
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,94.72,0
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,97.93000000000001,.02
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,98.09,.01
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,98.28,0
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,97.10000000000001,.01
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,95.3,.02
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,92.82000000000001,.05
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,95.77,.01
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,95.77,.01
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,,
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,96.31,0
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,95.77,.02
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,95.02,.06
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,32.7,19.45
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,25.25,19.29
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,4.86,18.84
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,40.35,16.38
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,37.73,16.59
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,3.15,19.28
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,56.81,16.05
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,54.03,16.18
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,11.43,18.22
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,28.18,14
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,25.47,14.03
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,2.64,14.3
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,77.25,1.17
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,76.62000000000001,1.43
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,71.65000000000001,3.49
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,87.78,.59
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,86.58,.79
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,78.82000000000001,2.19
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,87.16,.62
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,86.15000000000001,.8300000000000001
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,76.25,2.68
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,98.34,.01
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,98.02,.01
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,95.62000000000001,.07
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,87.27,.16
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,87.03,.16
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,83.78,.09
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,91.10000000000001,.22
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,77.49,.35
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,58.72,.53
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,96.41,.16
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,95.97,.15
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,91.19,.07
3_18_300_0,2001,Rural,3,India,18,Assam,300,Kokrajhar,30.57,2.5
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,30,2.78
3_18_300_0,2001,Urban,3,India,18,Assam,300,Kokrajhar,18.58,10.91
3_18_301_0,2001,Rural,3,India,18,Assam,301,Dhubri,17.46,2.61
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,16.9,3.72
3_18_301_0,2001,Urban,3,India,18,Assam,301,Dhubri,9.48,13.16
3_18_302_0,2001,Rural,3,India,18,Assam,302,Goalpara,17.23,4.28
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,16.03,4.8
3_18_302_0,2001,Urban,3,India,18,Assam,302,Goalpara,2.58,10.72
3_18_303_0,2001,Rural,3,India,18,Assam,303,Barpeta,1.97,4.98
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,1.88,5.79
3_18_303_0,2001,Urban,3,India,18,Assam,303,Barpeta,.9400000000000001,13.88
3_18_304_0,2001,Rural,3,India,18,Assam,304,Morigaon,15.77,12.85
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,15.55,12.93
3_18_304_0,2001,Urban,3,India,18,Assam,304,Morigaon,11.27,14.45
3_18_305_0,2001,Rural,3,India,18,Assam,305,Nagaon,4.310000000000001,9.27
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,3.86,9.300000000000001
3_18_305_0,2001,Urban,3,India,18,Assam,305,Nagaon,.58,9.470000000000001
