id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,70.7,62.90000000000001,77.30000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,42.1,27.9,54.8
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,42.7,28.7,55.3
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,59.90000000000001,50.6,67.8
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,52.8,39.3,64.5
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,59.5,47.40000000000001,69.90000000000001
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,76,67.8,83.10000000000001
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,45.6,31.2,58.8
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,48,34,60.7
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,61.1,49.7,71.10000000000001
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,46,30.9,59.90000000000001
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,48.6,33.9,61.90000000000001
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,62.3,50.5,72.7
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,50.40000000000001,35,64.5
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,53.2,38.6,66.40000000000001
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,68.5,58.6,77.2
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,51.40000000000001,36.6,64.5
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,62.90000000000001,50.8,73.3
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,78.10000000000001,70.2,84.7
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,56.8,38.5,73.40000000000001
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,59,41.8,74.3
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,71.60000000000001,62.40000000000001,79.2
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,55,37.5,70.7
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,56.8,39.90000000000001,71.90000000000001
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,73.60000000000001,62.90000000000001,82.90000000000001
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),54.3,37.8,69.10000000000001
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),55.1,38.8,69.60000000000001
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),76.90000000000001,66.8,85.10000000000001
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,59.2,42.8,74
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,61.3,45.7,75.3
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,74.10000000000001,63.90000000000001,83.10000000000001
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,55.5,39.90000000000001,70
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,57,41.90000000000001,71.10000000000001
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,73.5,63.40000000000001,82.40000000000001
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,46.2,31.8,59.7
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,50.40000000000001,36.7,63.3
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,75.7,66.7,83.40000000000001
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,44.7,29.7,58.90000000000001
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,46.8,32.2,60.6
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,71.10000000000001,61.90000000000001,79.30000000000001
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,40.2,23.9,55.1
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,42.40000000000001,26.3,57.1
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,68.8,56.2,79.7
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,54.1,37.9,69.3
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,55.3,39.40000000000001,70.10000000000001
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,69.40000000000001,58.2,79.30000000000001
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,54.1,37.9,69.3
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,55.3,39.40000000000001,70.10000000000001
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,69.40000000000001,58.2,79.30000000000001
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,66.8,54.90000000000001,75.5
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,67.2,55.40000000000001,75.7
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,79.10000000000001,74.2,82
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,58.5,49.8,66.5
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,58.8,50.1,66.8
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,78,72,82.5
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,66.60000000000001,59,73.60000000000001
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,67.3,59.7,74.3
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,88.5,83.30000000000001,92.90000000000001
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,72,63.3,79.30000000000001
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,74.7,66.8,81.2
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,83.90000000000001,79.2,87.80000000000001
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,35.1,25,44.90000000000001
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,47.3,30,60.3
