id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,377,129,52.6,.1,8.300000000000001,1.1,3.8,2.8,4.3,4.800000000000001,4.3,5.2,12.7
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,401,106,50.8,0,7.600000000000001,.9,3.6,2.8,5.7,.9,3.9,6.7,17.1
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,38.3,78,53.8,0,5,.7000000000000001,3.7,1,2.7,2.3,3.7,7.9,19.2
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,254,99.30000000000001,43.2,0,7.7,1.3,5,3,3.3,4.100000000000001,4.3,7.100000000000001,21.1
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,355,103,45.3,0,5.800000000000001,1.3,3.2,1.8,4.5,4.2,3.3,7.5,23.1
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,180,108,60.2,0,5.100000000000001,.6000000000000001,3.7,.9,2.5,2.3,3.3,6.100000000000001,15.3
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,202,97.90000000000001,52.8,0,6.5,.5,4,2.9,2.9,3.2,4,5.5,17.6
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,138,111,53.2,0,7.100000000000001,.4,4.2,2.7,4.3,2.5,4.800000000000001,5,15.8
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,279,115,45.90000000000001,.1,5.9,.5,3.5,5,5.300000000000001,4.7,4.800000000000001,7,17.4
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,271,118,41.40000000000001,0,6.2,.9,3.9,3.4,14.3,3.1,4.800000000000001,6.800000000000001,15.1
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,155,106,61.5,0,5.300000000000001,.6000000000000001,2.7,1.6,1.9,2,3.3,5.300000000000001,15.7
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,188,131,45.8,0,4.4,1.2,4,2.5,6.800000000000001,2.9,4.3,9.9,18.1
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,345,109,31.5,0,6.100000000000001,2.1,4.800000000000001,3.2,7.7,6.2,5.2,9.800000000000001,23.5
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,544,151,34.5,0,7.300000000000001,2.5,4.3,6.800000000000001,9.200000000000001,6.2,4.2,8.5,16.4
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,232,112,45,0,9,1.3,5.7,7.600000000000001,3.4,2.8,3.6,5.4,16.2
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,279,107,44.3,0,6.5,1.3,5.9,3.5,5.600000000000001,2.9,3.4,6,20.6
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,331,106,32.4,0,7.300000000000001,1.7,5.600000000000001,4.3,13.9,4,4.7,7.7,18.4
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,314,120,41.40000000000001,0,8.5,2,4.9,2.6,6.7,3.6,3.6,7.300000000000001,19.3
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,379,116,41,0,6.7,1.4,4,3.5,9.9,3.3,3,6.7,20.6
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,397,176,22.5,0,19.5,3.3,4,16.1,8.9,2.5,2.8,4.9,15.5
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,144,117,44.8,0,4.5,1,5.2,1.4,11.3,2.1,4.2,7.2,18.2
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,353,151,24.7,.1,8.1,5.2,5.5,6.4,9.800000000000001,4.3,6,10.2,19.6
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,155,99.90000000000001,51.5,.1,10.2,.8,3.4,1,2.8,2.5,3.3,6.300000000000001,18.1
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,218,198,14.8,.1,16.6,1.4,6.100000000000001,3.3,19.9,3.9,7.5,9.4,16.9
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,93.5,120,29.7,1.5,7.600000000000001,1,6,3.9,10.6,3.3,5.600000000000001,6.600000000000001,24.4
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,56.5,113,39.8,.3,7.600000000000001,1.3,4.7,1.5,3.6,2.8,6.300000000000001,9.300000000000001,22.9
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,288,125,37.5,.4,7.4,1.4,4.100000000000001,3.9,5.4,3.5,5.2,8.9,22.4
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,2354,521,6.100000000000001,.1,3.4,1,2,56.7,7,4.100000000000001,3.8,7.600000000000001,8.200000000000001
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,282,130,38.2,1.6,7,1.2,4.2,2.8,7.600000000000001,4.7,5,11.6,16.1
