id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_bu,pop_bu,dens_bu
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,1267,671,.53
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,1295,716,553
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,27.8,45.2,1623
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,627,463,.74
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,643,476,741
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,16.1,13.5,834
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,2263,1839,.8100000000000001
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,2319,2011,867
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,56.1,172,3070
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,3128,2480,.79
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,3309,3778,1142
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,181,1298,7185
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,2390,1764,.74
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,2434,1862,765
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,44.1,98.40000000000001,2232
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,1680,1085,.65
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,1703,1119,657
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,22.7,34.1,1503
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3319,1490,.45
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3338,1504,451
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),19.2,14,728
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,3762,1984,.53
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,3862,2158,559
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,99.30000000000001,174,1747
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,3270,1782,.55
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,3327,1868,561
