id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_snt2_t
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,69.8,56.3
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,47.3,13.2
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,50.8,17
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,73.40000000000001,40.7
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,45,15.6
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,45.6,18.5
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,48.90000000000001,35
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,53.90000000000001,15.9
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,55.7,21.1
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,67,55.40000000000001
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,59.7,19.6
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,71,39
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,87.60000000000001,67.7
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,84.90000000000001,9.600000000000001
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,85.80000000000001,15
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,91.90000000000001,51.5
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,82.10000000000001,8.700000000000001
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,81.90000000000001,12.4
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,80,49.1
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),67.40000000000001,7.2
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),68.3,8.9
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),92.40000000000001,56.5
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,77.40000000000001,8.9
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,78.2,12.9
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,92.60000000000001,56.8
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,75.40000000000001,10.9
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,76.60000000000001,13.8
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,90,47.1
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,59.7,11.1
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,63.3,17
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,88.60000000000001,58.3
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,61.90000000000001,11.8
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,63.3,15
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,81.40000000000001,57.90000000000001
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,29.9,7.7
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,31.9,9.800000000000001
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,58.1,37.7
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,74.8,16.7
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,75.40000000000001,19.1
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,84.2,50.40000000000001
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,74.8,16.7
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,75.40000000000001,19.1
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,84.2,50.40000000000001
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,35.8,46.2
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,38.40000000000001,48.3
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,96.80000000000001,94.40000000000001
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,66.60000000000001,43.2
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,67.10000000000001,43.3
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,95.80000000000001,46.5
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,61.90000000000001,47.3
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,62.90000000000001,48.7
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,95,91
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,55.2,67.3
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,64.8,72.8
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,95.10000000000001,90
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,55.3,74.2
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,61,75.5
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,92.40000000000001,82.90000000000001
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,74.10000000000001,29.4
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,75.90000000000001,30.1
