id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_7_t,emp_7_t,wkp_7_f,emp_7_f,wkp_7_m,emp_7_m
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,83.60000000000001,28.6,83.10000000000001,7.300000000000001,84,47.40000000000001
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,79.80000000000001,33.5,80,13.6,79.5,53.1
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,80.10000000000001,33.1,80.30000000000001,12.9,79.90000000000001,52.7
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,83.10000000000001,28.9,82.5,6.5,83.7,48.5
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,79.90000000000001,36.4,79.7,14.1,80,56.90000000000001
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,80,36,79.80000000000001,13.7,80.2,56.40000000000001
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,81.90000000000001,30.6,81.5,7.4,82.30000000000001,51
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,78.90000000000001,40.3,78.80000000000001,19.6,79,59.5
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,79.10000000000001,39.90000000000001,78.90000000000001,19.2,79.2,59.2
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,83.7,30.5,83.30000000000001,7.800000000000001,84.10000000000001,50.2
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,79.30000000000001,40.5,78.90000000000001,20.8,79.60000000000001,58.3
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,79.5,39.90000000000001,79.10000000000001,20.1,79.90000000000001,57.8
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,84.40000000000001,28.8,84,6.800000000000001,84.7,47.8
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,78,47.7,77.5,31,78.5,62.3
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,78.2,46.6,77.60000000000001,29.5,78.80000000000001,61.6
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,81.40000000000001,30.9,80.5,6.600000000000001,82.10000000000001,50.8
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,79.7,46.90000000000001,78.60000000000001,31.2,80.60000000000001,60.3
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,80.5,43.8,79.5,27,81.40000000000001,58.3
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,84.10000000000001,31.4,83.40000000000001,9.700000000000001,84.80000000000001,49.90000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,79.5,50.2,78.90000000000001,36.5,80.10000000000001,62.6
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,79.60000000000001,49.7,79,35.7,80.2,62.3
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,82.7,35.4,81.90000000000001,14.1,83.30000000000001,53.5
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,81,38.90000000000001,80.7,20.6,81.40000000000001,54.90000000000001
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,81.90000000000001,35.6,81.5,16.4,82.30000000000001,52.1
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,84.2,27.2,83.60000000000001,6.100000000000001,84.7,45.2
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,78.5,47.6,78.2,31.9,78.80000000000001,62.1
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,78.90000000000001,46.2,78.5,29.6,79.2,61.40000000000001
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,81.30000000000001,38.5,80.7,16.6,81.80000000000001,57.7
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,78.80000000000001,49,78.40000000000001,35,79.10000000000001,61.90000000000001
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,79.10000000000001,46.8,78.7,31.7,79.5,60.40000000000001
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,80.90000000000001,34.7,80.30000000000001,14,81.5,52.8
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,80.2,49.8,79.90000000000001,37,80.5,61.40000000000001
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,80.5,47.3,80.2,33.6,80.80000000000001,59.7
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,82.7,33.7,82.40000000000001,14.8,82.90000000000001,50.5
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,80.40000000000001,42,79.90000000000001,23,80.80000000000001,58.7
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,82.60000000000001,36.6,82.10000000000001,16.2,83.10000000000001,54.1
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,85.80000000000001,29.5,85.30000000000001,7.100000000000001,86.2,48.1
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,80.7,37.2,80.40000000000001,17.2,81,55.3
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,81.10000000000001,35.9,80.7,15.6,81.5,54.1
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,83.80000000000001,28.2,83.10000000000001,5.300000000000001,84.40000000000001,47.2
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,80.40000000000001,37,80.10000000000001,15.7,80.60000000000001,56
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,80.60000000000001,36.1,80.30000000000001,14.8,80.90000000000001,55.1
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,83.10000000000001,28,82.5,5.9,83.7,46.90000000000001
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),78.90000000000001,44,78.5,27.1,79.30000000000001,59.2
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),79.10000000000001,43.40000000000001,78.60000000000001,26.4,79.5,58.6
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),83.60000000000001,26.5,82.80000000000001,5.7,84.2,43.5
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,79.80000000000001,39.40000000000001,79.30000000000001,18.8,80.2,58.1
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,80.2,37.9,79.80000000000001,17,80.60000000000001,56.7
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,83.10000000000001,28.3,82.60000000000001,5.800000000000001,83.60000000000001,48
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,80,42.7,80,26.7,80.10000000000001,57.7
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,80.2,41.6,80.10000000000001,25.2,80.30000000000001,56.8
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,82,29.4,81.7,8.200000000000001,82.30000000000001,48.2
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,79.5,48.6,79.30000000000001,35.5,79.80000000000001,60.8
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,80.2,45.90000000000001,79.90000000000001,31.9,80.5,58.90000000000001
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,84.5,29.9,83.90000000000001,9.4,85,47.6
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,79.90000000000001,47.90000000000001,79.60000000000001,34.2,80.2,60.8
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,80.10000000000001,46.5,79.80000000000001,32.3,80.5,59.8
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,82.80000000000001,30.2,82.5,9.1,83.10000000000001,48.90000000000001
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,80,54.5,79.5,45.6,80.5,62.6
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,80.2,53.2,79.80000000000001,43.6,80.7,61.8
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,83.2,36.8,82.7,19,83.60000000000001,52.3
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,80.40000000000001,48.6,80.60000000000001,35.9,80.30000000000001,60.40000000000001
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,80.60000000000001,47.6,80.7,34.6,80.40000000000001,59.8
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,82.5,36.1,82.40000000000001,18.1,82.60000000000001,52
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,80.40000000000001,48.6,80.60000000000001,35.9,80.30000000000001,60.40000000000001
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,80.60000000000001,47.6,80.7,34.6,80.40000000000001,59.8
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,82.5,36.1,82.40000000000001,18.1,82.60000000000001,52
