id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ntl_pc,ntl_a
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,5.7,7
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,1.4,.96
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,1.9,1.4
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,6,7.9
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,2,1.6
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,2.3,2
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,4.600000000000001,14.4
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,4.2,3.1
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,6.4,7.300000000000001
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,9.700000000000001,65.3
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,.74,.52
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,.98,.75
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,2.9,7.7
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,1.2,.75
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,1.3,.85
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,3.2,7.100000000000001
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3,1.4
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3,1.4
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),4.2,10.7
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,2.5,1.3
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,2.6,1.5
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,3.3,8.1
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,.86,.45
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,.98,.55
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,2.3,5.800000000000001
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,.79,.49
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,1.3,.89
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,6.7,23.5
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,.7000000000000001,.6
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,.77,.67
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,3.2,7.2
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,.6900000000000001,.3
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,.89,.4
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,4.4,9.1
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,.87,.5600000000000001
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,1.1,.78
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,3.5,5.100000000000001
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,.15,.1
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,.15,.1
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,,
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,.47,0
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,.47,0
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,0,0
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,12,.79
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,12.1,.8100000000000001
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,23.4,9.200000000000001
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,9,1.1
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,9,1.1
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,7.100000000000001,8.6
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,8.300000000000001,1.8
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,8.300000000000001,2.2
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,8.200000000000001,12.2
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,4.9,.08
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,4.9,.08
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,0,0
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,20.4,.17
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,20.9,.18
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,198,7.2
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,3.2,.02
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,3.3,.02
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,3.9,.66
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,31.4,.75
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,31.4,.75
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,34.2,.8300000000000001
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,34.2,.8300000000000001
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,176,12.2
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,176,12.2
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,0,0
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,0,0
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,0,0
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,.98,.01
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,.98,.01
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,1.7,.02
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,1.7,.02
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,30.8,3
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,30.8,3
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3.1,.09
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,3.1,.09
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,3.9,.11
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,3.9,.11
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,44.5,3.6
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,44.5,3.6
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,4.100000000000001,.01
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,4.100000000000001,.01
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,29,.78
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,29.2,.79
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,49.6,4.5
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,.1,.01
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,.36,.02
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,35.8,1.3
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,11.2,.24
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,11.4,.25
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,37.3,3.1
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,0,0
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,0,0
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,0,0
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,0,0
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,,
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,1.3,.02
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1.3,.02
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,1.4,.02
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1.4,.02
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,26.7,1.8
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,26.7,1.8
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,9.700000000000001,.31
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,9.700000000000001,.31
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,9.9,.32
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,9.9,.32
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,28.3,3.6
