id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,43.5,57.90000000000001,7.100000000000001,9.1,24.6,.1,.4
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,6.800000000000001,95.30000000000001,.2,.2,1.4,.2,.1
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,9,93.5,.4,.5,2.8,.2,.1
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,42.1,67.90000000000001,2.9,4.4,23.6,0,.1
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,5.800000000000001,94.30000000000001,.1,.4,1.2,.1,0
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,7.4,92.7,.2,.8,2.2,.1,.1
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,52.7,49.7,3,12.5,31.5,0,1.2
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,14.5,93.5,1.9,.6000000000000001,2.4,.1,.1
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,16.8,91.30000000000001,2,1,4,.4,.1
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,74.5,37.4,3.9,10.6,40.8,5.9,.7000000000000001
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,6.800000000000001,97.90000000000001,.1,.2,.7000000000000001,.2,.1
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,8.9,96.30000000000001,.2,.8,1.6,.2,.1
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,47.8,66.60000000000001,3.3,10.5,18.3,.1,.9
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,10.8,89.7,6.600000000000001,.3,1.1,.2,.1
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,19.1,79.60000000000001,12,.8,5.4,.2,.2
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,60.90000000000001,28.7,39.3,3.2,27.2,.1,.6000000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,3.6,93.40000000000001,3.5,.3,.4,.1,.1
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,4.7,92.10000000000001,4,.4,1.1,.1,.1
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,36,55.7,18.3,3.5,20.4,.1,.4
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,11.1,95.2,1.4,.6000000000000001,1.7,.1,.1
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,23.7,82,6.4,2.3,8.1,.1,.2
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,59.6,44.2,20.9,7.2,26.4,.1,.4
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,7.800000000000001,96.30000000000001,1.4,.3,.9,.1,.3
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,12.9,91.80000000000001,3.2,1.1,2.6,.1,.3
