id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,.58,.9400000000000001,.35,.38,.73,.46,2.6,.64,1.7,1.1,1.5,1.3,.89,1.1,43.5,2.1
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,1.5,,,,.5700000000000001,,,,9.9,,,,.52,,,
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,.67,,.5600000000000001,.44,.86,.65,2.6,.61,1.9,,2.3,1.4,.98,1.6,43.6,2
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,.67,,.5600000000000001,.44,.86,.65,2.6,.61,1.9,,2.3,1.4,.98,1.6,43.6,2
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,.41,,.34,,.46,.61,,.44,1.3,,1.4,,.6800000000000001,1.5,,1.4
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,.47,,.35,,.74,.62,,.49,1.3,,1.4,,.84,1.5,,1.6
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,.42,,.33,,.72,.59,,.41,1.2,,1.4,,.8300000000000001,1.4,,1.3
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,.46,,.35,,.65,.58,,.49,1.3,,1.5,,.78,1.4,,1.6
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,.58,,.45,,1.2,.55,,.46,2.4,,1.9,,1.1,1.3,,1.5
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,.47,,.35,,.8200000000000001,.35,,.29,1.7,,1.4,,.74,.85,,.9400000000000001
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,.59,,.45,,1.4,.52,.8300000000000001,.41,1.5,,1.9,,1.2,1.3,13.9,1.3
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,.55,,.32,,.97,.42,.71,.49,1.3,,1.3,,.88,1,11.8,1.6
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,.55,,.32,,.97,.42,.71,.49,1.3,,1.3,,.88,1,11.8,1.6
