id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,59.3
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,33.6
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,36.2
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,54
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,32.8
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,34.6
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,51.90000000000001
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),23.1
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),24
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),49.2
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,29.3
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,30.6
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,48.90000000000001
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,24.8
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,26.6
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,48.1
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,16.7
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,20.7
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,48.90000000000001
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,12.1
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,13.9
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,37.1
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,16.3
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,17.7
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,37
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,21.3
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,22.4
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,37
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,21.3
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,22.4
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,37
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,28.2
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,28.1
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,26.6
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,17.1
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,17.7
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,57
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,20.7
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,22.1
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,65.60000000000001
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,31.3
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,39.90000000000001
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,67
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,30.3
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,38.7
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,85
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,38.7
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,42.8
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,72.2
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,16
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,27.4
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,62.8
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,50.2
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,50.2
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,60.40000000000001
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,60.40000000000001
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,68.8
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,68.8
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,27.3
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,37.3
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,63.6
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,33.4
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,33.4
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,43.7
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,43.7
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,77.60000000000001
