id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,96.60000000000001,97.10000000000001,84.10000000000001,8.9,75.10000000000001
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,89,97.10000000000001,71.8,7.300000000000001,64.5
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,92.30000000000001,94.90000000000001,81.10000000000001,8.200000000000001,73
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,92,94.80000000000001,80.60000000000001,8.1,72.60000000000001
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,88.90000000000001,93.40000000000001,74,7.2,66.8
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,93,95.5,82.90000000000001,7.5,75.40000000000001
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,92.80000000000001,95.5,82.30000000000001,7.4,74.8
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,87.90000000000001,94.30000000000001,67.3,6.5,60.90000000000001
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,91.40000000000001,96.40000000000001,82.2,6.800000000000001,75.40000000000001
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,91.2,96.2,81.2,6.7,74.5
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,87,91.90000000000001,63.3,5.600000000000001,57.8
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,88.80000000000001,94.60000000000001,85.5,6.5,79
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,88.5,94.60000000000001,84.60000000000001,6.5,78.10000000000001
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,84.2,94.40000000000001,72,6.2,65.7
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,87.80000000000001,98.90000000000001,81.40000000000001,7.2,74.2
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,87.60000000000001,98.40000000000001,78.30000000000001,7.100000000000001,71.2
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,86.60000000000001,95.30000000000001,65.8,6.600000000000001,59.2
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,90.90000000000001,98.2,78.90000000000001,7.2,71.7
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,90.80000000000001,98.2,78.60000000000001,7.2,71.40000000000001
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,86.80000000000001,97,70.7,7.5,63.2
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,87.5,91.5,77.10000000000001,7.300000000000001,69.8
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,87.2,92,73.8,7.100000000000001,66.7
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,86.60000000000001,93.40000000000001,65.8,6.800000000000001,59
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,92.7,96.60000000000001,83.90000000000001,7.2,76.7
