id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cr_s,fo_s,n_oper_t,n_oper_gov,n_oper_pri,n_oper_fo,c_oper_t,s_pr_t,s_pr_nat,s_pr_int
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,73.3,.8,,,,,,,,
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,96.30000000000001,.1,,,,,,,,
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,99.2,0,,,,,,,,
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,98.80000000000001,0,,,,,,,,
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,97.30000000000001,0,,,,,,,,
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,88.90000000000001,.1,,,,,,,,
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,98.7,0,,,,,,,,
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,86.90000000000001,0,,,,,,,,
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,96,0,,,,,,,,
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,86.80000000000001,.7000000000000001,,,,,,,,
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,94.7,.2,,,,,,,,
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,92.2,.4,,,,,,,,
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,95,.4,,,,,,,,
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,96.10000000000001,.4,,,,,,,,
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,95.60000000000001,0,,,,,,,,
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,95.80000000000001,.4,,,,,,,,
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,87.80000000000001,1,,,,,,,,
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,89.10000000000001,.9,,,,,,,,
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,94.5,.6000000000000001,,,,,,,,
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,85.40000000000001,.1,,,,,,,,
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,89.5,.4,,,,,,,,
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,82.80000000000001,0,,,,,,,,
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,75.3,0,,,,,,,,
