id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,5.800000000000001,4.2,60.40000000000001
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,6.100000000000001,3.6,47.5
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,5.7,3.7,52.40000000000001
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,5.7,3.7,52.2
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,5.800000000000001,3.4,46.1
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,5.600000000000001,4,57.5
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,5.7,3.8,54.2
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,5.9,3.4,44.6
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,6.2,3.8,51.8
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,6.2,3.7,51
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,6.100000000000001,3.5,46.3
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,6.4,3.1,36.2
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,6.4,3.1,36.5
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,6.300000000000001,3.1,38
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,6.300000000000001,2.8,30.5
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,6.300000000000001,2.8,31.2
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,6.4,3.1,35.7
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,6.300000000000001,3.2,38.7
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,6.2,3.1,36.4
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,6,2.9,33.1
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,6.5,3,34.7
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,6.5,3,35
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,6.5,3.2,37.3
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,6.600000000000001,2.9,31.5
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,6.600000000000001,2.9,32
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,6.300000000000001,3.1,37
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),6.300000000000001,2.7,28.8
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),6.300000000000001,2.7,28.9
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),6,2.8,30.6
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,6.4,2.7,29
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,6.300000000000001,2.8,29.3
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,6.100000000000001,2.8,31.9
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,6.5,2.6,26.2
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,6.5,2.6,26.3
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,6.4,2.7,27.8
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,6.300000000000001,2.6,26.5
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,6.300000000000001,2.6,26.9
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,6.4,2.8,30
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,6.600000000000001,2.6,26.2
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,6.600000000000001,2.6,26.4
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,6.5,2.8,29.8
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,5.9,3.6,48.90000000000001
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,5.9,3.6,48.7
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,5.9,3.5,46.40000000000001
