Variable,Description,source,Y/Z/Control?,in1993,in2001,in2004,in2011
pct_agrEmp_both_tot,N total agriculture employed/Total employed,labour force survey,,1,1,1,1
pct_mfgEmp_both_tot,N total manufacturing employed/Total employed,labour force survey,,1,1,1,1
pct_trspEmp_both_tot,N total transportation employed/Total employed,labour force survey,,1,1,1,1
pct_comEmp_both_tot,N total commerce employed/Total employed,labour force survey,,1,1,1,1
x30,Total imports (consumed),ASI,,0,1,0,1
x1,1. NUMBER OF FACTORIES,ASI,,0,1,0,1
x6,6. NUMBER OF WORKERS,ASI,,0,1,0,1
x7,7. MANDAYS-WORKERS,ASI,,0,1,0,1
x8,8. NUMBER OF EMPLOYEES,ASI,,0,1,0,1
x9,9. MANDAYS-EMPLOYEES,ASI,,0,1,0,1
x10,10.TOTAL PERSON ENGAGED,ASI,,0,1,0,1
x11,11.WAGES TO WORKERS,ASI,,0,1,0,1
x14,14.WORKMEN & STAFF WELFARE EXPENS,ASI,,0,1,0,1
x13,13. PROVIDENT & OTHER FUNDS,ASI,,0,1,0,1
x12,12.TOTAL EMOLUMENTS,ASI,,0,1,0,1
x2,2. FIXED CAPITAL,ASI,,0,1,0,1
x3,3. WORKING CAPITAL,ASI,,0,1,0,1
x4,4. INVESTED CAPITAL,ASI,,0,1,0,1
x22,22.RENT PAID,ASI,,0,1,0,1
x5,5. OUTSTANDING LOANS,ASI,,0,1,0,1
x23,23.INTEREST PAID,ASI,,0,1,0,1
x18,18.PRODUCTS AND BY- PRODUCTS,ASI,,0,1,0,1
x19,19.VALUE OF OUTPUT,ASI,,0,1,0,1
x15,15.FUELS CONSUMED,ASI,,0,1,0,1
x16,16.MATERIAL CONSUMED,ASI,,0,1,0,1
x17,17.TOTAL INPUTS,ASI,,0,1,0,1
x20,20.DEPRECIATION,ASI,,0,1,0,1
x21,21.NET VALUE ADDED,ASI,,0,1,0,1
x25,25.NET FIXED CAPITAL FORMATION,ASI,,0,1,0,1
x26,26.GROSS FIXED CAPITAL FORMATION,ASI,,0,1,0,1
x27a,"(I) MATERIAL,FUELS ETC.",ASI,,0,1,0,1
x27b,(II) SEMI FINISHED GOODS,ASI,,0,1,0,1
x27c,(iii) FINISHED GOODS,ASI,,0,1,0,1
x27d,(IV) TOTAL,ASI,,0,1,0,1
x28,28. GROSS CAPITAL FORMATION,ASI,,0,1,0,1
x24,24.NET INCOME,ASI,,0,1,0,1
x29,29. PROFITS,ASI,,0,1,0,1
a5,"Ind Code as per Return (5-digit, NIC-98)",ASI,,0,1,0,1
