misAll2010State,misAll2010District,spatialId
KERALA,Thiruvananthapuram,3_32_601_0
KERALA,Thrissur,3_32_594_0
KERALA,Wayanad,3_32_590_0
MADHYA PRADESH,Balaghat,3_23_457_0
MADHYA PRADESH,Bastar,3_22_414_0
MADHYA PRADESH,Betul,3_23_447_0
MADHYA PRADESH,Bhind,3_23_420_0
MADHYA PRADESH,Bhopal,3_23_444_0
MADHYA PRADESH,Bilaspur,3_22_406_0
MADHYA PRADESH,Rajnandgaon,3_22_408_0
MADHYA PRADESH,Chhatarpur,3_23_425_0
MADHYA PRADESH,Chhindwara,3_23_455_0
MADHYA PRADESH,Damoh,3_23_428_0
MADHYA PRADESH,Datia,3_23_422_0
MADHYA PRADESH,Dewas,3_23_437_0
MADHYA PRADESH,Dhar,3_23_438_0
MADHYA PRADESH,Durg,3_22_409_0
MADHYA PRADESH,E. Nimar (Khandwa),3_23_466_0
MADHYA PRADESH,Guna,3_23_458_0
MADHYA PRADESH,Gwalior,3_23_421_0
MADHYA PRADESH,Hoshangabad,3_23_449_0
MADHYA PRADESH,Indore,3_23_439_0
MADHYA PRADESH,Jabalpur,3_23_451_0
MADHYA PRADESH,Jhabua,3_23_464_0
MADHYA PRADESH,Mandla,3_23_454_0
MADHYA PRADESH,Mandsaur,3_23_433_0
MADHYA PRADESH,Morena,3_23_419_0
MADHYA PRADESH,Narsimhapur,3_23_452_0
MADHYA PRADESH,Panna,3_23_426_0
MADHYA PRADESH,Raigarh,3_22_403_0
MADHYA PRADESH,Raipur,3_22_410_0
MADHYA PRADESH,Raisen,3_23_446_0
MADHYA PRADESH,Rajgarh,3_23_442_0
MADHYA PRADESH,Ratlam,3_23_434_0
MADHYA PRADESH,Rewa,3_23_430_0
MADHYA PRADESH,Sagar,3_23_427_0
MADHYA PRADESH,Satna,3_23_429_0
MADHYA PRADESH,Sehore,3_23_445_0
MADHYA PRADESH,Seoni,3_23_456_0
MADHYA PRADESH,Shahdol,3_23_460_0
MADHYA PRADESH,Shajapur,3_23_436_0
MADHYA PRADESH,Shivpuri,3_23_423_0
MADHYA PRADESH,Sidhi,3_23_462_0
MADHYA PRADESH,Surguja,3_22_401_0
MADHYA PRADESH,Tikamgarh,3_23_424_0
MADHYA PRADESH,Ujjain,3_23_435_0
MADHYA PRADESH,Vidisha,3_23_443_0
MADHYA PRADESH,W. Nimar (Khargoan),3_23_440_0
MAHARASHTRA,Ahmadnagar,3_27_522_0
MAHARASHTRA,Akola,3_27_501_0
MAHARASHTRA,Amravati,3_27_503_0
MAHARASHTRA,Aurangabad,3_27_515_0
MAHARASHTRA,Bhandara,3_27_506_0
MAHARASHTRA,Bid,3_27_523_0
MAHARASHTRA,Buldana,3_27_500_0
MAHARASHTRA,Chandrapur,3_27_509_0
MAHARASHTRA,Dhule,3_27_498_0
MAHARASHTRA,Gadchiroli,3_27_508_0
MAHARASHTRA,Jalgaon,3_27_499_0
MAHARASHTRA,Jalna,3_27_514_0
MAHARASHTRA,Kolhapur,3_27_530_0
MAHARASHTRA,Latur,3_27_524_0
MAHARASHTRA,Mumbai,3_27_519_0
MAHARASHTRA,Nagpur,3_27_505_0
MAHARASHTRA,Nanded,3_27_511_0
MAHARASHTRA,Nashik,3_27_516_0
MAHARASHTRA,Osmanabad,3_27_525_0
MAHARASHTRA,Parbhani,3_27_513_0
MAHARASHTRA,Pune,3_27_521_0
MAHARASHTRA,Raigarh,3_27_520_0
MAHARASHTRA,Ratnagiri,3_27_528_0
MAHARASHTRA,Sangli,3_27_531_0
MAHARASHTRA,Satara,3_27_527_0
MAHARASHTRA,Sindhudurg,3_27_529_0
MAHARASHTRA,Solapur,3_27_526_0
MAHARASHTRA,Thane,3_27_517_0
MAHARASHTRA,Wardha,3_27_504_0
MAHARASHTRA,Yavatmal,3_27_510_0
ORISSA,Balangir,3_21_393_0
ORISSA,Baleshwar,3_21_377_0
ORISSA,Cuttack,3_21_381_0
ORISSA,Dhenkanal,3_21_383_0
ORISSA,Ganjam,3_21_388_0
ORISSA,Kalahandi,3_21_395_0
ORISSA,Kendujhar,3_21_375_0
ORISSA,Khandhamal,3_21_390_0
ORISSA,Koraput,3_21_398_0
ORISSA,Mayurbhanj,3_21_376_0
ORISSA,Puri,3_21_387_0
ORISSA,Sambalpur,3_21_372_0
ORISSA,Sundargarh,3_21_374_0
PONDICHERRY,Karaikal,3_34_637_0
PONDICHERRY,Mahe,3_34_636_0
PONDICHERRY,Pondicherry,3_34_635_0
PONDICHERRY,Yanam,3_34_634_0
PUNJAB,Amritsar,3_3_49_0
PUNJAB,Bathinda,3_3_46_0
PUNJAB,Faridkot,3_3_45_0
PUNJAB,Firozpur,3_3_43_0
PUNJAB,Gurdaspur,3_3_35_0
PUNJAB,Hoshiarpur,3_3_38_0
PUNJAB,Patiala,3_3_48_0
PUNJAB,Rupnagar,3_3_51_0
