state,district,spatialId,finalId,year,mis_out_3b,mis_Y_3b,mis_L_3b,mis_T_3b,mis_KT_3b,mis_K_3b
ANDHRA PRADESH,Warangal,3_28_540_0,3_28_540_0,2e3,-0.644683,-0.535677,-0.089865,-0.03231,0.191466,0.364565
ANDHRA PRADESH,Warangal,3_28_540_0,3_28_540_0,2010.0,-0.447658,-0.610122,-0.199398,-0.105046,-0.197764,-0.403046
ANDHRA PRADESH,West Godavari,3_28_546_0,3_28_546_0,2e3,-2.099714,-2.516148,-1.093307,-1.48502,-1.51608,-1.563041
ANDHRA PRADESH,West Godavari,3_28_546_0,3_28_546_0,2010.0,-0.562118,-0.742409,-0.19131600000000001,-0.066869,-0.199362,-0.271428
BIHAR,Aurangabad,3_10_235_0,3_10_235_0,2e3,-0.526206,-0.391058,0.174668,0.116182,0.196626,0.299761
BIHAR,Aurangabad,3_10_235_0,3_10_235_0,2010.0,-0.095359,-0.059524,0.535486,0.630009,0.722345,0.845076
BIHAR,Begusarai,3_10_222_0,3_10_222_0,2e3,-0.413942,-0.306285,0.010962,0.357027,0.456388,0.566458
BIHAR,Begusarai,3_10_222_0,3_10_222_0,2010.0,-0.190276,-0.400401,0.196044,0.092712,0.008281,-0.252433
BIHAR,Bhagalpur,3_10_224_0,3_10_224_0,2e3,-0.361374,-0.475038,0.269056,0.312049,0.219382,0.023973
BIHAR,Bhagalpur,3_10_224_0,3_10_224_0,2010.0,-0.97088,-0.759379,0.186361,-0.038068,-0.169599,-0.494437
BIHAR,Bhojpur,3_10_231_0,3_10_231_0,2e3,-0.311706,-0.414748,0.006983,0.143648,0.199664,0.357857
BIHAR,Bhojpur,3_10_231_0,3_10_231_0,2010.0,-0.018453,-0.02786,0.104845,0.232769,0.242221,0.186465
BIHAR,Champaran(E),3_10_204_0,3_10_204_0,2e3,-0.300402,-0.244957,0.135387,0.369209,0.239514,0.097051
BIHAR,Champaran(E),3_10_204_0,3_10_204_0,2010.0,-0.492596,-0.389085,-0.130269,-0.235294,-0.218959,-0.178638
BIHAR,Champaran(W),3_10_203_0,3_10_203_0,2e3,-0.200275,-0.256628,0.127816,0.050588,0.103985,0.185827
BIHAR,Champaran(W),3_10_203_0,3_10_203_0,2010.0,0.887955,0.089345,0.167643,0.110982,0.116639,0.133736
BIHAR,Darbhanga,3_10_215_0,3_10_215_0,2e3,-0.232583,-0.500787,-0.259391,0.193869,0.202231,0.258588
BIHAR,Darbhanga,3_10_215_0,3_10_215_0,2010.0,-1.0371,-1.060761,0.029586,0.214535,0.067658,-0.234118
BIHAR,Deoghar,3_20_350_0,3_20_350_0,2e3,-0.766178,-0.676231,0.516135,0.688547,0.447635,-0.876525
BIHAR,Deoghar,3_20_350_0,3_20_350_0,2010.0,-0.372394,-0.227789,0.12291,-0.082963,-0.028517,0.033466
BIHAR,Dhanbad,3_20_354_0,3_20_354_0,2e3,-0.514976,-1.826652,0.082204,0.928137,0.985332,1.001291
BIHAR,Dhanbad,3_20_354_0,3_20_354_0,2010.0,-0.715651,-0.889329,-0.180702,-0.35344,-0.515556,-0.604621
BIHAR,Dumka,3_20_362_0,3_20_362_0,2e3,-0.112196,-0.097265,0.008102,0.084131,0.042115,-0.053032
BIHAR,Dumka,3_20_362_0,3_20_362_0,2010.0,-0.919476,-1.618513,-0.150907,-0.39209,-0.085807,-0.017536
BIHAR,Gaya,3_10_236_0,3_10_236_0,2e3,-0.623257,-0.66425,0.322437,0.007198,0.030038,0.141972
BIHAR,Gaya,3_10_236_0,3_10_236_0,2010.0,-0.668442,-0.682247,-0.027755,-0.131311,-0.140527,-0.012947
BIHAR,Giridih,3_20_349_0,3_20_349_0,2e3,-0.0965,-0.575912,0.107707,-0.119217,-0.009511,-0.008905
BIHAR,Giridih,3_20_349_0,3_20_349_0,2010.0,-0.645505,-0.634143,0.013712,0.23004,0.289332,0.272285
BIHAR,Godda,3_20_351_0,3_20_351_0,2e3,-0.13649,-1.058372,-0.290322,-0.551193,-0.351163,-0.198038
BIHAR,Godda,3_20_351_0,3_20_351_0,2010.0,-0.160833,-0.11098,0.248131,0.144619,0.041314,-0.38772
BIHAR,Gopalganj,3_10_217_0,3_10_217_0,2e3,-0.00972,-0.20517,0.108412,0.459656,0.48763,0.537884
BIHAR,Gopalganj,3_10_217_0,3_10_217_0,2010.0,0.307978,-0.126627,0.062569,0.150831,0.732177,1.436517
