distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
309,3_3_41_0,3_3_41_0,Ludhiana,Punjab,Ludhiana,Punjab,Ludhiana,Punjab,Ludhiana,NA,Punjab,Ludhiana,75.82217382,30.80913877,275.1001691827312,9.457012606314674,278.9600052233234,0.22490809552687197,not nodal
310,3_3_42_0,3_3_42_0,Moga,Punjab,Moga,Punjab,Moga,Punjab,Moga,NA,Punjab,Moga,75.1667055,30.76634578,307.37270187458404,64.823182681465,310.6571339329023,57.40044360045461,not nodal
311,3_3_43_0,3_3_43_0,Firozpur,Punjab,Firozpur,Punjab,Firozpur,Punjab,Firozpur,NA,Punjab,Firozpur,74.40943651,30.5621857,344.6365452152646,140.73909255651319,347.1597308678299,131.62501969168582,not nodal
316,3_3_53_0,3_3_53_0,Sangrur,Punjab,Sangrur,Punjab,Sangrur,Punjab,Sangrur,Barnala district split from Sangrur,Punjab,Sangrur,75.86217367,30.2166772,217.82398063296475,62.174167816409074,221.28572454365496,28.915467699772627,not nodal
317,3_3_48_0,3_3_48_0,Patiala,Punjab,Patiala,Punjab,Patiala,Punjab,Patiala,Mohali district formed from parts of Patiala and Rupnagar,Punjab,Patiala,76.34444124,30.27666557,199.38503118860132,30.25751691328445,203.43779268263665,15.061869860487583,not nodal
404,3_4_55_0,3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,NA,Chandigarh,Chandigarh,76.78375411,30.72977771,234.63420444006567,33.63748604470837,239.4271881570075,76.15015292670844,not nodal
505,3_5_60_0,3_5_60_0,Dehradun,Uttarakhand,Dehradun,Uttaranchal,Dehradun,Uttarakhand,Dehradun (P),NA,Uttarakhand,Dehradun,77.96459626,30.46952453,213.67096853872857,107.40878716224447,219.55233636432177,162.10269786608083,not nodal
508,3_5_63_0,3_5_63_0,Bageshwar,Uttarakhand,Bageshwar,Uttaranchal,Bageshwar,Uttarakhand,Bageshwar,NA,Uttarakhand,Bageshwar,79.85706904,29.99617688,294.967554878184,278.8813357517044,259.6974875577043,299.23626025852457,not nodal
509,3_5_64_0,3_5_64_0,Almora,Uttarakhand,Almora,Uttaranchal,Almora,Uttarakhand,Almora,NA,Uttarakhand,Almora,79.50174645,29.68925975,247.9539247501259,243.28571421368142,213.06322620550685,253.25024946358036,not nodal
511,3_5_66_0,3_5_66_0,Nainital,Uttarakhand,Nainital,Uttaranchal,Nainital,Uttarakhand,Nainital (P),NA,Uttarakhand,Nainital,79.45260183,29.3193044,225.02885917020376,228.18816909137232,174.94786714388184,230.82302973875042,not nodal
