distCode,distName,spatialId,finalId
1022,Bhagal Pur,3_10_224_0,3_10_224_0
1023,Banka,3_10_225_0,3_10_225_0
1026,Sheikhpura,3_10_228_0,3_10_228_0
1027,Nalanda,3_10_229_0,3_10_229_0
1028,Patna,3_10_230_0,3_10_230_0
1030,Buxar,3_10_232_0,3_10_232_0
1031,Kaimur (Bhabua),3_10_233_0,3_10_233_0
1032,Rohtas,3_10_234_0,3_10_234_0
1035,Gaya,3_10_236_0,3_10_236_0
1104,East Sikkim,3_11_244_0,3_11_244_0
1204,Papujm Prae,3_12_248_0,3_12_248_0
1303,Mokochung,3_13_262_0,3_13_262_0
1305,Wokkha,3_13_264_0,3_13_264_0
1306,Dimapur,3_13_265_0,3_13_265_0
1307,Kohima,3_13_270_0,3_13_270_0
1405,Tamenglong,3_14_273_0,3_14_273_0
1406,Imphal West,3_14_277_0,3_14_277_0
1407,Imphal East,3_14_278_0,3_14_278_0
1503,Aizawl,3_15_283_0,3_15_283_0
1601,West Tripura,3_16_289_0,3_16_289_0
1602,South Tripura,3_16_290_0,3_16_290_0
1705,RBHOI,3_17_297_0,3_17_297_0
1706,East Khasi Hills,3_17_298_0,3_17_298_0
1707,Jaintia Hills,3_17_299_0,3_17_299_0
1802,Dhubri,3_18_301_0,3_18_301_0
1803,Goalpara,3_18_302_0,3_18_302_0
1806,Kamrup,3_18_321_0,3_18_303_0
1809,Marigaon,3_18_304_0,3_18_304_0
1814,Tinsukia,3_18_309_0,3_18_309_0
1817,Jorhat,3_18_312_0,3_18_312_0
1819,Karbi Amglong,3_18_314_0,3_18_314_0
1821,Cachar,3_18_316_0,3_18_316_0
1901,Darjiling,3_19_327_0,3_19_327_0
1902,Jalapiguri,3_19_328_0,3_19_328_0
1904,Uttar Dinajpur,3_19_330_0,3_19_330_0
1906,Maldah,3_19_332_0,3_19_332_0
1907,Murshidabad,3_19_333_0,3_19_333_0
1908,Birbhum,3_19_334_0,3_19_334_0
1909,Barddhaman,3_19_335_0,3_19_335_0
1910,Nadia,3_19_336_0,3_19_336_0
1911,North 24 Parganas,3_19_337_0,3_19_337_0
1912,Hugli,3_19_338_0,3_19_338_0
1913,Bankura,3_19_339_0,3_19_339_0
1916,Haora,3_19_341_0,3_19_341_0
1917,Kolkata,3_19_342_0,3_19_342_0
1918,South 24 Parganas,3_19_343_0,3_19_343_0
2002,Palamu,3_20_358_0,3_20_359_0
2012,Dhanbad,3_20_354_0,3_20_354_0
2013,Bokaro,3_20_355_0,3_20_355_0
2014,Ranchi,3_20_364_0,3_20_364_0
2017,Pashchimi Singbhum,3_20_368_0,3_20_368_0
2018,Purbi Singhbhum,3_20_357_0,3_20_357_0
2101,Bargarh,3_21_370_0,3_21_370_0
2102,Jharsuguda,3_21_371_0,3_21_371_0
2103,Sambalpur,3_21_372_0,3_21_372_0
2105,Sundargarh,3_21_374_0,3_21_374_0
2106,Kendujhar,3_21_375_0,3_21_375_0
2107,Mayurbhanj,3_21_376_0,3_21_376_0
2108,Baleshwar,3_21_377_0,3_21_377_0
2109,Bhadrak,3_21_378_0,3_21_378_0
2112,Cuttack,3_21_381_0,3_21_381_0
2113,Jajapur,3_21_382_0,3_21_382_0
2114,Dhenkanal,3_21_383_0,3_21_383_0
2115,Anugul,3_21_384_0,3_21_384_0
2116,Nayagarh,3_21_385_0,3_21_385_0
2117,Khordha,3_21_386_0,3_21_386_0
2118,Puri,3_21_387_0,3_21_387_0
2119,Ganjam,3_21_388_0,3_21_388_0
2120,Gajapati,3_21_389_0,3_21_389_0
2121,Kandhamal,3_21_390_0,3_21_390_0
2122,Baudh,3_21_391_0,3_21_391_0
2123,Sonapur,3_21_392_0,3_21_392_0
2124,Balangir,3_21_393_0,3_21_393_0
2126,Kalahandi,3_21_395_0,3_21_395_0
2127,Rayagada,3_21_396_0,3_21_396_0
2128,Nabarangapur,3_21_397_0,3_21_397_0
2129,Koraput,3_21_398_0,3_21_398_0
2130,Malkangiri,3_21_399_0,3_21_399_0
2201,Koriya,3_22_400_0,3_22_400_0
2202,Sarguja,3_22_401_0,3_22_401_0
2203,Jashpur,3_22_402_0,3_22_402_0
2204,Raigarh,3_22_403_0,3_22_403_0
2205,Korba,3_22_404_0,3_22_404_0
2206,Janjgir,3_22_405_0,3_22_405_0
2207,Bilas Pur,3_22_406_0,3_22_406_0
2208,Kawardha,3_22_407_0,3_22_407_0
2209,Rajnandgaon,3_22_408_0,3_22_408_0
2210,Durg,3_22_409_0,3_22_409_0
2211,Raipur,3_22_410_0,3_22_410_0
2212,Mahasamund,3_22_411_0,3_22_411_0
2213,Dhamtari,3_22_412_0,3_22_412_0
2214,Kanker,3_22_413_0,3_22_413_0
2215,Bastar,3_22_414_0,3_22_414_0
2301,Sheopur,3_23_418_0,3_23_418_0
2302,Morena,3_23_419_0,3_23_419_0
2304,Gwalior,3_23_421_0,3_23_421_0
2305,Datia,3_23_422_0,3_23_422_0
2308,Tikamgarh,3_23_424_0,3_23_424_0
2309,Chhatarpur,3_23_425_0,3_23_425_0
2310,Panna,3_23_426_0,3_23_426_0
2312,Damoh,3_23_428_0,3_23_428_0
2313,Satna,3_23_429_0,3_23_429_0
2315,Umaria,3_23_431_0,3_23_431_0
2316,Shahdol,3_23_460_0,3_23_460_0
2317,Sidhi,3_23_462_0,3_23_462_0
2320,Ratlam,3_23_434_0,3_23_434_0
2321,Ujjain,3_23_435_0,3_23_435_0
2322,Shajapur,3_23_436_0,3_23_436_0
2323,Dewas,3_23_437_0,3_23_437_0
2325,Dhar,3_23_438_0,3_23_438_0
2326,Indore,3_23_439_0,3_23_439_0
2327,West Nimar,3_23_440_0,3_23_440_0
2328,Barwani,3_23_441_0,3_23_441_0
2329,East Nimar,3_23_466_0,3_23_466_0
2330,Rajgarh,3_23_442_0,3_23_442_0
2332,Bhopal,3_23_444_0,3_23_444_0
2335,Betul,3_23_447_0,3_23_447_0
2336,Harda,3_23_448_0,3_23_448_0
2337,Hoshangabad,3_23_449_0,3_23_449_0
2338,Katni,3_23_450_0,3_23_450_0
2339,Jabalpur,3_23_451_0,3_23_451_0
2341,Dindori,3_23_453_0,3_23_453_0
2342,Mandla,3_23_454_0,3_23_454_0
2344,Seoni,3_23_456_0,3_23_456_0
2401,Kachchh,3_24_468_0,3_24_468_0
2403,Patan,3_24_470_0,3_24_470_0
2404,Mahesana,3_24_471_0,3_24_471_0
2406,Gandhinagar,3_24_473_0,3_24_473_0
2407,Ahmedabad,3_24_474_0,3_24_474_0
