distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
2118,3_21_387_0,3_21_387_0,Puri,Odisha,Puri,Orissa,Puri,Orissa,Puri,NA
2119,3_21_388_0,3_21_388_0,Ganjam,Odisha,Ganjam,Orissa,Ganjam,Orissa,Ganjam,NA
2120,3_21_389_0,3_21_389_0,Gajapati,Odisha,Gajapati,Orissa,Gajapati,Orissa,Gajapati,NA
2121,3_21_390_0,3_21_390_0,Kandhamal,Odisha,Kandhamal,Orissa,Kandhamal,Orissa,Kandhamal,NA
2122,3_21_391_0,3_21_391_0,Baudh,Odisha,Baudh,Orissa,Baudh,Orissa,Baudh,NA
2123,3_21_392_0,3_21_392_0,Sonapur,Odisha,Subarnapur,Orissa,Sonapur,Orissa,Sonapur,NA
2124,3_21_393_0,3_21_393_0,Balangir,Odisha,Balangir,Orissa,Balangir,Orissa,Balangir,NA
2126,3_21_395_0,3_21_395_0,Kalahandi,Odisha,Kalahandi,Orissa,Kalahandi,Orissa,Kalahandi,NA
2127,3_21_396_0,3_21_396_0,Rayagada,Odisha,Rayagada,Orissa,Rayagada,Orissa,Rayagada,NA
2128,3_21_397_0,3_21_397_0,Nabarangapur,Odisha,Nabarangapur,Orissa,Nabarangapur,Orissa,Nabarangapur,NA
2129,3_21_398_0,3_21_398_0,Koraput,Odisha,Koraput,Orissa,Koraput,Orissa,Koraput,NA
2130,3_21_399_0,3_21_399_0,Malkangiri,Odisha,Malkangiri,Orissa,Malkangiri,Orissa,Malkangiri,NA
2201,3_22_400_0,3_22_400_0,Koriya,Chhattisgarh,Koriya,Chhatisgarh,Koria,Chhattisgarh,Koriya,NA
2202,3_22_401_0,3_22_401_0,Sarguja,Chhattisgarh,Surguja,Chhatisgarh,Surguja,Chhattisgarh,Surguja,NA
2203,3_22_402_0,3_22_402_0,Jashpur,Chhattisgarh,Jashpur,Chhatisgarh,Jashpur,Chhattisgarh,Jashpur,NA
2204,3_22_403_0,3_22_403_0,Raigarh,Chhattisgarh,Raigarh,Chhatisgarh,Raigarh,Chhattisgarh,Raigarh,NA
2205,3_22_404_0,3_22_404_0,Korba,Chhattisgarh,Korba,Chhatisgarh,Korba,Chhattisgarh,Korba,NA
2206,3_22_405_0,3_22_405_0,Janjgir,Chhattisgarh,Janjgir - Champa,Chhatisgarh,Janjgir-Champa,Chhattisgarh,Janjgir-Champa,NA
2207,3_22_406_0,3_22_406_0,Bilas Pur,Chhattisgarh,Bilaspur,Chhatisgarh,Bilaspur,Chhattisgarh,Bilaspur,NA
2208,3_22_407_0,3_22_407_0,Kawardha,Chhattisgarh,Kabeerdham,Chhatisgarh,Kawardha,Chhattisgarh,Kawardha,NA
2209,3_22_408_0,3_22_408_0,Rajnandgaon,Chhattisgarh,Rajnandgaon,Chhatisgarh,Rajnandgaon,Chhattisgarh,Rajnandgaon,NA
2210,3_22_409_0,3_22_409_0,Durg,Chhattisgarh,Durg,Chhatisgarh,Durg,Chhattisgarh,Durg,NA
2211,3_22_410_0,3_22_410_0,Raipur,Chhattisgarh,Raipur,Chhatisgarh,Raipur,Chhattisgarh,Raipur,NA
2212,3_22_411_0,3_22_411_0,Mahasamund,Chhattisgarh,Mahasamund,Chhatisgarh,Mahasamund,Chhattisgarh,Mahasamund,NA
2213,3_22_412_0,3_22_412_0,Dhamtari,Chhattisgarh,Dhamtari,Chhatisgarh,Dhamtari,Chhattisgarh,Dhamtari,NA
2214,3_22_413_0,3_22_413_0,Kanker,Chhattisgarh,Uttar Bastar Kanker,Chhatisgarh,Kanker,Chhattisgarh,Kanker,NA
2215,3_22_414_0,3_22_414_0,Bastar,Chhattisgarh,Bastar,Chhatisgarh,Bastar,Chhattisgarh,Bastar,Narayanpur district split from Bastar.
2301,3_23_418_0,3_23_418_0,Sheopur,Madhya Pradesh,Sheopur,Madhya Pradesh,Sheopur,Madhya Pradesh,Sheopur,NA
2302,3_23_419_0,3_23_419_0,Morena,Madhya Pradesh,Morena,Madhya Pradesh,Morena,Madhya Pradesh,Morena,NA
2304,3_23_421_0,3_23_421_0,Gwalior,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,Madhya Pradesh,Gwalior,NA
2305,3_23_422_0,3_23_422_0,Datia,Madhya Pradesh,Datia,Madhya Pradesh,Datia,Madhya Pradesh,Datia,NA
2308,3_23_424_0,3_23_424_0,Tikamgarh,Madhya Pradesh,Tikamgarh,Madhya Pradesh,Tikamgarh,Madhya Pradesh,Tikamgarh,NA
2309,3_23_425_0,3_23_425_0,Chhatarpur,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,Madhya Pradesh,Chhatarpur,NA
2310,3_23_426_0,3_23_426_0,Panna,Madhya Pradesh,Panna,Madhya Pradesh,Panna,Madhya Pradesh,Panna,NA
2312,3_23_428_0,3_23_428_0,Damoh,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,Madhya Pradesh,Damoh,NA
2313,3_23_429_0,3_23_429_0,Satna,Madhya Pradesh,Satna,Madhya Pradesh,Satna,Madhya Pradesh,Satna,NA
2315,3_23_431_0,3_23_431_0,Umaria,Madhya Pradesh,Umaria,Madhya Pradesh,Umaria,Madhya Pradesh,Umaria,NA
2316,3_23_460_0,3_23_460_0,Shahdol,Madhya Pradesh,Shahdol,Madhya Pradesh,Shahdol,Madhya Pradesh,Shahdol,Anuppur district split from Shahdol
2317,3_23_462_0,3_23_462_0,Sidhi,Madhya Pradesh,Sidhi,Madhya Pradesh,Sidhi,Madhya Pradesh,Sidhi,Singrauli district split from Sidhi
2320,3_23_434_0,3_23_434_0,Ratlam,Madhya Pradesh,Ratlam,Madhya Pradesh,Ratlam,Madhya Pradesh,Ratlam,NA
2321,3_23_435_0,3_23_435_0,Ujjain,Madhya Pradesh,Ujjain,Madhya Pradesh,Ujjain,Madhya Pradesh,Ujjain,NA
2322,3_23_436_0,3_23_436_0,Shajapur,Madhya Pradesh,Shajapur,Madhya Pradesh,Shajapur,Madhya Pradesh,Shajapur,NA
2323,3_23_437_0,3_23_437_0,Dewas,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,Madhya Pradesh,Dewas,NA
2325,3_23_438_0,3_23_438_0,Dhar,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,NA
2326,3_23_439_0,3_23_439_0,Indore,Madhya Pradesh,Indore,Madhya Pradesh,Indore,Madhya Pradesh,Indore,NA
2327,3_23_440_0,3_23_440_0,West Nimar,Madhya Pradesh,Khargone (West Nimar),Madhya Pradesh,West Nimar,Madhya Pradesh,W. Nimar,NA
2328,3_23_441_0,3_23_441_0,Barwani,Madhya Pradesh,Barwani,Madhya Pradesh,Barwani,Madhya Pradesh,(Khargoan) Barwani,NA
2329,3_23_466_0,3_23_466_0,East Nimar,Madhya Pradesh,Khandwa (East Nimar),Madhya Pradesh,East Nimar,Madhya Pradesh,E. Nimar,Burhanpur district split from Khandwa (East Nimar)
2330,3_23_442_0,3_23_442_0,Rajgarh,Madhya Pradesh,Rajgarh,Madhya Pradesh,Rajgarh,Madhya Pradesh,Rajgarh,NA
2332,3_23_444_0,3_23_444_0,Bhopal,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,Madhya Pradesh,Bhopal,NA
2335,3_23_447_0,3_23_447_0,Betul,Madhya Pradesh,Betul,Madhya Pradesh,Betul,Madhya Pradesh,Betul,NA
2336,3_23_448_0,3_23_448_0,Harda,Madhya Pradesh,Harda,Madhya Pradesh,Harda,Madhya Pradesh,Harda,NA
2337,3_23_449_0,3_23_449_0,Hoshangabad,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,Madhya Pradesh,Hoshangabad,NA
2338,3_23_450_0,3_23_450_0,Katni,Madhya Pradesh,Katni,Madhya Pradesh,Katni,Madhya Pradesh,Katni,NA
2339,3_23_451_0,3_23_451_0,Jabalpur,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,Madhya Pradesh,Jabalpur,NA
2341,3_23_453_0,3_23_453_0,Dindori,Madhya Pradesh,Dindori,Madhya Pradesh,Dindori,Madhya Pradesh,Dindori,NA
2342,3_23_454_0,3_23_454_0,Mandla,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,Madhya Pradesh,Mandla,NA
2344,3_23_456_0,3_23_456_0,Seoni,Madhya Pradesh,Seoni,Madhya Pradesh,Seoni,Madhya Pradesh,Seoni,NA
2401,3_24_468_0,3_24_468_0,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,NA
2403,3_24_470_0,3_24_470_0,Patan,Gujarat,Patan,Gujarat,Patan,Gujarat,Patan,NA
2404,3_24_471_0,3_24_471_0,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,NA
2406,3_24_473_0,3_24_473_0,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,NA
2407,3_24_474_0,3_24_474_0,Ahmedabad,Gujarat,Ahmadabad,Gujarat,Ahmadabad,Gujarat,Ahmedabad,NA
2408,3_24_475_0,3_24_475_0,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,NA
2409,3_24_476_0,3_24_476_0,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,NA
2410,3_24_477_0,3_24_477_0,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,NA
2412,3_24_479_0,3_24_479_0,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,NA
2413,3_24_480_0,3_24_480_0,Amreli,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,NA
2414,3_24_481_0,3_24_481_0,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,NA
2415,3_24_482_0,3_24_482_0,Anand,Gujarat,Anand,Gujarat,Anand,Gujarat,Anand,NA
2416,3_24_483_0,3_24_483_0,Kheda,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,NA
2419,3_24_486_0,3_24_486_0,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,NA
2420,3_24_487_0,3_24_487_0,Narmada,Gujarat,Narmada,Gujarat,Narmada,Gujarat,Narmada,NA
2421,3_24_488_0,3_24_488_0,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,NA
2422,3_24_492_0,3_24_492_0,Surat,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,Tapi district split from Surat
2501,3_25_494_0,3_25_494_0,Diu,Daman & Diu,Diu,Daman & Diu,Diu,Daman & Diu,Diu,NA
2502,3_25_495_0,3_25_495_0,Daman,Daman & Diu,Daman,Daman & Diu,Daman,Daman & Diu,Daman,NA
2601,3_26_496_0,3_26_496_0,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,D & N Haveli,D & N  Haveli,NA
2701,3_27_497_0,3_27_497_0,Nandurbar,Maharashtra,Nandurbar,Maharashtra,Nandurbar,Maharashtra,Nandurbar,NA
2702,3_27_498_0,3_27_498_0,Dhule,Maharashtra,Dhule,Maharashtra,Dhule,Maharashtra,Dhule,NA
2703,3_27_499_0,3_27_499_0,Jalgaon,Maharashtra,Jalgaon,Maharashtra,Jalgaon,Maharashtra,Jalgaon,NA
2705,3_27_501_0,3_27_501_0,Akola,Maharashtra,Akola,Maharashtra,Akola,Maharashtra,Akola,NA
2706,3_27_502_0,3_27_502_0,Washim,Maharashtra,Washim,Maharashtra,Washim,Maharashtra,Washim,NA
2707,3_27_503_0,3_27_503_0,Amarawti,Maharashtra,Amravati,Maharashtra,Amaravati,Maharashtra,Amravati,NA
2708,3_27_504_0,3_27_504_0,Wardha,Maharashtra,Wardha,Maharashtra,Wardha,Maharashtra,Wardha,NA
2709,3_27_505_0,3_27_505_0,Nagpur,Maharashtra,Nagpur,Maharashtra,Nagpur,Maharashtra,Nagpur,NA
2710,3_27_506_0,3_27_506_0,Bhandara,Maharashtra,Bhandara,Maharashtra,Bhandara,Maharashtra,Bhandara,NA
2711,3_27_507_0,3_27_507_0,Gondiya,Maharashtra,Gondiya,Maharashtra,Gondiya,Maharashtra,Gondiya,NA
2713,3_27_509_0,3_27_509_0,Chandrapur,Maharashtra,Chandrapur,Maharashtra,Chandrapur,Maharashtra,Chandrapur,NA
2714,3_27_510_0,3_27_510_0,Yavatmal,Maharashtra,Yavatmal,Maharashtra,Yavatmal,Maharashtra,Yavatmal,NA
2715,3_27_511_0,3_27_511_0,Nanded,Maharashtra,Nanded,Maharashtra,Nanded,Maharashtra,Nanded,NA
2716,3_27_512_0,3_27_512_0,Hingoli,Maharashtra,Hingoli,Maharashtra,Hingoli,Maharashtra,Hingoli,NA
2717,3_27_513_0,3_27_513_0,Parbhani,Maharashtra,Parbhani,Maharashtra,Parbhani,Maharashtra,Parbhani,NA
2718,3_27_514_0,3_27_514_0,Jalna,Maharashtra,Jalna,Maharashtra,Jalna,Maharashtra,Jalna,NA
2720,3_27_516_0,3_27_516_0,Nasik,Maharashtra,Nashik,Maharashtra,Nashik,Maharashtra,Nashik,NA
2721,3_27_517_0,3_27_517_0,Thane,Maharashtra,Thane,Maharashtra,Thane,Maharashtra,Thane,NA
2723,3_27_519_0,3_27_519_0,Mumbai,Maharashtra,Mumbai,Maharashtra,Mumbai,Maharashtra,Mumbai,NA
2725,3_27_521_0,3_27_521_0,Pune,Maharashtra,Pune,Maharashtra,Pune,Maharashtra,Pune,NA
2726,3_27_522_0,3_27_522_0,Ahmadnagar,Maharashtra,Ahmadnagar,Maharashtra,Ahmadnagar,Maharashtra,Ahmadnagar,NA
2727,3_27_523_0,3_27_523_0,Bid,Maharashtra,Bid,Maharashtra,Bid,Maharashtra,Bid,NA
2729,3_27_525_0,3_27_525_0,Osmanabad,Maharashtra,Osmanabad,Maharashtra,Osamanabad,Maharashtra,Osmanabad,NA
2730,3_27_526_0,3_27_526_0,Solapur,Maharashtra,Solapur,Maharashtra,Solapur,Maharashtra,Solapur,NA
2731,3_27_527_0,3_27_527_0,Satara,Maharashtra,Satara,Maharashtra,Satara,Maharashtra,Satara,NA
2732,3_27_528_0,3_27_528_0,Ratnagiri,Maharashtra,Ratnagiri,Maharashtra,Ratnagiri,Maharashtra,Ratnagiri,NA
2734,3_27_530_0,3_27_530_0,Kolhapur,Maharashtra,Kolhapur,Maharashtra,Kolhapur,Maharashtra,Kolhapur,NA
2801,3_28_532_0,3_28_532_0,Adilabad,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,NA
2802,3_28_533_0,3_28_533_0,Nizamabad,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,NA
2803,3_28_534_0,3_28_534_0,Karimnagar,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,NA
2804,3_28_535_0,3_28_535_0,Medak,Andhra Pradesh,Medak,Andhra Pradesh,Medak,Andhra Pradesh,Medak,NA
2805,3_28_536_0,3_28_536_0,Hyderabad,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,NA
2806,3_28_537_0,3_28_537_0,Rangareddi,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,Andhra Pradesh,Rangareddi,NA
2807,3_28_538_0,3_28_538_0,Mahbubnagar,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,NA
2810,3_28_541_0,3_28_541_0,Khammam,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,NA
2813,3_28_544_0,3_28_544_0,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,NA
2814,3_28_545_0,3_28_545_0,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,NA
2815,3_28_546_0,3_28_546_0,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,NA
2816,3_28_547_0,3_28_547_0,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,NA
2817,3_28_548_0,3_28_548_0,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,NA
2818,3_28_549_0,3_28_549_0,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,NA
2819,3_28_550_0,3_28_550_0,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,NA
2820,3_28_551_0,3_28_551_0,Cuddapah,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,NA
2821,3_28_552_0,3_28_552_0,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,NA
2822,3_28_553_0,3_28_553_0,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,NA
2823,3_28_554_0,3_28_554_0,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,NA
2901,3_29_555_0,3_29_555_0,Belgaum,Karnataka,Belgaum,Karnataka,Belgaum,Karnataka,Belgaum,NA
2902,3_29_556_0,3_29_556_0,Bagalkot,Karnataka,Bagalkot,Karnataka,Bagalkot,Karnataka,Bagalkot,NA
2903,3_29_557_0,3_29_557_0,Bijapur,Karnataka,Bijapur,Karnataka,Bijapur,Karnataka,Bijapur,NA
2905,3_29_558_0,3_29_558_0,Bidar,Karnataka,Bidar,Karnataka,Bidar,Karnataka,Bidar,NA
2906,3_29_559_0,3_29_559_0,Raichur,Karnataka,Raichur,Karnataka,Raichur,Karnataka,Raichur,NA
2907,3_29_560_0,3_29_560_0,Koppal,Karnataka,Koppal,Karnataka,Koppal,Karnataka,Koppal,NA
2908,3_29_561_0,3_29_561_0,Gadag,Karnataka,Gadag,Karnataka,Gadag,Karnataka,Gadag,NA
2909,3_29_562_0,3_29_562_0,Dharwad,Karnataka,Dharwad,Karnataka,Dharwad,Karnataka,Dharwad,NA
2910,3_29_563_0,3_29_563_0,Uttar Kannad,Karnataka,Uttara Kannada,Karnataka,Uttara Kannada,Karnataka,Uttara Kannada,NA
2911,3_29_564_0,3_29_564_0,Haveri,Karnataka,Haveri,Karnataka,Haveri,Karnataka,Haveri,NA
2912,3_29_565_0,3_29_565_0,Bellary,Karnataka,Bellary,Karnataka,Bellary,Karnataka,Bellary,NA
2913,3_29_566_0,3_29_566_0,Chitradurga,Karnataka,Chitradurga,Karnataka,Chitradurga,Karnataka,Chitradurga,NA
2914,3_29_567_0,3_29_567_0,Davanagere,Karnataka,Davanagere,Karnataka,Davanagere,Karnataka,Davanagere,NA
2915,3_29_568_0,3_29_568_0,Shimoga,Karnataka,Shimoga,Karnataka,Shimoga,Karnataka,Shimoga,NA
2916,3_29_569_0,3_29_569_0,Udupi,Karnataka,Udupi,Karnataka,Udupi,Karnataka,Udupi,NA
2917,3_29_570_0,3_29_570_0,Chikmagalur,Karnataka,Chikmagalur,Karnataka,Chikmagalur,Karnataka,Chikmagalur,NA
2918,3_29_571_0,3_29_571_0,Tumkur,Karnataka,Tumkur,Karnataka,Tumkur,Karnataka,Tumkur,NA
2919,3_29_581_0,3_29_581_0,Kolar,Karnataka,Kolar,Karnataka,Kolar,Karnataka,Kolar,Chikkaballapur district split from Kolar
2920,3_29_572_0,3_29_572_0,Bangalore,Karnataka,Bangalore,Karnataka,Bangalore,Karnataka,Bangalore,NA
2921,3_29_583_0,3_29_583_0,Bangalore Rural,Karnataka,Bangalore Rural,Karnataka,Bangalore (Rural),Karnataka,Bangalore (Rural),Ramanagara district split from Bangalore Rural
2922,3_29_573_0,3_29_573_0,Mandya,Karnataka,Mandya,Karnataka,Mandya,Karnataka,Mandya,NA
2924,3_29_575_0,3_29_575_0,Dakshin Kannada,Karnataka,Dakshina Kannada,Karnataka,Dakshina Kannada,Karnataka,Dakshina Kannada,NA
2925,3_29_576_0,3_29_576_0,Kodagu,Karnataka,Kodagu,Karnataka,Kodagu,Karnataka,Kodagu,NA
2926,3_29_577_0,3_29_577_0,Mysore,Karnataka,Mysore,Karnataka,Mysore,Karnataka,Mysore,NA
2927,3_29_578_0,3_29_578_0,Chamarajanagar,Karnataka,Chamarajanagar,Karnataka,Chamarajanagar,Karnataka,Chamarajanagar,NA
3001,3_30_585_0,3_30_585_0,North Goa,Goa,North Goa,Goa,North Goa,Goa,North Goa,NA
3002,3_30_586_0,3_30_586_0,South Goa,Goa,South Goa,Goa,South Goa,Goa,South Goa,NA
3202,3_32_589_0,3_32_589_0,Kannur,Kerala,Kannur,Kerala,Kannur,Kerala,Kannur,NA
3204,3_32_591_0,3_32_591_0,Kozhikode,Kerala,Kozhikode,Kerala,Kozhikode,Kerala,Kozhikode,NA
3205,3_32_592_0,3_32_592_0,Malappuram,Kerala,Malappuram,Kerala,Malappuram,Kerala,Malappuram,NA
3206,3_32_593_0,3_32_593_0,Palakkad,Kerala,Palakkad,Kerala,Palakkad,Kerala,Palakkad,NA
3207,3_32_594_0,3_32_594_0,Thrissur,Kerala,Thrissur,Kerala,Thrissur,Kerala,Thrissur,NA
3208,3_32_595_0,3_32_595_0,Ernakulam,Kerala,Ernakulam,Kerala,Ernakulam,Kerala,Ernakulam,NA
3209,3_32_596_0,3_32_596_0,Idukki,Kerala,Idukki,Kerala,Idukki,Kerala,Idukki,NA
3210,3_32_597_0,3_32_597_0,Kottayam,Kerala,Kottayam,Kerala,Kottayam,Kerala,Kottayam,NA
3211,3_32_598_0,3_32_598_0,Alappuzha,Kerala,Alappuzha,Kerala,Alappuzha,Kerala,Alappuzha,NA
3212,3_32_599_0,3_32_599_0,Pathanamthitta,Kerala,Pathanamthitta,Kerala,Pathanamthitta,Kerala,Pathanamthitta,NA
3213,3_32_600_0,3_32_600_0,Kollam,Kerala,Kollam,Kerala,Kollam,Kerala,Kollam,NA
3214,3_32_601_0,3_32_601_0,Thiruvananthapuram,Kerala,Thiruvananthapuram,Kerala,Thiruvanantha- puram,Kerala,Thiruvanantha- puram,NA
3301,3_33_602_0,3_33_602_0,Thiruvallur,Tamil Nadu,Thiruvallur,Tamil Nadu,Tiruvallur,Tamil Nadu,Thiruvallur,NA
3302,3_33_603_0,3_33_603_0,Chennai,Tamil Nadu,Chennai,Tamil Nadu,Chennai,Tamil Nadu,Chennai,NA
3303,3_33_604_0,3_33_604_0,Kancheepuram,Tamil Nadu,Kancheepuram,Tamil Nadu,Kanchipuram,Tamil Nadu,Kancheepuram,NA
3304,3_33_605_0,3_33_605_0,Vellore,Tamil Nadu,Vellore,Tamil Nadu,Vellore,Tamil Nadu,Vellore,NA
3305,3_33_630_0,3_33_630_0,Dharampuri,Tamil Nadu,Dharmapuri,Tamil Nadu,Dharmapuri,Tamil Nadu,Dharmapuri,Krishnagiri district split from Dharmapuri
3306,3_33_606_0,3_33_606_0,Tiruvannamalai,Tamil Nadu,Tiruvannamalai,Tamil Nadu,Tiruvannamalai,Tamil Nadu,Tiruvanamalai,NA
3309,3_33_609_0,3_33_609_0,Namakkal,Tamil Nadu,Namakkal,Tamil Nadu,Namakkal,Tamil Nadu,Namakkal,NA
3310,3_33_610_0,3_33_632_0,Erode,Tamil Nadu,Erode,Tamil Nadu,Erode,Tamil Nadu,Erode,Tiruppur district formed from parts of Coimbatore and Erode
3312,3_33_632_0,3_33_632_0,Coimbatore,Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Tiruppur district formed from parts of Coimbatore and Erode
3313,3_33_612_0,3_33_612_0,Dindigul,Tamil Nadu,Dindigul,Tamil Nadu,Dindigul,Tamil Nadu,Dindigul,NA
3314,3_33_613_0,3_33_613_0,Karur,Tamil Nadu,Karur,Tamil Nadu,Karur,Tamil Nadu,Karur,NA
3315,3_33_614_0,3_33_614_0,Tiruchchirappalli,Tamil Nadu,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,NA
3316,3_33_615_0,3_33_615_0,Perambalur,Tamil Nadu,Perambalur,Tamil Nadu,Perambalur,Tamil Nadu,Perambalur,NA
3317,3_33_616_0,3_33_616_0,Ariyalur,Tamil Nadu,Ariyalur,Tamil Nadu,Ariyalur,Tamil Nadu,Ariyalur,NA
3323,3_33_622_0,3_33_622_0,Sivaganga,Tamil Nadu,Sivaganga,Tamil Nadu,Sivaganga,Tamil Nadu,Sivaganga,NA
3324,3_33_623_0,3_33_623_0,Madurai,Tamil Nadu,Madurai,Tamil Nadu,Madurai,Tamil Nadu,Madurai,NA
3325,3_33_624_0,3_33_624_0,Theni,Tamil Nadu,Theni,Tamil Nadu,Theni,Tamil Nadu,Theni,NA
3327,3_33_626_0,3_33_626_0,Ramanathapuram,Tamil Nadu,Ramanathapuram,Tamil Nadu,Ramanathapuram,Tamil Nadu,Ramanathapuram,NA
3328,3_33_627_0,3_33_627_0,Thoothukkudi,Tamil Nadu,Thoothukkudi,Tamil Nadu,Thoothukudi,Tamil Nadu,Toothukudi,NA
3329,3_33_628_0,3_33_628_0,Tirunelveli,Tamil Nadu,Tirunelveli,Tamil Nadu,Tirunelveli,Tamil Nadu,Tirunelveli,NA
3330,3_33_629_0,3_33_629_0,Kanniyakumari,Tamil Nadu,Kanniyakumari,Tamil Nadu,Kanniyakumari,Tamil Nadu,Kanniyakumari,NA
3402,3_34_635_0,3_34_635_0,Pondicherry,Puducherry,Puducherry,Pondicherry,Pondicherry,Puducherry,Pondicherry,NA
4902,3_9_172_0,3_9_172_0,Fatehpur,Uttar Pradesh,Fatehpur,Uttar Pradesh,Fatehpur,Uttar Pradesh,Fatehpur,NA
