distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
613,3_6_81_0,3_6_81_0,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,Haryana,Bhiwani,NA
617,3_6_85_0,3_6_85_0,Rewari,Haryana,Rewari,Haryana,Rewari,Haryana,Rewari,NA
618,3_6_86_0,3_6_86_0,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Haryana,Gurgaon,Mewat district split from Gurgaon
619,3_6_88_0,3_6_88_0,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Haryana,Faridabad,Palwal district split from Faridabad
701,3_7_90_0,3_7_90_0,North West,NCT Of Delhi,North West,Delhi,North West,Delhi,North West,NA
702,3_7_91_0,3_7_91_0,North,NCT Of Delhi,North,Delhi,North,Delhi,North,NA
703,3_7_92_0,3_7_92_0,North East,NCT Of Delhi,North East,Delhi,North East,Delhi,North East,NA
704,3_7_93_0,3_7_93_0,East,NCT Of Delhi,East,Delhi,East,Delhi,East,NA
707,3_7_96_0,3_7_96_0,West,NCT Of Delhi,West,Delhi,West,Delhi,West,NA
708,3_7_97_0,3_7_97_0,South West,NCT Of Delhi,South West,Delhi,South West,Delhi,South West,NA
709,3_7_98_0,3_7_98_0,South,NCT Of Delhi,South,Delhi,South,Delhi,South,NA
710,NA,NA,Delhi Municipal Corp,NA,NA,NA,NA,NA,NA,NA
711,NA,NA,New Delhi Municipal C,NA,NA,NA,NA,NA,NA,NA
712,NA,NA,Kirari Suleman Nagar,NA,NA,NA,NA,NA,NA,NA
803,3_8_101_0,3_8_101_0,Bikaner,Rajasthan,Bikaner,Rajasthan,Bikaner,Rajasthan,Bikaner,NA
804,3_8_102_0,3_8_102_0,Churu,Rajasthan,Churu,Rajasthan,Churu,Rajasthan,Churu,NA
805,3_8_103_0,3_8_103_0,Jhunjhunu,Rajasthan,Jhunjhunun,Rajasthan,Jhunjhunun,Rajasthan,Jhunjhunun,NA
806,3_8_104_0,3_8_104_0,Alwar,Rajasthan,Alwar,Rajasthan,Alwar,Rajasthan,Alwar,NA
807,3_8_105_0,3_8_105_0,Bharatpur,Rajasthan,Bharatpur,Rajasthan,Bharatpur,Rajasthan,Bharatpur,NA
808,3_8_106_0,3_8_106_0,Dhaulpur,Rajasthan,Dhaulpur,Rajasthan,Dhaulpur,Rajasthan,Dhaulpur,NA
809,3_8_107_0,3_8_107_0,Karauli,Rajasthan,Karauli,Rajasthan,Karauli,Rajasthan,Karauli,NA
810,3_8_108_0,3_8_108_0,Sawai Madhopur,Rajasthan,Sawai Madhopur,Rajasthan,Sawai Madhopur,Rajasthan,Sawai Madhopur,NA
811,3_8_109_0,3_8_109_0,Dausa,Rajasthan,Dausa,Rajasthan,Dausa,Rajasthan,Dausa,NA
