yVar,yType,description,capitalVar,labourVar,landVar,productVar,Intercept,GQ,NSEW,capitalGQ,capitalNSEW,labourGQ,labourNSEW,productGQ,productNSEW
ap,environment,Aerosol particle radius (percent of small particles) in logs,bank_t,edu_ter_15_t,irr_all,est_sh_1,15.0189***,7.3088,8.0736,-0.137,-0.1536,0.4345**,0.4221*,-0.0747,-0.1153*
at,environment,Aerosol optical thickness (thickness scale  0–1 ),e_pr_fin3,edu_lit_15_t,lcrt,di_e_2,0.3611***,0.1591***,0.0343,0.0023,0.0039,-0.0011**,-8e-04,-0.0133***,0.004
nd,environment,Nitrogen dioxide levels (billion molecules/mm2) in logs,bank_t,edu_lit_7_t,lcrt,est_sh_1,153.81***,46.6091*,41.3605*,0.1871,0.4541*,-0.4575,-0.7456***,-0.0453,-0.2062
